Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-27,,DET,L,94,106,37,82,.451,8,27,.296,12,15,.800,7,40,22,9,4,15,25,,37,96,.385,12,29,.414,20,26,.769,23,59,23,5,3,15,15
2,2,2015-10-29,@,NYK,W,112,101,42,83,.506,10,24,.417,18,26,.692,7,39,26,11,4,15,18,,38,93,.409,6,29,.207,19,21,.905,16,48,21,10,4,21,24
3,3,2015-10-30,,CHO,W,97,94,36,83,.434,8,23,.348,17,22,.773,8,45,23,9,4,15,17,,36,88,.409,12,30,.400,10,13,.769,13,54,23,7,6,18,20
4,4,2015-11-01,@,CHO,W,94,92,37,88,.420,7,29,.241,13,14,.929,9,48,22,9,6,11,16,,32,86,.372,14,37,.378,14,15,.933,9,45,27,7,13,11,14
5,5,2015-11-03,@,MIA,W,98,92,37,90,.411,7,21,.333,17,22,.773,16,51,25,10,1,15,14,,38,86,.442,5,28,.179,11,16,.688,13,49,13,10,9,18,21
6,6,2015-11-04,,BRK,W,101,87,37,76,.487,8,22,.364,19,24,.792,6,34,27,15,10,13,17,,36,83,.434,5,21,.238,10,13,.769,14,43,24,9,4,19,19
7,7,2015-11-06,@,NOP,W,121,115,41,77,.532,9,21,.429,30,35,.857,6,41,30,10,6,15,21,,42,84,.500,10,30,.333,21,24,.875,6,32,30,9,7,12,24
8,8,2015-11-07,,WAS,W,114,99,43,92,.467,13,33,.394,15,15,1.000,10,39,37,12,4,14,15,,38,78,.487,8,24,.333,15,17,.882,8,41,27,11,3,24,18
9,9,2015-11-09,,MIN,L,107,117,44,86,.512,13,31,.419,6,7,.857,4,27,30,13,6,17,19,,46,80,.575,7,15,.467,18,22,.818,8,40,27,10,5,19,18
10,10,2015-11-11,,NOP,W,106,98,42,86,.488,10,26,.385,12,16,.750,8,44,26,10,7,12,16,,37,83,.446,14,29,.483,10,15,.667,8,40,21,6,0,19,21
11,11,2015-11-13,@,BOS,L,93,106,36,76,.474,6,20,.300,15,20,.750,5,35,26,3,2,16,14,,42,103,.408,11,33,.333,11,12,.917,17,50,27,10,7,10,18
12,12,2015-11-15,,UTA,L,96,97,37,76,.487,8,22,.364,14,17,.824,8,33,26,9,5,15,16,,39,76,.513,7,21,.333,12,17,.706,10,40,21,7,7,17,15
13,13,2015-11-17,@,BRK,L,88,90,33,76,.434,12,29,.414,10,14,.714,8,44,22,7,7,20,17,,37,84,.440,9,20,.450,7,13,.538,9,44,22,14,3,11,14
14,14,2015-11-18,,SAC,W,103,97,38,89,.427,9,30,.300,18,24,.750,12,45,23,9,6,11,15,,38,86,.442,5,16,.313,16,18,.889,13,52,26,7,1,20,22
15,15,2015-11-21,@,CLE,L,97,109,32,86,.372,11,28,.393,22,25,.880,12,38,22,10,4,12,20,,41,85,.482,11,29,.379,16,19,.842,11,51,27,4,8,14,22
16,16,2015-11-24,,BOS,W,121,97,45,80,.563,12,24,.500,19,22,.864,6,43,33,8,7,20,25,,34,82,.415,9,21,.429,20,26,.769,10,33,23,14,2,16,19
17,17,2015-11-25,@,MIN,L,95,99,31,82,.378,8,31,.258,25,35,.714,15,53,14,10,7,14,20,,34,82,.415,9,21,.429,22,29,.759,7,45,22,9,4,11,23
18,18,2015-11-27,@,MEM,W,116,101,35,75,.467,14,39,.359,32,36,.889,6,40,25,4,3,10,21,,35,80,.438,12,30,.400,19,21,.905,5,37,20,3,1,13,25
19,19,2015-11-28,@,SAS,L,88,108,37,87,.425,6,26,.231,8,13,.615,12,43,28,9,5,18,17,,40,85,.471,9,17,.529,19,20,.950,12,49,25,11,9,16,14
20,20,2015-11-30,,OKC,W,106,100,39,90,.433,10,28,.357,18,20,.900,14,51,23,9,8,12,15,,37,93,.398,7,19,.368,19,22,.864,13,48,19,8,8,11,19
21,21,2015-12-02,,TOR,L,86,96,33,90,.367,8,27,.296,12,16,.750,13,43,22,8,7,12,20,,36,79,.456,6,25,.240,18,24,.750,8,50,12,10,5,12,18
22,22,2015-12-04,,LAL,W,100,87,37,74,.500,10,26,.385,16,20,.800,9,43,24,11,9,17,11,,32,86,.372,13,27,.481,10,13,.769,15,42,19,10,7,16,14
23,23,2015-12-09,@,DAL,W,98,95,39,81,.481,6,20,.300,14,18,.778,6,47,26,7,7,14,19,,36,100,.360,7,31,.226,16,19,.842,20,51,18,7,3,9,15
24,24,2015-12-10,@,OKC,L,94,107,35,78,.449,10,28,.357,14,23,.609,5,34,21,9,7,9,19,,39,80,.488,9,17,.529,20,26,.769,10,52,24,6,2,14,16
25,25,2015-12-12,,SAS,L,78,103,30,80,.375,5,24,.208,13,16,.813,7,33,21,15,3,17,15,,36,74,.486,10,20,.500,21,22,.955,6,49,26,11,2,23,16
26,26,2015-12-14,,MIA,L,88,100,33,84,.393,8,33,.242,14,15,.933,7,37,25,7,4,14,21,,40,89,.449,7,16,.438,13,15,.867,15,54,26,6,5,15,16
27,27,2015-12-16,,PHI,W,127,106,48,78,.615,10,21,.476,21,24,.875,2,25,32,11,7,12,21,,39,75,.520,12,26,.462,16,24,.667,7,32,20,5,2,22,21
28,28,2015-12-18,@,BOS,W,109,101,41,88,.466,4,20,.200,23,29,.793,9,42,23,11,4,12,28,,34,77,.442,10,23,.435,23,31,.742,6,43,19,5,2,21,25
29,29,2015-12-20,@,ORL,W,103,100,39,78,.500,11,22,.500,14,20,.700,8,41,25,6,7,19,21,,38,81,.469,4,12,.333,20,24,.833,8,36,27,16,5,13,22
30,30,2015-12-21,,POR,W,106,97,37,77,.481,9,29,.310,23,28,.821,2,31,21,8,1,10,17,,38,81,.469,5,24,.208,16,22,.727,14,50,24,5,4,18,20
