Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,PHI,W,112,95,39,85,.459,8,24,.333,26,27,.963,10,41,31,10,7,17,23,,34,83,.410,7,22,.318,20,23,.870,14,46,12,11,6,22,22
2,2,2015-10-30,,TOR,L,103,113,32,85,.376,7,26,.269,32,41,.780,7,38,23,14,3,17,28,,36,82,.439,11,26,.423,30,35,.857,9,53,23,11,3,21,33
3,3,2015-11-01,,SAS,L,87,95,35,98,.357,6,29,.207,11,14,.786,16,45,21,10,5,16,23,,36,83,.434,5,19,.263,18,25,.720,10,51,22,10,6,18,16
4,4,2015-11-04,@,IND,L,98,100,35,83,.422,10,27,.370,18,22,.818,15,49,20,7,5,19,22,,35,91,.385,8,23,.348,22,29,.759,21,53,18,10,1,14,20
5,5,2015-11-06,,WAS,W,118,98,44,97,.454,12,30,.400,18,23,.783,15,53,24,18,5,17,21,,36,88,.409,8,25,.320,18,23,.783,10,45,23,10,8,24,27
6,6,2015-11-10,@,MIL,W,99,83,38,86,.442,7,30,.233,16,19,.842,14,45,21,11,6,12,18,,30,73,.411,6,17,.353,17,23,.739,9,41,14,10,2,17,18
7,7,2015-11-11,,IND,L,91,102,32,77,.416,4,24,.167,23,32,.719,8,36,18,10,3,18,26,,38,79,.481,6,17,.353,20,31,.645,10,41,20,9,6,18,28
8,8,2015-11-13,,ATL,W,106,93,42,103,.408,11,33,.333,11,12,.917,17,50,27,10,7,10,18,,36,76,.474,6,20,.300,15,20,.750,5,35,26,3,2,16,14
9,9,2015-11-15,@,OKC,W,100,85,39,82,.476,9,23,.391,13,20,.650,12,47,25,12,7,18,26,,28,77,.364,6,25,.240,23,29,.793,10,34,18,10,6,18,20
10,10,2015-11-16,@,HOU,W,111,95,44,93,.473,11,36,.306,12,17,.706,16,49,27,16,3,19,22,,36,85,.424,11,32,.344,12,23,.522,14,46,23,10,6,22,20
