Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,CHI,L,100,115,39,93,.419,0,9,.000,22,28,.786,16,45,19,11,5,13,18,,42,78,.538,14,28,.500,17,20,.850,5,39,20,9,3,19,24
2,2,2015-10-30,@,SAS,L,75,102,31,77,.403,5,16,.313,8,15,.533,2,32,17,6,6,15,17,,40,86,.465,9,22,.409,13,13,1.000,12,56,23,7,4,18,16
3,3,2015-10-31,@,MEM,L,91,101,38,79,.481,3,13,.231,12,18,.667,8,43,21,3,3,12,22,,34,80,.425,9,23,.391,24,28,.857,11,42,26,6,2,9,19
4,4,2015-11-02,,MIL,L,96,103,36,79,.456,6,19,.316,18,22,.818,10,35,21,3,4,18,23,,38,73,.521,9,23,.391,18,26,.692,8,36,24,6,7,14,23
5,5,2015-11-04,@,ATL,L,87,101,36,83,.434,5,21,.238,10,13,.769,14,43,24,9,4,19,19,,37,76,.487,8,22,.364,19,24,.792,6,34,27,15,10,13,17
6,6,2015-11-06,,LAL,L,98,104,40,93,.430,3,19,.158,15,20,.750,14,46,21,6,6,15,29,,33,78,.423,7,23,.304,31,40,.775,5,40,14,9,6,15,22
7,7,2015-11-07,@,MIL,L,86,94,34,82,.415,3,9,.333,15,19,.789,17,52,18,11,3,18,18,,37,82,.451,8,20,.400,12,16,.750,10,41,27,9,6,15,16
8,8,2015-11-11,@,HOU,W,106,98,42,98,.429,8,17,.471,14,17,.824,20,60,25,5,11,11,13,,42,98,.429,8,34,.235,6,12,.500,13,45,25,9,9,7,14
9,9,2015-11-13,@,SAC,L,109,111,42,89,.472,8,21,.381,17,21,.810,9,44,24,7,4,15,24,,40,94,.426,11,27,.407,20,26,.769,15,50,25,11,3,14,16
10,10,2015-11-14,@,GSW,L,99,107,41,98,.418,2,18,.111,15,16,.938,11,50,22,12,4,12,13,,43,97,.443,12,34,.353,9,10,.900,11,50,31,9,10,14,19
