Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-27,,CLE,W,97,95,37,87,.425,7,19,.368,16,23,.696,7,47,13,6,10,13,22,,38,94,.404,9,29,.310,10,17,.588,11,50,26,5,7,10,21
2,2,2015-10-28,@,BRK,W,115,100,42,78,.538,14,28,.500,17,20,.850,5,39,20,9,3,19,24,,39,93,.419,0,9,.000,22,28,.786,16,45,19,11,5,13,18
3,3,2015-10-30,@,DET,L,94,98,34,84,.405,7,22,.318,19,26,.731,8,50,18,8,8,19,24,,39,104,.375,6,28,.214,14,28,.500,20,61,18,9,2,14,19
4,4,2015-11-01,,ORL,W,92,87,33,87,.379,7,28,.250,19,22,.864,11,47,23,7,8,13,16,,35,90,.389,7,23,.304,10,17,.588,12,43,21,7,11,16,19
5,5,2015-11-03,@,CHO,L,105,130,44,90,.489,14,30,.467,3,8,.375,4,33,26,5,0,12,19,,47,91,.516,14,23,.609,22,23,.957,12,52,26,6,4,9,11
6,6,2015-11-05,,OKC,W,104,98,40,90,.444,7,18,.389,17,21,.810,11,47,20,3,7,6,17,,38,84,.452,5,13,.385,17,20,.850,9,44,21,2,8,9,18
7,7,2015-11-07,,MIN,L,93,102,33,93,.355,11,32,.344,16,23,.696,10,50,20,7,6,18,26,,39,96,.406,7,16,.438,17,27,.630,14,58,26,8,7,15,23
8,8,2015-11-09,@,PHI,W,111,88,41,96,.427,10,25,.400,19,23,.826,13,58,28,6,10,14,19,,35,100,.350,5,25,.200,13,23,.565,15,52,19,6,9,13,13
9,9,2015-11-13,,CHO,W,102,97,37,84,.440,4,16,.250,24,31,.774,10,57,27,4,6,11,16,,36,95,.379,15,33,.455,10,12,.833,9,45,21,9,4,6,21
10,10,2015-11-16,,IND,W,96,95,35,86,.407,6,15,.400,20,32,.625,10,48,26,9,9,8,20,,35,87,.402,9,21,.429,16,24,.667,11,50,19,4,5,12,21
11,11,2015-11-18,@,PHO,W,103,97,41,83,.494,9,19,.474,12,14,.857,11,47,24,7,2,19,17,,37,91,.407,8,27,.296,15,21,.714,14,43,16,12,4,12,14
12,12,2015-11-20,@,GSW,L,94,106,35,88,.398,7,22,.318,17,23,.739,15,43,22,11,2,12,19,,39,79,.494,10,29,.345,18,24,.750,11,49,20,7,6,15,15
13,13,2015-11-24,@,POR,W,93,88,33,86,.384,7,18,.389,20,23,.870,6,44,19,6,3,10,18,,31,88,.352,6,22,.273,20,27,.741,16,55,18,5,9,14,21
14,14,2015-11-27,@,IND,L,92,104,32,92,.348,11,26,.423,17,20,.850,9,47,21,7,7,15,23,,37,87,.425,8,28,.286,22,29,.759,8,51,18,8,4,13,18
15,15,2015-11-30,,SAS,W,92,89,37,86,.430,6,16,.375,12,20,.600,12,51,25,4,6,10,21,,37,90,.411,2,14,.143,13,18,.722,12,47,20,5,4,9,17
16,16,2015-12-02,,DEN,W,99,90,36,89,.404,6,17,.353,21,27,.778,15,62,22,3,10,14,17,,36,93,.387,5,15,.333,13,22,.591,13,49,26,8,8,7,22
17,17,2015-12-05,,CHO,L,96,102,37,89,.416,9,25,.360,13,19,.684,12,52,29,5,5,14,19,,37,89,.416,10,34,.294,18,25,.720,13,50,23,10,3,9,18
18,18,2015-12-07,,PHO,L,101,103,41,90,.456,6,21,.286,13,18,.722,16,48,28,11,8,20,19,,41,92,.446,7,17,.412,14,17,.824,10,40,18,12,4,18,17
19,19,2015-12-09,@,BOS,L,100,105,39,91,.429,6,21,.286,16,23,.696,15,50,22,7,5,16,18,,38,92,.413,5,23,.217,24,28,.857,13,45,22,10,4,12,22
20,20,2015-12-10,,LAC,W,83,80,31,87,.356,7,23,.304,14,16,.875,13,54,20,8,6,11,12,,30,88,.341,10,22,.455,10,12,.833,15,52,22,4,4,13,15
21,21,2015-12-12,,NOP,W,98,94,33,78,.423,8,20,.400,24,29,.828,7,48,17,6,6,13,10,,40,89,.449,6,16,.375,8,11,.727,5,41,26,9,6,10,22
22,22,2015-12-14,,PHI,W,115,96,43,85,.506,8,22,.364,21,26,.808,10,53,28,7,8,13,15,,38,92,.413,11,31,.355,9,13,.692,9,36,19,6,8,11,17
23,23,2015-12-16,,MEM,W,98,85,38,86,.442,9,24,.375,13,19,.684,9,45,22,5,6,14,17,,32,76,.421,5,19,.263,16,28,.571,5,41,27,6,5,13,20
24,24,2015-12-18,,DET,L,144,147,50,120,.417,5,22,.227,39,44,.886,20,62,21,5,9,16,35,,56,124,.452,8,29,.276,27,46,.587,19,64,28,7,4,11,35
25,25,2015-12-19,@,NYK,L,91,107,37,94,.394,5,21,.238,12,17,.706,18,47,17,7,1,13,20,,41,82,.500,5,20,.250,20,24,.833,10,43,19,6,2,11,15
26,26,2015-12-21,,BRK,L,102,105,43,95,.453,9,26,.346,7,13,.538,15,45,32,8,8,13,15,,43,94,.457,7,20,.350,12,14,.857,15,51,26,9,4,14,13
27,27,2015-12-25,@,OKC,W,105,96,40,92,.435,7,18,.389,18,20,.900,16,53,22,8,6,16,19,,37,96,.385,6,24,.250,16,23,.696,18,48,20,12,3,13,15
28,28,2015-12-26,@,DAL,L,111,118,42,78,.538,8,21,.381,19,26,.731,13,41,20,7,7,17,23,,40,87,.460,16,33,.485,22,28,.786,16,42,24,10,1,11,25
29,29,2015-12-28,,TOR,W,104,97,40,87,.460,8,21,.381,16,24,.667,11,49,23,4,10,10,15,,38,88,.432,6,20,.300,15,24,.625,11,46,23,5,5,7,19
30,30,2015-12-30,,IND,W,102,100,37,86,.430,6,18,.333,22,27,.815,14,53,15,6,10,21,19,,37,97,.381,7,22,.318,19,24,.792,16,46,18,14,7,12,21
31,31,2016-01-01,,NYK,W,108,81,39,85,.459,10,16,.625,20,25,.800,14,54,27,4,9,7,19,,31,84,.369,6,19,.316,13,17,.765,11,42,16,3,7,11,25
32,32,2016-01-03,@,TOR,W,115,113,42,82,.512,9,21,.429,22,25,.880,8,42,23,4,8,11,18,,42,92,.457,13,31,.419,16,19,.842,13,37,21,6,8,8,19
33,33,2016-01-05,,MIL,W,117,106,46,83,.554,5,19,.263,20,20,1.000,7,45,27,5,10,15,11,,46,102,.451,6,16,.375,8,14,.571,17,43,28,9,3,10,19
34,34,2016-01-07,,BOS,W,101,92,39,94,.415,9,22,.409,14,17,.824,12,54,23,4,5,16,18,,35,98,.357,5,25,.200,17,22,.773,15,51,17,11,3,11,19
35,35,2016-01-09,@,ATL,L,105,120,36,83,.434,7,18,.389,26,31,.839,12,46,16,7,6,21,13,,49,94,.521,10,24,.417,12,15,.800,8,40,33,15,13,15,22
