Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,MIA,L,94,104,33,84,.393,6,24,.250,22,29,.759,11,43,16,4,1,8,16,,36,73,.493,12,20,.600,20,21,.952,2,41,23,5,7,13,25
2,2,2015-10-30,@,ATL,L,94,97,36,88,.409,12,30,.400,10,13,.769,13,54,23,7,6,18,20,,36,83,.434,8,23,.348,17,22,.773,8,45,23,9,4,15,17
3,3,2015-11-01,,ATL,L,92,94,32,86,.372,14,37,.378,14,15,.933,9,45,27,7,13,11,14,,37,88,.420,7,29,.241,13,14,.929,9,48,22,9,6,11,16
4,4,2015-11-03,,CHI,W,130,105,47,91,.516,14,23,.609,22,23,.957,12,52,26,6,4,9,11,,44,90,.489,14,30,.467,3,8,.375,4,33,26,5,0,12,19
5,5,2015-11-05,@,DAL,W,108,94,44,89,.494,6,27,.222,14,17,.824,8,48,19,8,6,11,25,,32,82,.390,6,29,.207,24,27,.889,8,44,17,8,2,13,13
6,6,2015-11-07,@,SAS,L,94,114,34,73,.466,6,19,.316,20,31,.645,6,33,15,7,0,15,18,,45,81,.556,9,21,.429,15,23,.652,6,42,35,11,3,12,26
7,7,2015-11-10,@,MIN,W,104,95,38,78,.487,8,26,.308,20,27,.741,4,34,18,8,5,16,20,,36,80,.450,9,19,.474,14,19,.737,10,48,25,6,4,22,21
8,8,2015-11-11,,NYK,W,95,93,35,84,.417,8,23,.348,17,28,.607,7,33,21,11,5,5,9,,42,86,.488,4,21,.190,5,7,.714,11,52,20,5,5,16,24
9,9,2015-11-13,@,CHI,L,97,102,36,95,.379,15,33,.455,10,12,.833,9,45,21,9,4,6,21,,37,84,.440,4,16,.250,24,31,.774,10,57,27,4,6,11,16
10,10,2015-11-15,,POR,W,106,94,41,83,.494,9,31,.290,15,19,.789,7,37,29,6,9,11,16,,35,89,.393,5,21,.238,19,21,.905,16,46,20,5,3,12,25
11,11,2015-11-17,@,NYK,L,94,102,36,82,.439,5,20,.250,17,25,.680,8,42,13,7,7,7,16,,36,89,.404,10,20,.500,20,21,.952,10,45,22,4,6,10,20
12,12,2015-11-18,,BRK,W,116,111,39,80,.488,11,25,.440,27,36,.750,9,49,27,5,8,15,16,,44,91,.484,5,15,.333,18,22,.818,5,37,25,5,4,9,23
13,13,2015-11-20,,PHI,W,113,88,40,81,.494,12,25,.480,21,22,.955,5,41,25,7,10,11,21,,32,79,.405,8,26,.308,16,22,.727,9,42,21,5,6,17,18
14,14,2015-11-23,,SAC,W,127,122,49,98,.500,9,29,.310,20,26,.769,8,48,24,10,7,19,19,,52,104,.500,8,31,.258,10,16,.625,8,46,34,10,8,20,30
15,15,2015-11-25,,WAS,W,101,87,39,83,.470,8,26,.308,15,15,1.000,9,51,22,5,6,19,17,,31,87,.356,10,32,.313,15,18,.833,11,41,15,13,4,14,20
16,16,2015-11-27,,CLE,L,90,95,33,80,.413,5,25,.200,19,25,.760,7,38,20,7,7,11,25,,34,81,.420,8,25,.320,19,25,.760,12,50,17,3,2,16,22
17,17,2015-11-29,,MIL,W,87,82,27,70,.386,15,31,.484,18,22,.818,7,43,20,6,6,13,16,,33,82,.402,8,28,.286,8,14,.571,13,46,25,9,2,14,24
18,18,2015-12-02,,GSW,L,99,116,35,94,.372,9,31,.290,20,30,.667,13,41,19,10,7,8,13,,46,88,.523,16,34,.471,8,11,.727,11,53,31,2,9,18,23
19,19,2015-12-05,@,CHI,W,102,96,37,89,.416,10,34,.294,18,25,.720,13,50,23,10,3,9,18,,37,89,.416,9,25,.360,13,19,.684,12,52,29,5,5,14,19
20,20,2015-12-07,,DET,W,104,84,36,84,.429,8,26,.308,24,35,.686,14,57,21,5,5,14,20,,32,87,.368,10,34,.294,10,22,.455,7,41,17,11,2,12,20
21,21,2015-12-09,,MIA,W,99,81,40,81,.494,11,27,.407,8,17,.471,3,40,27,9,5,10,21,,29,75,.387,6,21,.286,17,24,.708,7,43,17,3,8,17,14
22,22,2015-12-11,@,MEM,W,123,99,39,78,.500,18,37,.486,27,30,.900,7,41,23,5,5,13,24,,32,80,.400,7,20,.350,28,37,.757,11,40,19,8,5,12,24
23,23,2015-12-12,,BOS,L,93,98,36,88,.409,11,35,.314,10,10,1.000,7,52,17,1,5,11,12,,40,96,.417,9,25,.360,9,10,.900,3,42,26,5,5,5,13
24,24,2015-12-16,@,ORL,L,98,113,36,79,.456,14,34,.412,12,15,.800,7,33,23,12,3,16,19,,43,77,.558,14,24,.583,13,15,.867,4,40,28,12,4,17,15
25,25,2015-12-17,,TOR,W,109,99,37,85,.435,10,29,.345,25,31,.806,6,51,23,5,9,13,23,,35,97,.361,9,39,.231,20,28,.714,9,46,18,7,10,8,22
26,26,2015-12-19,@,WAS,L,101,109,39,93,.419,10,33,.303,13,16,.813,18,51,23,8,4,17,20,,40,79,.506,9,20,.450,20,23,.870,5,38,26,10,4,14,14
27,27,2015-12-21,@,HOU,L,95,102,29,83,.349,12,41,.293,25,31,.806,9,35,20,8,3,11,27,,33,71,.465,7,28,.250,29,41,.707,9,49,18,3,4,19,33
28,28,2015-12-23,,BOS,L,89,102,29,81,.358,8,28,.286,23,32,.719,12,44,19,6,6,16,18,,36,85,.424,7,29,.241,23,26,.885,10,49,25,9,4,13,23
29,29,2015-12-26,,MEM,W,98,92,28,69,.406,14,32,.438,28,32,.875,7,43,21,10,13,16,24,,37,90,.411,7,19,.368,11,21,.524,16,48,21,9,5,13,24
30,30,2015-12-28,,LAL,W,108,98,43,89,.483,6,25,.240,16,22,.727,7,46,28,7,6,10,16,,35,85,.412,9,29,.310,19,23,.826,6,41,24,7,4,11,17
31,31,2015-12-30,,LAC,L,117,122,38,88,.432,9,30,.300,32,36,.889,17,42,20,8,3,11,26,,37,71,.521,15,30,.500,33,41,.805,8,39,27,7,7,12,26
32,32,2016-01-01,@,TOR,L,94,104,34,85,.400,10,32,.313,16,18,.889,14,43,15,7,7,10,16,,36,91,.396,15,33,.455,17,18,.944,20,54,21,6,4,13,19
33,33,2016-01-02,,OKC,L,90,109,29,84,.345,6,22,.273,26,34,.765,7,34,18,7,7,4,27,,35,79,.443,9,23,.391,30,37,.811,10,53,20,2,15,12,27
34,34,2016-01-04,@,GSW,L,101,111,38,86,.442,7,21,.333,18,19,.947,8,41,15,7,1,11,12,,45,87,.517,15,34,.441,6,6,1.000,3,37,32,4,9,11,19
35,35,2016-01-06,@,PHO,L,102,111,38,87,.437,11,28,.393,15,22,.682,9,44,20,9,5,13,15,,41,84,.488,19,33,.576,10,13,.769,2,39,25,11,2,12,21
36,36,2016-01-09,@,LAC,L,83,97,31,84,.369,7,23,.304,14,19,.737,11,47,14,4,3,15,16,,40,91,.440,8,31,.258,9,10,.900,13,47,19,6,9,9,19
37,37,2016-01-10,@,DEN,L,92,95,30,83,.361,12,36,.333,20,24,.833,9,40,24,6,4,12,18,,32,77,.416,12,27,.444,19,23,.826,8,44,25,7,7,13,20
38,38,2016-01-13,,ATL,W,107,84,36,82,.439,13,39,.333,22,26,.846,11,54,26,8,9,16,24,,30,81,.370,7,25,.280,17,21,.810,6,37,17,5,4,16,21
39,39,2016-01-15,@,NOP,L,107,109,42,86,.488,14,35,.400,9,12,.750,3,38,21,1,1,11,17,,43,87,.494,12,27,.444,11,13,.846,8,38,29,7,7,8,15
40,40,2016-01-16,,MIL,L,92,105,33,87,.379,9,36,.250,17,22,.773,13,35,27,8,2,5,20,,39,72,.542,5,12,.417,22,26,.846,6,46,23,3,11,15,15
41,41,2016-01-18,,UTA,W,124,119,41,88,.466,14,27,.519,28,32,.875,7,50,20,6,4,16,18,,44,104,.423,15,45,.333,16,20,.800,15,49,27,6,7,10,28
42,42,2016-01-20,@,OKC,L,95,109,34,81,.420,9,27,.333,18,21,.857,6,34,17,8,2,16,21,,39,83,.470,9,24,.375,22,30,.733,14,51,28,9,3,20,16
43,43,2016-01-22,@,ORL,W,120,116,45,101,.446,10,27,.370,20,22,.909,14,48,23,10,4,9,19,,45,91,.495,11,23,.478,15,19,.789,7,48,31,6,9,19,25
44,44,2016-01-23,,NYK,W,97,84,28,82,.341,9,31,.290,32,37,.865,11,49,17,5,3,11,20,,29,77,.377,7,24,.292,19,32,.594,8,51,23,4,8,14,26
45,45,2016-01-25,@,SAC,W,129,128,44,110,.400,20,44,.455,21,26,.808,16,46,27,11,2,9,31,,48,91,.527,7,23,.304,25,32,.781,9,56,36,4,8,22,31
46,46,2016-01-27,@,UTA,L,73,102,25,68,.368,6,25,.240,17,21,.810,5,35,10,6,0,18,15,,40,81,.494,12,31,.387,10,15,.667,7,45,23,10,6,10,18
47,47,2016-01-29,@,POR,L,91,109,31,80,.388,10,29,.345,19,28,.679,14,47,17,9,4,16,12,,45,92,.489,7,20,.350,12,16,.750,13,51,24,10,4,11,21
48,48,2016-01-31,@,LAL,W,101,82,36,96,.375,13,36,.361,16,26,.615,14,59,28,8,8,10,16,,27,80,.338,8,29,.276,20,23,.870,4,42,13,6,8,15,20
49,49,2016-02-03,,CLE,W,106,97,39,79,.494,9,27,.333,19,23,.826,11,49,26,4,3,14,14,,38,83,.458,10,28,.357,11,14,.786,3,28,16,9,5,7,19
50,50,2016-02-05,,MIA,L,95,98,36,81,.444,10,26,.385,13,15,.867,3,41,23,5,10,12,16,,43,94,.457,0,9,.000,12,18,.667,8,48,20,7,12,8,16
51,51,2016-02-06,,WAS,W,108,104,38,81,.469,12,27,.444,20,25,.800,7,43,23,7,5,15,21,,38,86,.442,9,25,.360,19,24,.792,8,44,22,9,5,11,21
52,52,2016-02-08,,CHI,W,108,91,35,80,.438,14,36,.389,24,31,.774,10,56,20,6,8,13,19,,35,90,.389,10,25,.400,11,14,.786,8,41,25,5,8,7,22
53,53,2016-02-10,@,IND,W,117,95,45,87,.517,12,28,.429,15,19,.789,10,45,24,6,8,13,13,,40,92,.435,4,18,.222,11,15,.733,12,39,19,7,4,11,14
54,54,2016-02-19,@,MIL,W,98,95,37,86,.430,9,31,.290,15,18,.833,8,37,13,13,6,17,16,,36,81,.444,7,19,.368,16,21,.762,12,47,22,7,11,22,17
55,55,2016-02-21,@,BRK,W,104,96,40,79,.506,10,27,.370,14,15,.933,6,41,23,7,1,15,21,,35,81,.432,5,22,.227,21,24,.875,9,42,23,8,4,14,15
56,56,2016-02-24,@,CLE,L,103,114,37,76,.487,10,29,.345,19,27,.704,8,43,23,7,2,14,20,,45,91,.495,13,32,.406,11,17,.647,12,47,26,11,1,9,20
57,57,2016-02-26,@,IND,W,96,95,36,83,.434,11,28,.393,13,19,.684,6,38,23,8,7,14,21,,35,85,.412,4,19,.211,21,24,.875,10,52,19,8,3,14,20
58,58,2016-02-28,@,ATL,L,76,87,27,81,.333,7,32,.219,15,23,.652,10,41,16,7,4,6,12,,38,77,.494,8,17,.471,3,5,.600,6,48,29,4,5,15,19
59,59,2016-03-01,,PHO,W,126,92,45,93,.484,13,27,.481,23,27,.852,15,58,27,8,6,12,21,,33,91,.363,6,27,.222,20,27,.741,13,42,14,5,2,11,22
