Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,PHO,W,111,95,40,85,.471,10,21,.476,21,31,.677,6,48,24,7,3,8,25,,34,87,.391,6,24,.250,21,33,.636,13,53,15,3,3,18,30
2,2,2015-10-29,@,LAC,L,88,104,35,97,.361,6,30,.200,12,15,.800,14,55,22,4,2,12,26,,38,87,.437,8,31,.258,20,33,.606,8,53,21,6,8,8,17
3,3,2015-11-01,@,LAL,W,103,93,40,87,.460,11,30,.367,12,16,.750,8,49,28,5,4,11,22,,31,85,.365,10,34,.294,21,28,.750,8,42,18,8,9,12,20
4,4,2015-11-03,,TOR,L,91,102,33,86,.384,7,23,.304,18,25,.720,14,44,20,5,3,15,25,,37,82,.451,5,17,.294,23,26,.885,10,47,18,8,6,16,26
5,5,2015-11-05,,CHO,L,94,108,32,82,.390,6,29,.207,24,27,.889,8,44,17,8,2,13,13,,44,89,.494,6,27,.222,14,17,.824,8,48,19,8,6,11,25
6,6,2015-11-07,,NOP,W,107,98,40,84,.476,9,24,.375,18,22,.818,6,42,20,5,2,9,17,,39,86,.453,9,28,.321,11,13,.846,7,42,21,7,6,12,24
7,7,2015-11-10,@,NOP,L,105,120,39,88,.443,5,20,.250,22,26,.846,8,44,20,4,4,13,17,,46,92,.500,14,33,.424,14,18,.778,9,48,25,9,5,11,27
8,8,2015-11-11,,LAC,W,118,108,42,76,.553,11,24,.458,23,30,.767,8,44,23,8,3,13,29,,37,86,.430,12,27,.444,22,33,.667,13,41,21,4,2,10,24
9,9,2015-11-13,,LAL,W,90,82,30,82,.366,7,27,.259,23,29,.793,7,48,19,9,4,15,15,,29,88,.330,9,27,.333,15,18,.833,15,57,18,10,7,20,27
10,10,2015-11-14,@,HOU,W,110,98,43,89,.483,8,28,.286,16,21,.762,8,45,24,6,7,11,21,,32,84,.381,9,34,.265,25,32,.781,12,43,22,9,5,12,23
11,11,2015-11-16,@,PHI,W,92,86,30,76,.395,7,24,.292,25,30,.833,6,39,16,12,2,19,23,,34,76,.447,5,22,.227,13,20,.650,8,46,16,9,4,27,29
12,12,2015-11-18,@,BOS,W,106,102,37,72,.514,7,20,.350,25,35,.714,7,39,22,7,7,17,22,,38,92,.413,8,26,.308,18,24,.750,14,43,22,12,1,14,28
13,13,2015-11-20,,UTA,W,102,93,39,83,.470,8,28,.286,16,17,.941,8,34,24,10,5,8,19,,35,80,.438,6,20,.300,17,21,.810,18,48,14,4,2,17,24
14,14,2015-11-22,@,OKC,L,114,117,44,83,.530,10,19,.526,16,28,.571,9,36,26,8,4,17,17,,47,90,.522,9,22,.409,14,18,.778,14,41,25,8,6,16,23
15,15,2015-11-24,@,MEM,L,96,110,30,77,.390,11,34,.324,25,28,.893,4,48,22,4,6,19,25,,37,86,.430,7,21,.333,29,37,.784,5,42,20,12,4,9,24
16,16,2015-11-25,@,SAS,L,83,88,34,83,.410,6,22,.273,9,12,.750,9,46,21,7,1,13,21,,33,81,.407,8,28,.286,14,19,.737,12,52,23,6,4,13,12
17,17,2015-11-28,,DEN,W,92,81,33,77,.429,7,26,.269,19,27,.704,10,42,18,13,3,13,14,,30,75,.400,8,25,.320,13,17,.765,10,45,17,9,5,20,22
18,18,2015-11-30,@,SAC,L,98,112,36,84,.429,9,37,.243,17,22,.773,9,40,22,8,3,16,30,,36,79,.456,9,31,.290,31,44,.705,9,42,22,1,1,11,18
19,19,2015-12-01,@,POR,W,115,112,43,94,.457,9,29,.310,20,24,.833,12,49,23,7,5,12,17,,41,100,.410,15,40,.375,15,17,.882,13,50,24,6,1,15,23
20,20,2015-12-04,,HOU,L,96,100,37,81,.457,8,29,.276,14,20,.700,11,42,23,8,5,17,17,,39,84,.464,12,26,.462,10,18,.556,15,45,20,12,5,18,22
21,21,2015-12-06,@,WAS,W,116,104,38,76,.500,16,31,.516,24,27,.889,6,50,25,5,4,16,17,,42,89,.472,8,27,.296,12,21,.571,6,31,22,9,0,6,22
22,22,2015-12-07,@,NYK,W,104,97,37,82,.451,13,31,.419,17,20,.850,7,43,21,7,3,9,14,,40,84,.476,9,25,.360,8,9,.889,3,37,25,4,4,13,21
23,23,2015-12-09,,ATL,L,95,98,36,100,.360,7,31,.226,16,19,.842,20,51,18,7,3,9,15,,39,81,.481,6,20,.300,14,18,.778,6,47,26,7,7,14,19
24,24,2015-12-12,,WAS,L,111,114,38,89,.427,14,33,.424,21,24,.875,11,46,23,5,3,12,12,,44,85,.518,14,29,.483,12,15,.800,4,39,33,6,6,13,22
25,25,2015-12-14,,PHO,W,104,94,38,77,.494,12,32,.375,16,21,.762,5,41,17,12,1,16,22,,33,80,.413,9,25,.360,19,27,.704,12,47,19,9,5,16,23
26,26,2015-12-16,@,IND,L,81,107,33,90,.367,8,33,.242,7,10,.700,11,47,16,2,3,11,16,,43,89,.483,11,29,.379,10,17,.588,5,47,28,9,4,8,17
27,27,2015-12-18,,MEM,W,97,88,34,78,.436,10,29,.345,19,21,.905,11,50,27,7,4,19,17,,30,80,.375,6,17,.353,22,24,.917,10,39,13,11,3,12,19
28,28,2015-12-22,@,TOR,L,99,103,40,92,.435,11,29,.379,8,11,.727,4,34,23,8,7,6,25,,35,74,.473,12,26,.462,21,27,.778,10,53,20,4,4,17,19
29,29,2015-12-23,@,BRK,W,119,118,45,82,.549,16,34,.471,13,15,.867,5,34,27,3,4,17,18,,51,101,.505,10,19,.526,6,14,.429,15,43,32,9,4,11,17
30,30,2015-12-26,,CHI,W,118,111,40,87,.460,16,33,.485,22,28,.786,16,42,24,10,1,11,25,,42,78,.538,8,21,.381,19,26,.731,13,41,20,7,7,17,23
31,31,2015-12-28,,MIL,W,103,93,38,84,.452,10,22,.455,17,26,.654,6,34,25,9,2,4,15,,38,79,.481,4,14,.286,13,15,.867,9,52,14,4,5,17,22
32,32,2015-12-30,,GSW,W,114,91,42,82,.512,14,27,.519,16,20,.800,12,52,20,6,4,15,19,,33,81,.407,7,19,.368,18,24,.750,8,37,20,9,0,12,18
33,33,2016-01-01,@,MIA,L,82,106,32,88,.364,7,31,.226,11,14,.786,13,40,22,6,3,9,11,,46,82,.561,8,18,.444,6,9,.667,8,50,24,4,1,12,16
34,34,2016-01-02,,NOP,L,98,105,36,83,.434,10,26,.385,16,19,.842,3,33,20,10,2,13,17,,40,83,.482,6,20,.300,19,24,.792,9,53,19,8,2,19,19
