Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,HOU,W,105,85,40,79,.506,13,27,.481,12,18,.667,9,49,26,9,10,21,26,,30,87,.345,8,35,.229,17,26,.654,15,44,17,13,8,16,19
2,2,2015-10-30,,MIN,L,78,95,29,95,.305,5,25,.200,15,20,.750,17,51,15,7,4,14,27,,30,71,.423,2,11,.182,33,41,.805,7,49,18,7,6,17,24
3,3,2015-11-01,@,OKC,L,93,117,35,92,.380,9,26,.346,14,19,.737,14,35,20,8,3,13,17,,45,86,.523,13,25,.520,14,18,.778,13,50,32,9,10,19,23
4,4,2015-11-03,@,LAL,W,120,109,43,85,.506,7,20,.350,27,31,.871,11,49,30,5,7,14,23,,36,86,.419,6,26,.231,31,38,.816,11,40,18,9,4,10,28
5,5,2015-11-05,,UTA,L,84,96,28,72,.389,5,20,.250,23,34,.676,11,45,16,4,6,13,14,,37,85,.435,11,24,.458,11,17,.647,12,43,23,6,6,10,26
6,6,2015-11-06,@,GSW,L,104,119,39,92,.424,8,24,.333,18,22,.818,10,44,23,13,5,19,20,,46,93,.495,17,37,.459,10,18,.556,13,53,40,10,6,20,22
7,7,2015-11-09,,POR,W,108,104,40,77,.519,7,19,.368,21,32,.656,8,47,20,5,7,14,20,,36,91,.396,10,29,.345,22,27,.815,10,39,20,6,3,9,22
8,8,2015-11-11,,MIL,W,103,102,39,79,.494,8,24,.333,17,24,.708,14,36,27,10,6,14,12,,42,79,.532,10,22,.455,8,9,.889,8,33,26,8,4,16,23
9,9,2015-11-13,,HOU,W,107,98,37,81,.457,9,20,.450,24,32,.750,12,46,25,10,4,18,23,,33,77,.429,9,29,.310,23,31,.742,8,40,19,10,8,20,25
10,10,2015-11-14,@,PHO,L,81,105,34,98,.347,6,35,.171,7,8,.875,9,42,13,8,6,10,20,,37,84,.440,11,24,.458,20,26,.769,10,57,19,4,1,20,13
11,11,2015-11-17,@,NOP,W,115,98,45,85,.529,15,30,.500,10,13,.769,11,43,27,5,6,13,15,,41,83,.494,7,23,.304,9,11,.818,8,33,25,4,8,9,17
12,12,2015-11-18,@,SAS,L,98,109,38,98,.388,5,15,.333,17,18,.944,17,50,25,7,5,6,17,,42,86,.488,9,18,.500,16,20,.800,10,50,33,5,13,10,13
13,13,2015-11-20,,PHO,L,107,114,41,90,.456,5,24,.208,20,26,.769,14,38,24,8,4,11,22,,40,79,.506,15,27,.556,19,25,.760,10,42,22,7,7,19,26
14,14,2015-11-22,,GSW,L,105,118,37,86,.430,4,15,.267,27,35,.771,13,41,23,9,3,19,15,,47,89,.528,15,29,.517,9,13,.692,11,46,35,15,8,21,25
15,15,2015-11-24,,LAC,L,94,111,31,78,.397,8,25,.320,24,29,.828,8,48,16,3,0,16,32,,37,79,.468,8,20,.400,29,47,.617,11,43,24,10,8,7,25
16,16,2015-11-27,,SAS,L,80,91,31,77,.403,7,20,.350,11,13,.846,8,37,17,8,2,18,19,,36,75,.480,8,22,.364,11,14,.786,5,42,22,11,7,18,17
17,17,2015-11-28,@,DAL,L,81,92,30,75,.400,8,25,.320,13,17,.765,10,45,17,9,5,20,22,,33,77,.429,7,26,.269,19,27,.704,10,42,18,13,3,13,14
18,18,2015-11-30,@,MIL,L,74,92,28,75,.373,6,19,.316,12,16,.750,10,43,19,6,4,22,20,,35,77,.455,6,18,.333,16,22,.727,8,38,25,10,12,13,19
19,19,2015-12-02,@,CHI,L,90,99,36,93,.387,5,15,.333,13,22,.591,13,49,26,8,8,7,22,,36,89,.404,6,17,.353,21,27,.778,15,62,22,3,10,14,17
20,20,2015-12-03,@,TOR,W,106,105,38,81,.469,12,27,.444,18,18,1.000,6,42,30,2,4,11,19,,39,92,.424,8,27,.296,19,22,.864,9,39,21,9,3,4,16
21,21,2015-12-05,@,PHI,W,108,105,37,81,.457,11,31,.355,23,38,.605,13,47,25,8,4,17,21,,37,74,.500,15,31,.484,16,26,.615,7,40,22,11,8,20,28
22,22,2015-12-08,,ORL,L,74,85,28,84,.333,7,24,.292,11,20,.550,10,47,19,11,7,17,16,,38,88,.432,1,16,.063,8,10,.800,10,54,14,9,8,20,19
23,23,2015-12-11,,MIN,W,111,108,38,86,.442,11,28,.393,24,33,.727,8,50,21,7,1,12,25,,38,87,.437,7,19,.368,25,29,.862,8,43,22,5,8,10,27
24,24,2015-12-14,,HOU,W,114,108,42,82,.512,8,25,.320,22,25,.880,15,52,26,8,5,18,15,,41,87,.471,18,40,.450,8,11,.727,5,26,26,14,1,11,22
25,25,2015-12-15,@,MIN,W,112,100,41,73,.562,10,18,.556,20,27,.741,10,39,24,9,6,14,26,,36,77,.468,4,10,.400,24,31,.774,10,31,21,6,6,9,24
26,26,2015-12-18,@,UTA,L,88,97,31,79,.392,6,28,.214,20,25,.800,15,44,15,10,4,14,20,,34,73,.466,10,25,.400,19,25,.760,5,39,15,8,1,14,19
27,27,2015-12-20,,NOP,L,125,130,45,96,.469,17,35,.486,18,22,.818,13,39,26,5,4,5,25,,44,78,.564,11,24,.458,31,39,.795,7,36,24,4,11,10,22
28,28,2015-12-22,,LAL,L,107,111,41,90,.456,9,25,.360,16,19,.842,13,44,26,2,5,12,24,,40,84,.476,7,26,.269,24,32,.750,11,40,17,6,6,11,21
29,29,2015-12-23,@,PHO,W,104,96,42,91,.462,14,35,.400,6,13,.462,13,50,26,6,7,17,20,,36,87,.414,13,25,.520,11,17,.647,12,46,21,9,2,16,19
30,30,2015-12-26,@,SAS,L,86,101,38,86,.442,5,18,.278,5,6,.833,8,36,25,6,3,15,16,,39,81,.481,7,10,.700,16,17,.941,10,41,21,11,12,11,10
31,31,2015-12-27,@,OKC,L,112,122,46,94,.489,9,25,.360,11,15,.733,17,37,24,6,2,10,18,,48,83,.578,8,15,.533,18,21,.857,13,43,27,5,5,14,17
32,32,2015-12-29,,CLE,L,87,93,37,89,.416,5,24,.208,8,11,.727,12,52,18,8,6,18,19,,38,86,.442,4,22,.182,13,22,.591,9,44,17,12,3,12,16
33,33,2015-12-30,@,POR,L,103,110,37,87,.425,12,27,.444,17,19,.895,12,44,20,9,5,14,16,,41,87,.471,12,32,.375,16,20,.800,12,47,22,8,6,14,18
34,34,2016-01-02,@,GSW,L,108,111,44,105,.419,5,30,.167,15,23,.652,24,52,27,7,0,13,23,,43,86,.500,10,28,.357,15,23,.652,9,47,34,9,5,13,22
35,35,2016-01-03,,POR,L,106,112,34,80,.425,7,22,.318,31,48,.646,15,41,20,7,6,8,25,,40,78,.513,10,23,.435,22,32,.688,7,41,23,4,3,10,34
36,36,2016-01-06,@,MIN,W,78,74,29,81,.358,8,20,.400,12,17,.706,13,46,21,3,7,11,19,,28,73,.384,3,11,.273,15,20,.750,8,40,23,5,5,9,19
37,37,2016-01-08,@,MEM,L,84,91,32,87,.368,4,19,.211,16,19,.842,19,59,19,2,4,17,24,,30,82,.366,8,18,.444,23,30,.767,11,43,14,10,6,7,19
38,38,2016-01-10,,CHO,W,95,92,32,77,.416,12,27,.444,19,23,.826,8,44,25,7,7,13,20,,30,83,.361,12,36,.333,20,24,.833,9,40,24,6,4,12,18
39,39,2016-01-13,,GSW,W,112,110,37,87,.425,5,22,.227,33,37,.892,13,49,22,7,3,13,18,,42,88,.477,10,26,.385,16,20,.800,7,39,25,9,11,13,25
40,40,2016-01-15,,MIA,L,95,98,32,78,.410,6,18,.333,25,26,.962,6,37,23,4,6,13,18,,40,81,.494,4,12,.333,14,19,.737,9,42,26,5,13,13,20
41,41,2016-01-17,,IND,W,129,126,46,91,.505,10,26,.385,27,38,.711,17,42,25,12,4,17,26,,48,82,.585,9,20,.450,21,30,.700,9,33,27,10,6,15,29
42,42,2016-01-19,,OKC,L,104,110,35,83,.422,7,20,.350,27,36,.750,12,48,21,5,6,17,25,,41,97,.423,6,28,.214,22,30,.733,16,52,30,11,5,13,28
43,43,2016-01-21,,MEM,L,101,102,36,80,.450,9,30,.300,20,26,.769,10,40,26,6,1,10,25,,36,72,.500,6,21,.286,24,29,.828,4,37,21,7,6,12,23
44,44,2016-01-23,,DET,W,104,101,36,78,.462,8,22,.364,24,29,.828,3,32,18,15,4,8,19,,40,84,.476,11,29,.379,10,19,.526,11,51,23,4,5,16,22
45,45,2016-01-25,,ATL,L,105,119,33,84,.393,6,20,.300,33,37,.892,12,43,18,10,3,15,18,,43,86,.500,9,27,.333,24,26,.923,10,42,28,11,3,14,24
