Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-27,@,ATL,W,106,94,37,96,.385,12,29,.414,20,26,.769,23,59,23,5,3,15,15,,37,82,.451,8,27,.296,12,15,.800,7,40,22,9,4,15,25
2,2,2015-10-28,,UTA,W,92,87,30,74,.405,7,19,.368,25,34,.735,8,43,16,2,4,10,20,,35,75,.467,2,12,.167,15,21,.714,4,38,15,4,5,12,25
3,3,2015-10-30,,CHI,W,98,94,39,104,.375,6,28,.214,14,28,.500,20,61,18,9,2,14,19,,34,84,.405,7,22,.318,19,26,.731,8,50,18,8,8,19,24
4,4,2015-11-03,,IND,L,82,94,33,86,.384,5,22,.227,11,17,.647,19,50,14,8,5,23,21,,38,88,.432,7,23,.304,11,12,.917,12,42,21,15,5,15,19
5,5,2015-11-06,@,PHO,W,100,92,37,74,.500,8,22,.364,18,36,.500,6,47,15,8,3,15,21,,37,92,.402,10,30,.333,8,13,.615,11,46,14,8,3,16,29
6,6,2015-11-08,@,POR,W,120,103,47,96,.490,11,30,.367,15,22,.682,18,46,16,13,5,9,16,,41,76,.539,9,25,.360,12,18,.667,7,40,24,5,2,22,22
7,7,2015-11-09,@,GSW,L,95,109,40,85,.471,6,19,.316,9,15,.600,12,41,15,9,3,20,14,,43,91,.473,12,21,.571,11,13,.846,13,41,29,13,4,16,18
8,8,2015-11-11,@,SAC,L,92,101,34,89,.382,9,32,.281,15,20,.750,14,45,16,10,3,16,20,,37,74,.500,9,16,.563,18,24,.750,7,46,20,7,2,18,20
9,9,2015-11-14,@,LAC,L,96,101,33,74,.446,7,27,.259,23,35,.657,11,42,15,8,2,15,23,,37,79,.468,7,19,.368,20,26,.769,11,42,23,6,4,13,23
10,10,2015-11-15,@,LAL,L,85,97,35,96,.365,7,27,.259,8,15,.533,12,46,16,7,2,10,25,,31,75,.413,6,19,.316,29,39,.744,7,46,24,5,5,16,19
11,11,2015-11-17,,CLE,W,104,99,36,84,.429,7,21,.333,25,31,.806,11,48,20,11,1,13,15,,38,80,.475,11,33,.333,12,20,.600,3,40,21,8,2,14,25
12,12,2015-11-20,@,MIN,W,96,86,40,87,.460,6,28,.214,10,13,.769,8,45,13,11,5,14,23,,33,77,.429,3,13,.231,17,25,.680,6,40,17,7,4,17,19
13,13,2015-11-21,,WAS,L,95,97,36,79,.456,8,26,.308,15,21,.714,8,38,20,3,2,13,17,,38,78,.487,7,19,.368,14,20,.700,9,42,22,10,0,11,19
14,14,2015-11-23,@,MIL,L,88,109,31,91,.341,6,28,.214,20,24,.833,22,48,19,7,3,17,18,,43,83,.518,9,13,.692,14,17,.824,12,45,30,12,4,12,23
15,15,2015-11-25,,MIA,W,104,81,41,98,.418,16,31,.516,6,7,.857,18,54,24,6,7,7,16,,32,79,.405,6,20,.300,11,16,.688,10,43,21,2,7,13,14
16,16,2015-11-27,@,OKC,L,87,103,31,90,.344,9,29,.310,16,20,.800,13,38,17,9,1,8,21,,37,79,.468,7,24,.292,22,26,.846,12,58,19,2,9,18,19
17,17,2015-11-29,@,BRK,L,83,87,34,101,.337,6,24,.250,9,21,.429,19,51,19,11,1,14,15,,35,81,.432,4,12,.333,13,16,.813,7,51,15,8,11,19,16
18,18,2015-11-30,,HOU,W,116,105,45,85,.529,8,23,.348,18,37,.486,14,46,22,8,8,11,19,,35,88,.398,11,27,.407,24,28,.857,16,45,19,11,7,16,27
19,19,2015-12-02,,PHO,W,127,122,44,87,.506,12,27,.444,27,44,.614,13,50,24,10,1,18,20,,47,97,.485,14,33,.424,14,15,.933,10,36,28,7,3,15,33
20,20,2015-12-04,,MIL,W,102,95,34,82,.415,7,23,.304,27,39,.692,8,46,18,8,4,9,11,,39,87,.448,4,18,.222,13,14,.929,9,51,21,6,6,14,33
21,21,2015-12-06,,LAL,W,111,91,41,93,.441,9,24,.375,20,26,.769,17,61,20,11,1,16,21,,32,80,.400,5,18,.278,22,29,.759,8,39,12,6,4,15,21
22,22,2015-12-07,@,CHO,L,84,104,32,87,.368,10,34,.294,10,22,.455,7,41,17,11,2,12,20,,36,84,.429,8,26,.308,24,35,.686,14,57,21,5,5,14,20
23,23,2015-12-09,,MEM,L,92,93,37,87,.425,8,29,.276,10,15,.667,13,43,17,9,6,12,16,,41,88,.466,4,15,.267,7,13,.538,16,53,23,4,4,17,15
24,24,2015-12-11,@,PHI,W,107,95,43,93,.462,10,27,.370,11,16,.688,17,48,18,9,9,14,21,,36,80,.450,6,18,.333,17,24,.708,13,44,22,5,5,21,16
25,25,2015-12-12,,IND,W,118,96,45,90,.500,13,29,.448,15,19,.789,10,46,26,11,6,14,18,,41,82,.500,3,16,.188,11,18,.611,5,33,17,7,2,16,16
26,26,2015-12-14,,LAC,L,103,105,37,89,.416,6,19,.316,23,31,.742,15,54,17,8,0,18,21,,44,97,.454,6,19,.316,11,15,.733,10,39,29,9,4,10,22
27,27,2015-12-16,,BOS,W,119,116,38,78,.487,11,21,.524,32,43,.744,7,36,13,5,4,11,22,,43,89,.483,10,25,.400,20,24,.833,10,44,17,4,2,18,35
28,28,2015-12-18,@,CHI,W,147,144,56,124,.452,8,29,.276,27,46,.587,19,64,28,7,4,11,35,,50,120,.417,5,22,.227,39,44,.886,20,62,21,5,9,16,35
29,29,2015-12-22,@,MIA,W,93,92,35,78,.449,15,30,.500,8,14,.571,12,43,16,3,3,16,11,,39,88,.443,4,18,.222,10,12,.833,11,40,13,9,7,5,12
30,30,2015-12-23,@,ATL,L,100,107,38,89,.427,7,21,.333,17,33,.515,13,46,18,7,9,14,20,,43,89,.483,6,20,.300,15,20,.750,10,42,25,8,4,13,25
31,31,2015-12-26,,BOS,L,93,99,35,91,.385,6,25,.240,17,25,.680,18,51,16,11,2,15,24,,39,84,.464,4,23,.174,17,23,.739,11,47,20,6,1,14,24
32,32,2015-12-29,@,NYK,L,96,108,37,89,.416,10,27,.370,12,17,.706,15,39,21,6,4,10,14,,43,79,.544,8,16,.500,14,17,.824,6,36,23,5,8,10,18
33,33,2015-12-31,,MIN,W,115,90,41,86,.477,14,35,.400,19,28,.679,12,52,24,7,3,16,16,,35,86,.407,5,14,.357,15,19,.789,6,36,22,9,3,15,24
34,34,2016-01-02,@,IND,L,82,94,33,93,.355,3,20,.150,13,23,.565,12,48,17,5,2,10,18,,33,73,.452,7,18,.389,21,29,.724,6,47,11,7,9,13,22
35,35,2016-01-04,,ORL,W,115,89,43,88,.489,14,30,.467,15,21,.714,18,54,25,6,6,10,18,,36,81,.444,6,20,.300,11,11,1.000,5,30,17,6,7,8,16
36,36,2016-01-06,@,BOS,W,99,94,33,74,.446,10,27,.370,23,36,.639,11,47,18,4,5,18,27,,34,91,.374,6,28,.214,20,27,.741,13,39,23,5,5,10,28
37,37,2016-01-09,,BRK,W,103,89,43,92,.467,8,27,.296,9,14,.643,11,47,23,10,5,9,12,,38,82,.463,5,9,.556,8,10,.800,5,38,24,5,3,14,17
38,38,2016-01-12,,SAS,L,99,109,38,91,.418,6,23,.261,17,26,.654,11,41,22,8,2,12,24,,41,85,.482,5,14,.357,22,27,.815,11,49,20,9,5,17,20
39,39,2016-01-14,@,MEM,L,101,103,37,72,.514,15,32,.469,12,17,.706,8,35,18,3,2,20,21,,37,76,.487,9,16,.563,20,25,.800,5,29,21,13,3,15,19
40,40,2016-01-16,,GSW,W,113,95,47,101,.465,8,23,.348,11,20,.550,17,57,22,8,11,9,22,,34,94,.362,10,25,.400,17,23,.739,14,47,18,6,9,12,16
41,41,2016-01-18,,CHI,L,101,111,42,95,.442,5,26,.192,12,20,.600,20,50,18,8,2,11,16,,44,84,.524,9,21,.429,14,20,.700,6,38,28,6,6,10,16
42,42,2016-01-20,@,HOU,W,123,114,38,80,.475,12,30,.400,35,59,.593,14,52,23,8,7,10,17,,43,95,.453,12,24,.500,16,18,.889,11,48,21,7,3,13,41
43,43,2016-01-21,@,NOP,L,99,115,38,91,.418,7,30,.233,16,20,.800,18,44,17,5,2,15,14,,46,86,.535,5,12,.417,18,18,1.000,11,44,26,8,5,9,17
