Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-27,,NOP,W,111,95,41,96,.427,9,30,.300,20,22,.909,21,56,29,8,7,20,29,,35,83,.422,6,18,.333,19,27,.704,8,33,21,9,3,18,26
2,2,2015-10-30,@,HOU,W,112,92,43,93,.462,9,26,.346,17,25,.680,11,47,26,9,4,8,24,,30,82,.366,5,23,.217,27,36,.750,12,49,19,3,9,16,20
3,3,2015-10-31,@,NOP,W,134,120,46,84,.548,17,30,.567,25,35,.714,3,38,26,10,4,10,24,,46,100,.460,8,22,.364,20,23,.870,16,48,22,4,4,15,23
4,4,2015-11-02,,MEM,W,119,69,43,84,.512,11,25,.440,22,30,.733,10,65,32,8,13,14,15,,26,96,.271,3,23,.130,14,20,.700,11,44,21,8,7,11,24
5,5,2015-11-04,,LAC,W,112,108,39,85,.459,10,26,.385,24,31,.774,9,42,28,6,5,12,22,,43,88,.489,8,22,.364,14,22,.636,10,41,24,6,4,11,26
6,6,2015-11-06,,DEN,W,119,104,46,93,.495,17,37,.459,10,18,.556,13,53,40,10,6,20,22,,39,92,.424,8,24,.333,18,22,.818,10,44,23,13,5,19,20
7,7,2015-11-07,@,SAC,W,103,94,38,92,.413,8,39,.205,19,22,.864,15,46,27,13,2,18,15,,38,87,.437,6,19,.316,12,16,.750,13,45,26,9,3,21,19
8,8,2015-11-09,,DET,W,109,95,43,91,.473,12,21,.571,11,13,.846,13,41,29,13,4,16,18,,40,85,.471,6,19,.316,9,15,.600,12,41,15,9,3,20,14
9,9,2015-11-11,@,MEM,W,100,84,36,75,.480,11,27,.407,17,23,.739,7,36,22,12,8,23,30,,24,70,.343,3,15,.200,33,36,.917,10,41,15,14,5,21,26
10,10,2015-11-12,@,MIN,W,129,116,48,89,.539,18,38,.474,15,16,.938,6,33,34,8,7,11,25,,43,87,.494,3,9,.333,27,36,.750,15,47,21,4,1,13,18
11,11,2015-11-14,,BRK,W,107,99,43,97,.443,12,34,.353,9,10,.900,11,50,31,9,10,14,19,,41,98,.418,2,18,.111,15,16,.938,11,50,22,12,4,12,13
12,12,2015-11-17,,TOR,W,115,110,43,80,.538,11,29,.379,18,27,.667,9,34,31,10,6,20,29,,37,79,.468,6,18,.333,30,39,.769,12,40,18,11,2,18,25
13,13,2015-11-19,@,LAC,W,124,117,38,73,.521,17,30,.567,31,36,.861,8,44,31,4,4,19,20,,44,88,.500,13,29,.448,16,24,.667,9,35,21,11,2,10,25
14,14,2015-11-20,,CHI,W,106,94,39,79,.494,10,29,.345,18,24,.750,11,49,20,7,6,15,15,,35,88,.398,7,22,.318,17,23,.739,15,43,22,11,2,12,19
