Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,DEN,L,85,105,30,87,.345,8,35,.229,17,26,.654,15,44,17,13,8,16,19,,40,79,.506,13,27,.481,12,18,.667,9,49,26,9,10,21,26
2,2,2015-10-30,,GSW,L,92,112,30,82,.366,5,23,.217,27,36,.750,12,49,19,3,9,16,20,,43,93,.462,9,26,.346,17,25,.680,11,47,26,9,4,8,24
3,3,2015-11-01,@,MIA,L,89,109,32,79,.405,10,36,.278,15,18,.833,3,34,20,9,3,17,23,,42,86,.488,9,22,.409,16,21,.762,11,48,24,11,5,12,16
4,4,2015-11-02,,OKC,W,110,105,41,89,.461,9,29,.310,19,29,.655,7,34,22,18,7,12,22,,40,84,.476,10,23,.435,15,22,.682,14,55,17,7,9,24,24
5,5,2015-11-04,,ORL,W,119,114,42,88,.477,11,34,.324,24,34,.706,16,48,28,8,1,19,20,,46,91,.505,7,20,.350,15,19,.789,9,38,28,12,6,14,25
6,6,2015-11-06,@,SAC,W,116,110,40,82,.488,15,36,.417,21,27,.778,14,49,23,8,4,21,26,,40,93,.430,9,28,.321,21,29,.724,14,43,26,14,3,15,19
7,7,2015-11-07,@,LAC,W,109,105,38,86,.442,7,30,.233,26,29,.897,11,47,16,7,3,14,27,,42,88,.477,4,22,.182,17,25,.680,11,41,29,8,5,12,23
8,8,2015-11-11,,BRK,L,98,106,42,98,.429,8,34,.235,6,12,.500,13,45,25,9,9,7,14,,42,98,.429,8,17,.471,14,17,.824,20,60,25,5,11,11,13
9,9,2015-11-13,@,DEN,L,98,107,33,77,.429,9,29,.310,23,31,.742,8,40,19,10,8,20,25,,37,81,.457,9,20,.450,24,32,.750,12,46,25,10,4,18,23
10,10,2015-11-14,,DAL,L,98,110,32,84,.381,9,34,.265,25,32,.781,12,43,22,9,5,12,23,,43,89,.483,8,28,.286,16,21,.762,8,45,24,6,7,11,21
11,11,2015-11-16,,BOS,L,95,111,36,85,.424,11,32,.344,12,23,.522,14,46,23,10,6,22,20,,44,93,.473,11,36,.306,12,17,.706,16,49,27,16,3,19,22
12,12,2015-11-18,,POR,W,108,103,32,92,.348,14,44,.318,30,35,.857,13,51,22,11,6,17,20,,35,88,.398,9,30,.300,24,29,.828,10,48,18,11,7,19,27
13,13,2015-11-20,@,MEM,L,84,96,28,74,.378,6,29,.207,22,37,.595,9,49,15,11,9,23,23,,36,85,.424,8,24,.333,16,19,.842,8,47,26,16,4,11,30
14,14,2015-11-21,,NYK,L,102,107,35,81,.432,12,28,.429,20,28,.714,16,42,18,6,4,12,26,,34,80,.425,12,25,.480,27,34,.794,19,45,20,4,8,11,22
15,15,2015-11-25,,MEM,L,93,102,30,71,.423,10,34,.294,23,27,.852,6,37,19,14,7,19,22,,39,80,.488,3,16,.188,21,23,.913,9,41,21,8,3,17,23
16,16,2015-11-27,,PHI,W,116,114,38,73,.521,11,20,.550,29,37,.784,10,49,21,5,6,22,21,,40,83,.482,16,35,.457,18,26,.692,8,33,24,18,5,12,24
17,17,2015-11-29,@,NYK,W,116,111,43,95,.453,7,25,.280,23,36,.639,17,39,16,16,2,8,19,,45,78,.577,6,18,.333,15,17,.882,5,43,22,5,7,21,24
18,18,2015-11-30,@,DET,L,105,116,35,88,.398,11,27,.407,24,28,.857,16,45,19,11,7,16,27,,45,85,.529,8,23,.348,18,37,.486,14,46,22,8,8,11,19
19,19,2015-12-02,,NOP,W,108,101,36,87,.414,8,27,.296,28,39,.718,9,42,20,9,7,10,23,,36,88,.409,7,25,.280,22,25,.880,16,56,20,5,6,23,32
20,20,2015-12-04,@,DAL,W,100,96,39,84,.464,12,26,.462,10,18,.556,15,45,20,12,5,18,22,,37,81,.457,8,29,.276,14,20,.700,11,42,23,8,5,17,17
21,21,2015-12-05,,SAC,W,120,113,36,78,.462,16,34,.471,32,43,.744,13,43,25,9,5,17,18,,46,98,.469,10,26,.385,11,13,.846,13,47,35,12,7,13,27
22,22,2015-12-08,@,BRK,L,105,110,39,82,.476,15,35,.429,12,17,.706,10,36,26,20,3,23,15,,45,81,.556,7,18,.389,13,16,.813,12,42,27,14,7,24,17
23,23,2015-12-09,@,WAS,W,109,103,40,83,.482,12,33,.364,17,25,.680,6,42,23,8,4,19,23,,39,89,.438,5,25,.200,20,24,.833,11,47,20,8,3,18,25
24,24,2015-12-12,,LAL,W,126,97,47,90,.522,15,33,.455,17,28,.607,15,52,32,16,7,16,15,,35,88,.398,10,32,.313,17,20,.850,11,40,21,11,4,19,23
25,25,2015-12-14,@,DEN,L,108,114,41,87,.471,18,40,.450,8,11,.727,5,26,26,14,1,11,22,,42,82,.512,8,25,.320,22,25,.880,15,52,26,8,5,18,15
26,26,2015-12-15,@,SAC,L,97,107,34,82,.415,12,39,.308,17,23,.739,7,36,22,17,3,21,28,,38,75,.507,11,24,.458,20,29,.690,9,47,25,13,3,28,19
27,27,2015-12-17,@,LAL,W,107,87,34,88,.386,12,31,.387,27,42,.643,23,54,22,9,8,13,17,,36,84,.429,5,24,.208,10,18,.556,13,46,22,5,5,14,27
28,28,2015-12-19,,LAC,W,107,97,34,76,.447,8,25,.320,31,49,.633,13,55,22,7,7,15,29,,34,86,.395,11,38,.289,18,29,.621,7,38,21,10,6,12,36
29,29,2015-12-21,,CHO,W,102,95,33,71,.465,7,28,.250,29,41,.707,9,49,18,3,4,19,33,,29,83,.349,12,41,.293,25,31,.806,9,35,20,8,3,11,27
30,30,2015-12-23,@,ORL,L,101,104,41,83,.494,7,29,.241,12,17,.706,9,36,19,5,6,11,18,,44,84,.524,7,16,.438,9,13,.692,11,42,26,5,3,12,15
31,31,2015-12-25,,SAS,W,88,84,32,74,.432,7,15,.467,17,26,.654,8,42,23,8,2,17,17,,36,88,.409,5,20,.250,7,8,.875,14,47,24,11,4,15,20
32,32,2015-12-26,@,NOP,L,108,110,38,84,.452,15,33,.455,17,20,.850,10,35,21,8,3,10,20,,38,75,.507,13,24,.542,21,26,.808,8,40,25,5,8,15,17
33,33,2015-12-29,,ATL,L,115,121,39,72,.542,11,20,.550,26,39,.667,7,46,23,6,4,19,21,,43,99,.434,14,41,.341,21,25,.840,17,45,27,10,7,12,24
34,34,2015-12-31,,GSW,L,110,114,36,78,.462,12,30,.400,26,29,.897,4,33,21,13,5,15,22,,43,84,.512,11,23,.478,17,27,.630,12,43,35,8,5,18,20
35,35,2016-01-02,@,SAS,L,103,121,37,74,.500,9,22,.409,20,33,.606,8,37,26,7,4,15,20,,45,86,.523,13,24,.542,18,19,.947,8,39,31,9,2,11,22
