Rk,G,Date,Court,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,TOR,L,99,106,32,86,.372,9,23,.391,26,31,.839,8,40,23,14,3,13,30,,36,80,.450,7,18,.389,27,39,.692,9,50,19,8,2,20,24
2,2,2015-10-29,,MEM,L,103,112,37,78,.474,12,30,.400,17,24,.708,10,38,23,7,4,20,22,,41,82,.500,7,16,.438,23,29,.793,12,42,26,12,5,14,25
3,3,2015-10-31,,UTA,L,76,97,28,70,.400,4,17,.235,16,21,.762,7,34,10,8,7,24,19,,39,88,.443,6,15,.400,13,18,.722,15,47,15,13,4,17,24
4,4,2015-11-03,@,DET,W,94,82,38,88,.432,7,23,.304,11,12,.917,12,42,21,15,5,15,19,,33,86,.384,5,22,.227,11,17,.647,19,50,14,8,5,23,21
5,5,2015-11-04,,BOS,W,100,98,35,91,.385,8,23,.348,22,29,.759,21,53,18,10,1,14,20,,35,83,.422,10,27,.370,18,22,.818,15,49,20,7,5,19,22
6,6,2015-11-06,,MIA,W,90,87,36,80,.450,5,15,.333,13,24,.542,9,43,21,4,5,12,15,,36,81,.444,6,20,.300,9,13,.692,7,40,21,5,6,11,19
7,7,2015-11-08,@,CLE,L,97,101,39,90,.433,6,18,.333,13,19,.684,12,47,22,5,4,7,20,,38,83,.458,8,24,.333,17,25,.680,11,48,25,5,4,10,20
8,8,2015-11-09,,ORL,W,97,84,34,77,.442,11,25,.440,18,22,.818,6,42,25,12,4,18,16,,31,78,.397,10,33,.303,12,17,.706,7,44,16,9,3,21,20
9,9,2015-11-11,@,BOS,W,102,91,38,79,.481,6,17,.353,20,31,.645,10,41,20,9,6,18,28,,32,77,.416,4,24,.167,23,32,.719,8,36,18,10,3,18,26
10,10,2015-11-13,,MIN,W,107,103,41,86,.477,10,25,.400,15,23,.652,12,40,23,9,5,11,9,,42,83,.506,7,20,.350,12,13,.923,8,39,16,5,0,15,19
11,11,2015-11-16,@,CHI,L,95,96,35,87,.402,9,21,.429,16,24,.667,11,50,19,4,5,12,21,,35,86,.407,6,15,.400,20,32,.625,10,48,26,9,9,8,20
12,12,2015-11-18,@,PHI,W,112,85,42,92,.457,12,27,.444,16,20,.800,16,48,28,18,8,18,17,,35,76,.461,5,25,.200,10,16,.625,7,43,14,9,8,29,17
13,13,2015-11-21,,MIL,W,123,86,47,91,.516,15,30,.500,14,23,.609,11,42,28,15,5,14,13,,34,79,.430,5,17,.294,13,19,.684,13,43,19,9,5,23,19
14,14,2015-11-24,@,WAS,W,123,106,44,80,.550,19,26,.731,16,23,.696,7,41,25,11,0,20,18,,38,83,.458,13,33,.394,17,24,.708,10,40,27,9,1,21,18
15,15,2015-11-27,,CHI,W,104,92,37,87,.425,8,28,.286,22,29,.759,8,51,18,8,4,13,18,,32,92,.348,11,26,.423,17,20,.850,9,47,21,7,7,15,23
16,16,2015-11-29,@,LAL,W,107,103,34,83,.410,9,27,.333,30,37,.811,9,50,17,4,5,15,18,,38,99,.384,11,33,.333,16,22,.727,15,54,17,6,5,10,27
17,17,2015-12-02,@,LAC,W,103,91,32,76,.421,7,20,.350,32,39,.821,9,47,16,7,6,14,26,,30,79,.380,6,27,.222,25,39,.641,10,40,19,4,2,15,31
18,18,2015-12-03,@,POR,L,111,123,38,88,.432,13,30,.433,22,24,.917,15,41,18,4,3,12,17,,44,85,.518,18,36,.500,17,20,.850,15,48,26,11,3,15,20
19,19,2015-12-05,@,UTA,L,119,122,40,93,.430,12,29,.414,27,34,.794,12,44,17,10,2,15,34,,43,92,.467,8,23,.348,28,37,.757,19,54,21,7,3,15,30
20,20,2015-12-08,,GSW,L,123,131,44,100,.440,14,33,.424,21,26,.808,16,44,23,8,3,16,18,,52,95,.547,16,35,.457,11,15,.733,10,46,29,10,6,15,19
21,21,2015-12-11,,MIA,W,96,83,36,86,.419,6,28,.214,18,20,.900,7,45,22,13,6,12,13,,35,81,.432,5,20,.250,8,13,.615,8,45,14,6,8,19,16
22,22,2015-12-12,@,DET,L,96,118,41,82,.500,3,16,.188,11,18,.611,5,33,17,7,2,16,16,,45,90,.500,13,29,.448,15,19,.789,10,46,26,11,6,14,18
23,23,2015-12-14,,TOR,W,106,90,41,86,.477,10,22,.455,14,16,.875,10,44,14,8,3,14,21,,29,79,.367,10,28,.357,22,26,.846,15,45,10,9,6,18,21
24,24,2015-12-16,,DAL,W,107,81,43,89,.483,11,29,.379,10,17,.588,5,47,28,9,4,8,17,,33,90,.367,8,33,.242,7,10,.700,11,47,16,2,3,11,16
25,25,2015-12-18,,BRK,W,104,97,37,89,.416,7,28,.250,23,26,.885,14,52,17,4,4,11,15,,36,86,.419,8,16,.500,17,17,1.000,9,42,18,7,6,12,21
26,26,2015-12-19,@,MEM,L,84,96,30,77,.390,5,28,.179,19,25,.760,13,45,12,8,2,17,20,,37,83,.446,5,19,.263,17,21,.810,9,46,21,9,6,9,20
27,27,2015-12-21,@,SAS,L,92,106,38,90,.422,7,19,.368,9,15,.600,13,48,21,5,3,14,15,,46,89,.517,6,20,.300,8,9,.889,7,45,27,8,7,9,14
28,28,2015-12-23,,SAC,L,106,108,41,89,.461,12,32,.375,12,20,.600,6,38,20,14,4,11,16,,46,89,.517,4,23,.174,12,16,.750,6,49,28,6,4,16,16
29,29,2015-12-26,@,MIN,W,102,88,40,80,.500,9,26,.346,13,14,.929,10,39,25,10,2,21,13,,35,75,.467,4,12,.333,14,18,.778,9,33,22,14,2,21,16
30,30,2015-12-28,,ATL,W,93,87,38,87,.437,7,26,.269,10,18,.556,11,40,9,16,3,14,20,,31,74,.419,6,25,.240,19,25,.760,8,44,16,9,6,20,16
31,31,2015-12-30,@,CHI,L,100,102,37,97,.381,7,22,.318,19,24,.792,16,46,18,14,7,12,21,,37,86,.430,6,18,.333,22,27,.815,14,53,15,6,10,21,19
32,32,2015-12-31,,MIL,L,116,120,41,82,.500,13,30,.433,21,26,.808,7,35,27,9,6,19,25,,45,77,.584,6,14,.429,24,35,.686,6,34,18,12,10,16,25
33,33,2016-01-02,,DET,W,94,82,33,73,.452,7,18,.389,21,29,.724,6,47,11,7,9,13,22,,33,93,.355,3,20,.150,13,23,.565,12,48,17,5,2,10,18
34,34,2016-01-04,@,MIA,L,100,103,37,94,.394,8,28,.286,18,25,.720,14,55,18,4,3,10,26,,34,90,.378,5,22,.227,30,39,.769,15,52,14,5,6,7,23
35,35,2016-01-06,@,ORL,W,95,86,32,76,.421,6,22,.273,25,29,.862,9,42,19,11,6,16,18,,32,79,.405,6,31,.194,16,17,.941,9,39,17,7,6,17,21
36,36,2016-01-08,@,NOP,W,91,86,36,81,.444,5,21,.238,14,19,.737,14,54,21,7,7,24,17,,31,83,.373,9,29,.310,15,20,.750,8,37,21,21,5,15,18
37,37,2016-01-10,@,HOU,L,103,107,43,90,.478,9,31,.290,8,10,.800,5,39,33,12,5,18,21,,39,89,.438,14,38,.368,15,23,.652,10,49,24,11,3,22,21
38,38,2016-01-12,,PHO,W,116,97,41,79,.519,10,24,.417,24,31,.774,8,41,25,13,5,13,21,,36,89,.404,8,25,.320,17,27,.630,16,45,24,6,3,18,25
39,39,2016-01-13,@,BOS,L,94,103,37,91,.407,5,30,.167,15,20,.750,13,48,18,12,3,17,20,,40,90,.444,9,26,.346,14,20,.700,14,49,24,7,2,19,18
40,40,2016-01-15,,WAS,L,104,118,38,80,.475,3,17,.176,25,32,.781,6,35,19,9,3,13,12,,51,98,.520,11,25,.440,5,10,.500,17,54,26,8,2,15,29
41,41,2016-01-17,@,DEN,L,126,129,48,82,.585,9,20,.450,21,30,.700,9,33,27,10,6,15,29,,46,91,.505,10,26,.385,27,38,.711,17,42,25,12,4,17,26
42,42,2016-01-19,@,PHO,W,97,94,34,83,.410,4,20,.200,25,34,.735,10,46,14,16,6,14,23,,28,81,.346,11,35,.314,27,29,.931,13,53,15,4,2,22,23
43,43,2016-01-22,@,GSW,L,110,122,44,95,.463,3,17,.176,19,27,.704,15,44,22,11,4,13,20,,43,90,.478,14,33,.424,22,25,.880,14,50,31,9,4,17,24
44,44,2016-01-23,@,SAC,L,97,108,36,86,.419,7,19,.368,18,25,.720,9,41,18,7,10,10,26,,38,85,.447,5,16,.313,27,36,.750,13,52,19,7,4,14,22
45,45,2016-01-26,,LAC,L,89,91,35,83,.422,5,16,.313,14,24,.583,12,48,18,7,2,17,17,,32,78,.410,15,37,.405,12,24,.500,9,44,16,9,5,15,20
46,46,2016-01-28,,ATL,W,111,92,38,78,.487,9,15,.600,26,30,.867,10,49,20,10,8,16,17,,33,83,.398,7,28,.250,19,21,.905,5,32,20,9,4,14,22
47,47,2016-01-30,,DEN,W,109,105,44,100,.440,9,27,.333,12,16,.750,14,49,26,6,10,15,22,,40,87,.460,4,18,.222,21,25,.840,8,45,24,10,3,19,22
48,48,2016-02-01,,CLE,L,106,111,43,101,.426,8,27,.296,12,14,.857,17,44,24,11,7,16,23,,44,88,.500,7,22,.318,16,23,.696,10,45,22,8,3,16,19
49,49,2016-02-03,@,BRK,W,114,100,44,88,.500,12,24,.500,14,17,.824,10,44,23,11,5,15,20,,36,81,.444,7,23,.304,21,31,.677,9,40,25,5,2,16,20
50,50,2016-02-05,@,ATL,L,96,102,38,91,.418,13,31,.419,7,9,.778,19,53,23,6,4,19,18,,39,76,.513,10,27,.370,14,20,.700,3,32,29,10,5,15,16
51,51,2016-02-06,,DET,W,112,104,41,76,.539,6,11,.545,24,29,.828,8,41,21,7,1,16,25,,38,79,.481,12,33,.364,16,31,.516,11,38,14,7,3,14,26
52,52,2016-02-08,,LAL,W,89,87,31,78,.397,4,27,.148,23,33,.697,8,53,13,8,5,16,21,,29,93,.312,8,35,.229,21,26,.808,14,51,13,10,2,12,24
53,53,2016-02-10,,CHO,L,95,117,40,92,.435,4,18,.222,11,15,.733,12,39,19,7,4,11,14,,45,87,.517,12,28,.429,15,19,.789,10,45,24,6,8,13,13
54,54,2016-02-19,@,OKC,W,101,98,39,88,.443,9,22,.409,14,22,.636,10,45,27,8,8,11,14,,42,96,.438,5,26,.192,9,10,.900,9,48,28,6,4,13,21
55,55,2016-02-21,@,ORL,W,105,102,41,82,.500,9,24,.375,14,21,.667,5,44,26,7,6,21,25,,38,91,.418,7,25,.280,19,29,.655,11,45,27,12,3,14,23
56,56,2016-02-22,@,MIA,L,93,101,36,92,.391,5,15,.333,16,25,.640,7,45,17,8,6,12,26,,38,100,.380,2,13,.154,23,34,.676,20,66,19,8,8,14,24
57,57,2016-02-24,,NYK,W,108,105,46,91,.505,3,15,.200,13,16,.813,9,43,22,8,4,8,19,,35,77,.455,13,26,.500,22,25,.880,8,38,22,4,5,13,17
58,58,2016-02-26,,CHO,L,95,96,35,85,.412,4,19,.211,21,24,.875,10,52,19,8,3,14,20,,36,83,.434,11,28,.393,13,19,.684,6,38,23,8,7,14,21
59,59,2016-02-28,,POR,L,102,111,40,93,.430,3,14,.214,19,25,.760,19,52,21,7,5,9,17,,41,81,.506,14,24,.583,15,21,.714,8,45,19,4,7,12,20
60,60,2016-02-29,@,CLE,L,96,100,37,80,.463,8,18,.444,14,15,.933,9,36,23,8,11,11,23,,35,83,.422,9,29,.310,21,25,.840,9,40,22,4,2,11,15
61,61,2016-03-02,@,MIL,W,104,99,38,80,.475,10,20,.500,18,26,.692,12,49,28,7,6,14,23,,34,76,.447,3,14,.214,28,32,.875,6,37,14,8,1,12,21
62,62,2016-03-04,@,CHO,L,101,108,37,90,.411,9,28,.321,18,21,.857,12,46,23,10,4,10,24,,38,79,.481,13,31,.419,19,23,.826,7,41,20,4,9,11,19
63,63,2016-03-05,@,WAS,W,100,99,37,83,.446,7,21,.333,19,20,.950,10,42,14,8,4,12,28,,39,89,.438,6,15,.400,15,24,.625,14,46,25,7,4,16,21
64,64,2016-03-07,,SAS,W,99,91,32,78,.410,7,16,.438,28,30,.933,8,48,19,5,7,9,18,,34,96,.354,4,28,.143,19,22,.864,18,52,15,5,6,8,19
65,65,2016-03-12,@,DAL,W,112,105,38,81,.469,9,28,.321,27,29,.931,9,42,24,10,6,14,25,,41,85,.482,8,22,.364,15,18,.833,7,40,30,7,1,13,21
66,66,2016-03-13,@,ATL,L,75,104,33,87,.379,5,24,.208,4,7,.571,7,38,24,9,5,16,14,,40,85,.471,15,30,.500,9,10,.900,9,50,27,11,6,15,13
67,67,2016-03-15,,BOS,W,103,98,39,84,.464,5,12,.417,20,28,.714,11,45,18,9,7,13,18,,36,94,.383,8,31,.258,18,22,.818,17,50,23,6,3,13,21
68,68,2016-03-17,,TOR,L,94,101,35,91,.385,8,28,.286,16,23,.696,9,48,21,9,7,14,32,,32,88,.364,7,22,.318,30,38,.789,15,57,11,5,5,14,21
69,69,2016-03-19,,OKC,L,111,115,40,83,.482,9,22,.409,22,30,.733,8,34,28,11,2,12,18,,42,80,.525,10,28,.357,21,26,.808,9,45,26,8,4,18,25
