Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,SAC,W,111,104,42,80,.525,6,19,.316,21,31,.677,6,42,20,8,9,15,19,,41,94,.436,11,24,.458,11,18,.611,12,49,24,8,3,16,27
2,2,2015-10-29,,DAL,W,104,88,38,87,.437,8,31,.258,20,33,.606,8,53,21,6,8,8,17,,35,97,.361,6,30,.200,12,15,.800,14,55,22,4,2,12,26
3,3,2015-10-31,,SAC,W,114,109,39,76,.513,4,17,.235,32,46,.696,6,41,25,4,9,17,22,,43,101,.426,6,18,.333,17,25,.680,19,49,20,9,2,13,34
4,4,2015-11-02,,PHO,W,102,96,37,81,.457,8,26,.308,20,23,.870,3,46,20,4,5,11,18,,36,98,.367,9,30,.300,15,21,.714,16,55,23,8,1,9,20
5,5,2015-11-04,@,GSW,L,108,112,43,88,.489,8,22,.364,14,22,.636,10,41,24,6,4,11,26,,39,85,.459,10,26,.385,24,31,.774,9,42,28,6,5,12,22
6,6,2015-11-07,,HOU,L,105,109,42,88,.477,4,22,.182,17,25,.680,11,41,29,8,5,12,23,,38,86,.442,7,30,.233,26,29,.897,11,47,16,7,3,14,27
7,7,2015-11-09,,MEM,W,94,92,28,68,.412,5,19,.263,33,37,.892,8,40,14,5,8,18,20,,35,80,.438,2,11,.182,20,29,.690,10,40,21,11,3,14,28
8,8,2015-11-11,@,DAL,L,108,118,37,86,.430,12,27,.444,22,33,.667,13,41,21,4,2,10,24,,42,76,.553,11,24,.458,23,30,.767,8,44,23,8,3,13,29
9,9,2015-11-12,@,PHO,L,104,118,40,90,.444,9,26,.346,15,28,.536,12,37,17,13,3,14,17,,44,83,.530,14,30,.467,16,21,.762,9,46,22,10,3,19,23
10,10,2015-11-14,,DET,W,101,96,37,79,.468,7,19,.368,20,26,.769,11,42,23,6,4,13,23,,33,74,.446,7,27,.259,23,35,.657,11,42,15,8,2,15,23
11,11,2015-11-19,,GSW,L,117,124,44,88,.500,13,29,.448,16,24,.667,9,35,21,11,2,10,25,,38,73,.521,17,30,.567,31,36,.861,8,44,31,4,4,19,20
12,12,2015-11-20,@,POR,L,91,102,38,86,.442,7,24,.292,8,16,.500,10,42,24,6,5,13,24,,38,90,.422,8,25,.320,18,24,.750,17,55,16,8,3,14,17
13,13,2015-11-22,,TOR,L,80,91,29,74,.392,7,32,.219,15,20,.750,12,42,21,9,9,19,30,,29,78,.372,4,17,.235,29,31,.935,14,46,15,8,0,14,19
14,14,2015-11-24,@,DEN,W,111,94,37,79,.468,8,20,.400,29,47,.617,11,43,24,10,8,7,25,,31,78,.397,8,25,.320,24,29,.828,8,48,16,3,0,16,32
15,15,2015-11-25,,UTA,L,91,102,38,75,.507,4,12,.333,11,17,.647,11,35,18,11,7,19,22,,39,77,.506,6,13,.462,18,25,.720,11,39,19,12,4,16,20
16,16,2015-11-27,,NOP,W,111,90,40,83,.482,7,19,.368,24,30,.800,5,49,27,6,7,13,20,,34,94,.362,5,20,.250,17,23,.739,15,50,20,8,1,12,23
17,17,2015-11-29,,MIN,W,107,99,39,75,.520,8,22,.364,21,33,.636,7,39,24,3,5,13,21,,37,82,.451,8,16,.500,17,21,.810,7,39,21,7,3,13,27
18,18,2015-11-30,,POR,W,102,87,33,85,.388,8,19,.421,28,56,.500,18,55,26,7,5,10,22,,33,87,.379,5,23,.217,16,27,.593,13,54,18,6,2,18,38
19,19,2015-12-02,,IND,L,91,103,30,79,.380,6,27,.222,25,39,.641,10,40,19,4,2,15,31,,32,76,.421,7,20,.350,32,39,.821,9,47,16,7,6,14,26
20,20,2015-12-05,,ORL,W,103,101,37,82,.451,12,31,.387,17,25,.680,10,45,25,5,2,14,15,,40,90,.444,6,20,.300,15,18,.833,15,51,22,8,6,13,21
21,21,2015-12-07,@,MIN,W,110,106,38,86,.442,8,25,.320,26,29,.897,13,43,21,10,9,17,26,,36,82,.439,7,18,.389,27,35,.771,11,46,18,10,3,18,29
22,22,2015-12-09,@,MIL,W,109,95,38,81,.469,12,28,.429,21,36,.583,12,51,27,7,8,14,16,,42,90,.467,2,10,.200,9,12,.750,7,40,26,7,1,11,29
23,23,2015-12-10,@,CHI,L,80,83,30,88,.341,10,22,.455,10,12,.833,15,52,22,4,4,13,15,,31,87,.356,7,23,.304,14,16,.875,13,54,20,8,6,11,12
24,24,2015-12-12,@,BRK,W,105,100,43,86,.500,8,24,.333,11,18,.611,7,40,28,12,0,12,21,,35,79,.443,5,19,.263,25,30,.833,12,46,17,5,2,16,22
25,25,2015-12-14,@,DET,W,105,103,44,97,.454,6,19,.316,11,15,.733,10,39,29,9,4,10,22,,37,89,.416,6,19,.316,23,31,.742,15,54,17,8,0,18,21
26,26,2015-12-16,,MIL,W,103,90,36,75,.480,11,21,.524,20,24,.833,10,40,25,7,4,14,10,,38,88,.432,5,16,.313,9,11,.818,15,41,21,9,6,11,21
27,27,2015-12-18,@,SAS,L,107,115,36,72,.500,10,24,.417,25,40,.625,6,37,23,6,8,10,22,,43,87,.494,10,19,.526,19,24,.792,10,44,25,7,4,8,30
28,28,2015-12-19,@,HOU,L,97,107,34,86,.395,11,38,.289,18,29,.621,7,38,21,10,6,12,36,,34,76,.447,8,25,.320,31,49,.633,13,55,22,7,7,15,29
29,29,2015-12-21,,OKC,L,99,100,41,87,.471,7,22,.318,10,14,.714,10,45,21,7,3,13,15,,40,85,.471,4,17,.235,16,20,.800,10,44,21,10,4,11,16
30,30,2015-12-25,@,LAL,W,94,84,38,85,.447,10,26,.385,8,11,.727,8,45,22,10,3,16,20,,32,77,.416,7,23,.304,13,25,.520,6,40,17,10,2,15,13
31,31,2015-12-26,@,UTA,W,109,104,38,79,.481,13,26,.500,20,24,.833,7,34,24,9,6,12,23,,36,74,.486,10,27,.370,22,27,.815,8,36,18,7,4,16,22
32,32,2015-12-28,@,WAS,W,108,91,41,78,.526,7,23,.304,19,25,.760,3,37,23,11,4,16,18,,34,87,.391,7,24,.292,16,24,.667,13,45,19,10,3,16,18
33,33,2015-12-30,@,CHO,W,122,117,37,71,.521,15,30,.500,33,41,.805,8,39,27,7,7,12,26,,38,88,.432,9,30,.300,32,36,.889,17,42,20,8,3,11,26
34,34,2015-12-31,@,NOP,W,95,89,35,90,.389,10,34,.294,15,19,.789,13,47,24,8,6,12,14,,36,82,.439,7,25,.280,10,15,.667,5,42,21,6,3,15,22
35,35,2016-01-02,,PHI,W,130,99,49,81,.605,12,23,.522,20,25,.800,6,47,28,7,6,14,17,,41,89,.461,9,23,.391,8,17,.471,9,33,30,8,4,12,21
36,36,2016-01-06,@,POR,W,109,98,42,83,.506,11,23,.478,14,17,.824,10,42,24,7,6,10,22,,38,86,.442,9,26,.346,13,23,.565,17,49,21,5,4,13,18
