Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,MIN,L,111,112,35,90,.389,9,34,.265,32,35,.914,12,48,18,2,4,13,29,,38,83,.458,5,20,.250,31,37,.838,6,39,24,3,4,8,26
2,2,2015-10-30,@,SAC,L,114,132,41,89,.461,11,34,.324,21,27,.778,8,37,20,7,9,19,24,,52,101,.515,6,22,.273,22,30,.733,16,56,26,6,7,14,23
3,3,2015-11-01,,DAL,L,93,103,31,85,.365,10,34,.294,21,28,.750,8,42,18,8,9,12,20,,40,87,.460,11,30,.367,12,16,.750,8,49,28,5,4,11,22
4,4,2015-11-03,,DEN,L,109,120,36,86,.419,6,26,.231,31,38,.816,11,40,18,9,4,10,28,,43,85,.506,7,20,.350,27,31,.871,11,49,30,5,7,14,23
5,5,2015-11-06,@,BRK,W,104,98,33,78,.423,7,23,.304,31,40,.775,5,40,14,9,6,15,22,,40,93,.430,3,19,.158,15,20,.750,14,46,21,6,6,15,29
6,6,2015-11-08,@,NYK,L,95,99,36,94,.383,9,27,.333,14,23,.609,12,46,19,7,3,9,20,,33,84,.393,9,27,.333,24,29,.828,10,52,22,5,5,9,15
7,7,2015-11-10,@,MIA,L,88,101,34,77,.442,11,22,.500,9,12,.750,5,36,21,7,7,17,21,,38,84,.452,5,20,.250,20,27,.741,15,47,23,7,7,10,12
8,8,2015-11-11,@,ORL,L,99,101,39,79,.494,7,22,.318,14,18,.778,7,43,25,5,7,13,11,,40,100,.400,13,28,.464,8,12,.667,23,54,22,7,4,8,19
9,9,2015-11-13,@,DAL,L,82,90,29,88,.330,9,27,.333,15,18,.833,15,57,18,10,7,20,27,,30,82,.366,7,27,.259,23,29,.793,7,48,19,9,4,15,15
10,10,2015-11-15,,DET,W,97,85,31,75,.413,6,19,.316,29,39,.744,7,46,24,5,5,16,19,,35,96,.365,7,27,.259,8,15,.533,12,46,16,7,2,10,25
11,11,2015-11-16,@,PHO,L,101,120,37,77,.481,9,20,.450,18,20,.900,7,37,12,5,2,16,23,,45,93,.484,11,30,.367,19,25,.760,18,50,23,13,6,10,16
12,12,2015-11-20,,TOR,L,91,102,35,77,.455,8,25,.320,13,17,.765,9,41,21,8,4,15,18,,34,78,.436,15,33,.455,19,24,.792,12,41,21,7,3,12,15
13,13,2015-11-22,,POR,L,93,107,32,88,.364,6,18,.333,23,27,.852,15,51,17,2,6,10,12,,43,87,.494,8,25,.320,13,17,.765,7,43,27,7,8,10,18
