Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,CLE,L,76,106,29,82,.354,2,16,.125,16,22,.727,11,40,15,8,3,16,18,,41,84,.488,13,29,.448,11,17,.647,12,54,29,7,2,19,25
2,2,2015-10-29,@,IND,W,112,103,41,82,.500,7,16,.438,23,29,.793,12,42,26,12,5,14,25,,37,78,.474,12,30,.400,17,24,.708,10,38,23,7,4,20,22
3,3,2015-10-31,,BRK,W,101,91,34,80,.425,9,23,.391,24,28,.857,11,42,26,6,2,9,19,,38,79,.481,3,13,.231,12,18,.667,8,43,21,3,3,12,22
4,4,2015-11-02,@,GSW,L,69,119,26,96,.271,3,23,.130,14,20,.700,11,44,21,8,7,11,24,,43,84,.512,11,25,.440,22,30,.733,10,65,32,8,13,14,15
5,5,2015-11-03,@,SAC,W,103,89,40,83,.482,3,20,.150,20,25,.800,12,50,23,5,7,16,31,,29,74,.392,7,20,.350,24,40,.600,8,35,17,8,1,13,21
6,6,2015-11-05,@,POR,L,96,115,37,77,.481,7,20,.350,15,21,.714,7,36,20,4,5,8,14,,44,87,.506,15,30,.500,12,20,.600,14,47,29,3,3,8,19
7,7,2015-11-07,@,UTA,L,79,89,30,91,.330,6,19,.316,13,14,.929,13,44,16,8,1,14,21,,31,74,.419,12,27,.444,15,18,.833,9,49,18,7,10,21,20
8,8,2015-11-09,@,LAC,L,92,94,35,80,.438,2,11,.182,20,29,.690,10,40,21,11,3,14,28,,28,68,.412,5,19,.263,33,37,.892,8,40,14,5,8,18,20
9,9,2015-11-11,,GSW,L,84,100,24,70,.343,3,15,.200,33,36,.917,10,41,15,14,5,21,26,,36,75,.480,11,27,.407,17,23,.739,7,36,22,12,8,23,30
10,10,2015-11-13,,POR,W,101,100,36,86,.419,6,16,.375,23,27,.852,14,35,22,10,0,8,21,,33,69,.478,8,22,.364,26,29,.897,10,43,17,5,10,22,22
11,11,2015-11-15,@,MIN,W,114,106,40,71,.563,9,17,.529,25,27,.926,4,34,21,7,6,15,16,,41,82,.500,5,16,.313,19,21,.905,9,33,20,10,2,12,24
12,12,2015-11-16,,OKC,W,122,114,37,84,.440,12,17,.706,36,39,.923,12,34,23,11,4,10,22,,41,81,.506,10,24,.417,22,31,.710,12,44,22,7,6,19,28
13,13,2015-11-20,,HOU,W,96,84,36,85,.424,8,24,.333,16,19,.842,8,47,26,16,4,11,30,,28,74,.378,6,29,.207,22,37,.595,9,49,15,11,9,23,23
14,14,2015-11-21,@,SAS,L,82,92,32,74,.432,1,9,.111,17,17,1.000,7,35,19,13,2,16,23,,34,72,.472,7,21,.333,17,22,.773,7,40,20,7,6,17,20
15,15,2015-11-24,,DAL,W,110,96,37,86,.430,7,21,.333,29,37,.784,5,42,20,12,4,9,24,,30,77,.390,11,34,.324,25,28,.893,4,48,22,4,6,19,25
16,16,2015-11-25,@,HOU,W,102,93,39,80,.488,3,16,.188,21,23,.913,9,41,21,8,3,17,23,,30,71,.423,10,34,.294,23,27,.852,6,37,19,14,7,19,22
17,17,2015-11-27,,ATL,L,101,116,35,80,.438,12,30,.400,19,21,.905,5,37,20,3,1,13,25,,35,75,.467,14,39,.359,32,36,.889,6,40,25,4,3,10,21
18,18,2015-11-29,,PHI,W,92,84,34,81,.420,4,13,.308,20,27,.741,15,49,19,11,7,26,18,,30,77,.390,12,36,.333,12,16,.750,8,41,23,18,9,25,29
19,19,2015-12-01,@,NOP,W,113,104,43,90,.478,2,10,.200,25,26,.962,13,49,21,3,4,6,23,,35,81,.432,9,27,.333,25,33,.758,9,37,25,3,11,8,21
20,20,2015-12-03,,SAS,L,83,103,30,80,.375,2,16,.125,21,25,.840,9,37,19,6,6,11,17,,40,80,.500,10,18,.556,13,18,.722,10,48,27,8,8,15,21
21,21,2015-12-06,,PHO,W,95,93,36,90,.400,5,15,.333,18,24,.750,15,46,23,8,5,12,16,,36,82,.439,9,31,.290,12,17,.706,11,47,20,8,5,18,24
22,22,2015-12-08,,OKC,L,88,125,33,81,.407,3,14,.214,19,22,.864,11,33,14,6,4,15,17,,47,84,.560,13,26,.500,18,23,.783,10,46,31,11,3,12,17
23,23,2015-12-09,@,DET,W,93,92,41,88,.466,4,15,.267,7,13,.538,16,53,23,4,4,17,15,,37,87,.425,8,29,.276,10,15,.667,13,43,17,9,6,12,16
24,24,2015-12-11,,CHO,L,99,123,32,80,.400,7,20,.350,28,37,.757,11,40,19,8,5,12,24,,39,78,.500,18,37,.486,27,30,.900,7,41,23,5,5,13,24
25,25,2015-12-13,@,MIA,L,97,100,40,77,.519,7,19,.368,10,14,.714,5,33,23,10,3,13,21,,37,77,.481,7,22,.318,19,23,.826,7,35,18,9,1,10,15
26,26,2015-12-14,,WAS,W,112,95,44,78,.564,10,15,.667,14,15,.933,6,39,26,8,5,17,18,,37,86,.430,9,24,.375,12,20,.600,10,36,22,9,3,14,13
27,27,2015-12-16,@,CHI,L,85,98,32,76,.421,5,19,.263,16,28,.571,5,41,27,6,5,13,20,,38,86,.442,9,24,.375,13,19,.684,9,45,22,5,6,14,17
28,28,2015-12-18,@,DAL,L,88,97,30,80,.375,6,17,.353,22,24,.917,10,39,13,11,3,12,19,,34,78,.436,10,29,.345,19,21,.905,11,50,27,7,4,19,17
29,29,2015-12-19,,IND,W,96,84,37,83,.446,5,19,.263,17,21,.810,9,46,21,9,6,9,20,,30,77,.390,5,28,.179,19,25,.760,13,45,12,8,2,17,20
