Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,CHO,W,104,94,36,73,.493,12,20,.600,20,21,.952,2,41,23,5,7,13,25,,33,84,.393,6,24,.250,22,29,.759,11,43,16,4,1,8,16
2,2,2015-10-30,@,CLE,L,92,102,33,77,.429,6,21,.286,20,22,.909,6,38,21,5,7,13,20,,39,86,.453,6,25,.240,18,21,.857,14,49,25,4,4,11,19
3,3,2015-11-01,,HOU,W,109,89,42,86,.488,9,22,.409,16,21,.762,11,48,24,11,5,12,16,,32,79,.405,10,36,.278,15,18,.833,3,34,20,9,3,17,23
4,4,2015-11-03,,ATL,L,92,98,38,86,.442,5,28,.179,11,16,.688,13,49,13,10,9,18,21,,37,90,.411,7,21,.333,17,22,.773,16,51,25,10,1,15,14
5,5,2015-11-05,@,MIN,W,96,84,37,76,.487,4,14,.286,18,25,.720,7,42,14,6,6,16,19,,30,85,.353,4,12,.333,20,22,.909,10,44,16,7,6,16,27
6,6,2015-11-06,@,IND,L,87,90,36,81,.444,6,20,.300,9,13,.692,7,40,21,5,6,11,19,,36,80,.450,5,15,.333,13,24,.542,9,43,21,4,5,12,15
7,7,2015-11-08,,TOR,W,96,76,35,83,.422,8,20,.400,18,25,.720,13,48,18,8,8,10,20,,28,71,.394,3,19,.158,17,22,.773,7,38,17,8,5,16,21
8,8,2015-11-10,,LAL,W,101,88,38,84,.452,5,20,.250,20,27,.741,15,47,23,7,7,10,12,,34,77,.442,11,22,.500,9,12,.750,5,36,21,7,7,17,21
9,9,2015-11-12,,UTA,W,92,91,36,77,.468,4,13,.308,16,25,.640,8,47,14,6,11,15,20,,34,89,.382,4,17,.235,19,25,.760,11,42,13,10,9,10,23
10,10,2015-11-17,,MIN,L,91,103,36,79,.456,5,24,.208,14,30,.467,10,51,20,3,12,22,26,,36,97,.371,4,21,.190,27,35,.771,15,54,14,12,5,8,26
