Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,NYK,L,97,122,30,86,.349,9,18,.500,28,31,.903,18,47,17,7,4,18,27,,42,93,.452,9,23,.391,29,35,.829,19,49,24,11,7,11,28
2,2,2015-10-30,,WAS,L,113,118,42,82,.512,7,24,.292,22,28,.786,6,32,33,9,2,16,32,,35,68,.515,12,21,.571,36,44,.818,8,37,25,7,5,21,20
3,3,2015-11-01,@,TOR,L,87,106,29,69,.420,5,19,.263,24,24,1.000,7,33,21,6,8,18,21,,41,90,.456,11,25,.440,13,20,.650,18,46,22,12,3,13,19
4,4,2015-11-02,@,BRK,W,103,96,38,73,.521,9,23,.391,18,26,.692,8,36,24,6,7,14,23,,36,79,.456,6,19,.316,18,22,.818,10,35,21,3,4,18,23
5,5,2015-11-04,,PHI,W,91,87,35,86,.407,8,23,.348,13,17,.765,8,36,24,6,4,10,19,,34,81,.420,6,28,.214,13,15,.867,12,51,23,4,9,18,23
6,6,2015-11-06,@,NYK,W,99,92,35,81,.432,3,14,.214,26,29,.897,13,41,21,6,5,12,24,,33,81,.407,4,24,.167,22,28,.786,14,43,20,3,5,15,22
7,7,2015-11-07,,BRK,W,94,86,37,82,.451,8,20,.400,12,16,.750,10,41,27,9,6,15,16,,34,82,.415,3,9,.333,15,19,.789,17,52,18,11,3,18,18
8,8,2015-11-10,,BOS,L,83,99,30,73,.411,6,17,.353,17,23,.739,9,41,14,10,2,17,18,,38,86,.442,7,30,.233,16,19,.842,14,45,21,11,6,12,18
9,9,2015-11-11,@,DEN,L,102,103,42,79,.532,10,22,.455,8,9,.889,8,33,26,8,4,16,23,,39,79,.494,8,24,.333,17,24,.708,14,36,27,10,6,14,12
10,10,2015-11-14,,CLE,W,108,105,43,102,.422,6,16,.375,16,22,.727,15,51,20,6,9,12,25,,37,91,.407,14,38,.368,17,27,.630,14,54,21,6,8,20,24
11,11,2015-11-17,@,WAS,L,86,115,31,72,.431,10,21,.476,14,24,.583,6,34,22,5,3,19,27,,37,70,.529,12,22,.545,29,41,.707,6,42,25,8,3,12,19
12,12,2015-11-19,@,CLE,L,100,115,38,73,.521,3,8,.375,21,26,.808,6,22,22,8,2,11,29,,40,71,.563,11,24,.458,24,30,.800,13,43,29,3,2,17,24
13,13,2015-11-21,@,IND,L,86,123,34,79,.430,5,17,.294,13,19,.684,13,43,19,9,5,23,19,,47,91,.516,15,30,.500,14,23,.609,11,42,28,15,5,14,13
14,14,2015-11-23,,DET,W,109,88,43,83,.518,9,13,.692,14,17,.824,12,45,30,12,4,12,23,,31,91,.341,6,28,.214,20,24,.833,22,48,19,7,3,17,18
15,15,2015-11-25,,SAC,L,118,129,42,88,.477,13,31,.419,21,27,.778,10,37,30,7,7,11,22,,44,77,.571,10,23,.435,31,37,.838,7,42,23,9,7,8,19
16,16,2015-11-27,@,ORL,L,90,114,31,74,.419,8,26,.308,20,22,.909,6,38,20,8,2,21,20,,43,82,.524,12,27,.444,16,22,.727,8,41,30,9,5,18,18
