Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,LAL,W,112,111,38,83,.458,5,20,.250,31,37,.838,6,39,24,3,4,8,26,,35,90,.389,9,34,.265,32,35,.914,12,48,18,2,4,13,29
2,2,2015-10-30,@,DEN,W,95,78,30,71,.423,2,11,.182,33,41,.805,7,49,18,7,6,17,24,,29,95,.305,5,25,.200,15,20,.750,17,51,15,7,4,14,27
3,3,2015-11-02,,POR,L,101,106,34,79,.430,3,13,.231,30,39,.769,8,41,22,10,4,15,22,,41,89,.461,9,30,.300,15,20,.750,11,46,18,5,6,16,27
4,4,2015-11-05,,MIA,L,84,96,30,85,.353,4,12,.333,20,22,.909,10,44,16,7,6,16,27,,37,76,.487,4,14,.286,18,25,.720,7,42,14,6,6,16,19
5,5,2015-11-07,@,CHI,W,102,93,39,96,.406,7,16,.438,17,27,.630,14,58,26,8,7,15,23,,33,93,.355,11,32,.344,16,23,.696,10,50,20,7,6,18,26
6,6,2015-11-09,@,ATL,W,117,107,46,80,.575,7,15,.467,18,22,.818,8,40,27,10,5,19,18,,44,86,.512,13,31,.419,6,7,.857,4,27,30,13,6,17,19
7,7,2015-11-10,,CHO,L,95,104,36,80,.450,9,19,.474,14,19,.737,10,48,25,6,4,22,21,,38,78,.487,8,26,.308,20,27,.741,4,34,18,8,5,16,20
8,8,2015-11-12,,GSW,L,116,129,43,87,.494,3,9,.333,27,36,.750,15,47,21,4,1,13,18,,48,89,.539,18,38,.474,15,16,.938,6,33,34,8,7,11,25
9,9,2015-11-13,@,IND,L,103,107,42,83,.506,7,20,.350,12,13,.923,8,39,16,5,0,15,19,,41,86,.477,10,25,.400,15,23,.652,12,40,23,9,5,11,9
10,10,2015-11-15,,MEM,L,106,114,41,82,.500,5,16,.313,19,21,.905,9,33,20,10,2,12,24,,40,71,.563,9,17,.529,25,27,.926,4,34,21,7,6,15,16
11,11,2015-11-17,@,MIA,W,103,91,36,97,.371,4,21,.190,27,35,.771,15,54,14,12,5,8,26,,36,79,.456,5,24,.208,14,30,.467,10,51,20,3,12,22,26
12,12,2015-11-18,@,ORL,L,101,104,36,85,.424,4,18,.222,25,30,.833,11,57,21,4,13,14,23,,41,110,.373,9,21,.429,13,21,.619,20,54,20,10,4,9,21
13,13,2015-11-20,,DET,L,86,96,33,77,.429,3,13,.231,17,25,.680,6,40,17,7,4,17,19,,40,87,.460,6,28,.214,10,13,.769,8,45,13,11,5,14,23
14,14,2015-11-23,,PHI,W,100,95,36,78,.462,3,12,.250,25,27,.926,9,42,20,8,7,17,25,,32,78,.410,10,31,.323,21,27,.778,11,41,15,10,6,19,26
