Rk,G,Date,Court,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-27,@,GSW,L,95,111,35,83,.422,6,18,.333,19,27,.704,8,33,21,9,3,18,26,,41,96,.427,9,30,.300,20,22,.909,21,56,29,8,7,20,29
2,2,2015-10-28,@,POR,L,94,112,36,91,.396,11,33,.333,11,18,.611,5,39,19,7,2,11,17,,44,88,.500,12,32,.375,12,14,.857,6,51,22,7,4,12,21
3,3,2015-10-31,,GSW,L,120,134,46,100,.460,8,22,.364,20,23,.870,16,48,22,4,4,15,23,,46,84,.548,17,30,.567,25,35,.714,3,38,26,10,4,10,24
4,4,2015-11-03,,ORL,L,94,103,32,90,.356,12,36,.333,18,25,.720,10,46,23,12,9,14,14,,42,90,.467,7,18,.389,12,12,1.000,10,55,24,5,3,18,18
5,5,2015-11-06,,ATL,L,115,121,42,84,.500,10,30,.333,21,24,.875,6,32,30,9,7,12,24,,41,77,.532,9,21,.429,30,35,.857,6,41,30,10,6,15,21
6,6,2015-11-07,@,DAL,L,98,107,39,86,.453,9,28,.321,11,13,.846,7,42,21,7,6,12,24,,40,84,.476,9,24,.375,18,22,.818,6,42,20,5,2,9,17
7,7,2015-11-10,,DAL,W,120,105,46,92,.500,14,33,.424,14,18,.778,9,48,25,9,5,11,27,,39,88,.443,5,20,.250,22,26,.846,8,44,20,4,4,13,17
8,8,2015-11-11,@,ATL,L,98,106,37,83,.446,14,29,.483,10,15,.667,8,40,21,6,0,19,21,,42,86,.488,10,26,.385,12,16,.750,8,44,26,10,7,12,16
9,9,2015-11-13,@,TOR,L,81,100,30,82,.366,7,23,.304,14,20,.700,10,38,15,10,4,14,22,,34,77,.442,9,21,.429,23,27,.852,13,48,19,8,5,15,19
10,10,2015-11-15,@,NYK,L,87,95,32,71,.451,6,21,.286,17,19,.895,4,36,16,5,5,18,22,,38,88,.432,4,18,.222,15,19,.789,10,41,18,8,4,9,20
11,11,2015-11-17,,DEN,L,98,115,41,83,.494,7,23,.304,9,11,.818,8,33,25,4,8,9,17,,45,85,.529,15,30,.500,10,13,.769,11,43,27,5,6,13,15
12,12,2015-11-18,@,OKC,L,103,110,43,95,.453,8,32,.250,9,9,1.000,10,40,21,8,4,11,25,,38,85,.447,7,17,.412,27,40,.675,16,50,19,6,4,14,16
13,13,2015-11-20,,SAS,W,104,90,40,88,.455,8,22,.364,16,17,.941,7,53,26,3,3,9,17,,34,84,.405,9,17,.529,13,16,.813,5,43,22,5,8,8,17
14,14,2015-11-22,,PHO,W,122,116,39,85,.459,11,30,.367,33,40,.825,10,49,23,11,6,14,26,,35,90,.389,17,36,.472,29,33,.879,11,46,17,6,4,15,29
15,15,2015-11-25,@,PHO,W,120,114,42,81,.519,10,22,.455,26,34,.765,5,42,20,4,6,14,23,,44,96,.458,10,26,.385,16,20,.800,11,44,25,8,5,10,26
16,16,2015-11-27,@,LAC,L,90,111,34,94,.362,5,20,.250,17,23,.739,15,50,20,8,1,12,23,,40,83,.482,7,19,.368,24,30,.800,5,49,27,6,7,13,20
17,17,2015-11-28,@,UTA,L,87,101,29,69,.420,5,17,.294,24,30,.800,4,35,19,8,4,16,19,,38,82,.463,9,18,.500,16,21,.762,12,49,18,11,9,15,25
18,18,2015-12-01,,MEM,L,104,113,35,81,.432,9,27,.333,25,33,.758,9,37,25,3,11,8,21,,43,90,.478,2,10,.200,25,26,.962,13,49,21,3,4,6,23
19,19,2015-12-02,@,HOU,L,101,108,36,88,.409,7,25,.280,22,25,.880,16,56,20,5,6,23,32,,36,87,.414,8,27,.296,28,39,.718,9,42,20,9,7,10,23
20,20,2015-12-04,,CLE,W,114,108,42,85,.494,9,25,.360,21,31,.677,11,46,25,10,2,15,25,,39,89,.438,10,33,.303,20,24,.833,12,43,18,8,1,14,26
21,21,2015-12-07,,BOS,L,93,111,37,90,.411,4,13,.308,15,18,.833,13,44,21,8,6,14,17,,40,81,.494,12,28,.429,19,24,.792,10,46,24,8,8,17,18
22,22,2015-12-11,,WAS,W,107,105,39,79,.494,16,27,.593,13,18,.722,7,41,21,9,0,16,18,,40,80,.500,12,27,.444,13,21,.619,6,33,27,10,1,10,17
23,23,2015-12-12,@,CHI,L,94,98,40,89,.449,6,16,.375,8,11,.727,5,41,26,9,6,10,22,,33,78,.423,8,20,.400,24,29,.828,7,48,17,6,6,13,10
24,24,2015-12-14,@,POR,L,101,105,36,82,.439,8,25,.320,21,27,.778,5,41,15,9,9,9,22,,35,81,.432,13,32,.406,22,29,.759,10,50,28,7,5,15,21
25,25,2015-12-16,@,UTA,W,104,94,34,73,.466,10,21,.476,26,28,.929,8,36,14,9,2,10,24,,32,67,.478,7,20,.350,23,29,.793,5,34,17,4,4,12,20
26,26,2015-12-18,@,PHO,L,88,104,26,71,.366,4,22,.182,32,38,.842,10,36,13,8,7,21,23,,44,84,.524,6,16,.375,10,17,.588,12,45,22,10,2,19,27
27,27,2015-12-20,@,DEN,W,130,125,44,78,.564,11,24,.458,31,39,.795,7,36,24,4,11,10,22,,45,96,.469,17,35,.486,18,22,.818,13,39,26,5,4,5,25
28,28,2015-12-23,,POR,W,115,89,41,85,.482,13,31,.419,20,23,.870,8,49,27,5,8,11,17,,33,95,.347,7,28,.250,16,24,.667,22,58,16,7,7,13,22
29,29,2015-12-25,@,MIA,L,88,94,36,90,.400,6,20,.300,10,11,.909,7,45,19,10,3,17,20,,35,88,.398,6,26,.231,18,27,.667,11,57,19,10,5,17,15
30,30,2015-12-26,,HOU,W,110,108,38,75,.507,13,24,.542,21,26,.808,8,40,25,5,8,15,17,,38,84,.452,15,33,.455,17,20,.850,10,35,21,8,3,10,20
31,31,2015-12-28,@,ORL,L,89,104,37,83,.446,5,20,.250,10,15,.667,10,42,23,5,5,13,15,,45,82,.549,7,17,.412,7,11,.636,4,37,28,7,1,9,14
32,32,2015-12-31,,LAC,L,89,95,36,82,.439,7,25,.280,10,15,.667,5,42,21,6,3,15,22,,35,90,.389,10,34,.294,15,19,.789,13,47,24,8,6,12,14
33,33,2016-01-02,@,DAL,W,105,98,40,83,.482,6,20,.300,19,24,.792,9,53,19,8,2,19,19,,36,83,.434,10,26,.385,16,19,.842,3,33,20,10,2,13,17
34,34,2016-01-06,,DAL,L,91,100,34,92,.370,7,30,.233,16,20,.800,15,51,22,7,5,10,18,,37,87,.425,7,28,.250,19,22,.864,11,52,22,7,6,10,18
35,35,2016-01-08,,IND,L,86,91,31,83,.373,9,29,.310,15,20,.750,8,37,21,21,5,15,18,,36,81,.444,5,21,.238,14,19,.737,14,54,21,7,7,24,17
36,36,2016-01-10,@,LAC,L,111,114,40,100,.400,8,30,.267,23,29,.793,15,56,20,8,2,14,24,,42,89,.472,12,36,.333,18,34,.529,8,47,26,8,3,14,24
37,37,2016-01-12,@,LAL,L,91,95,38,91,.418,6,23,.261,9,14,.643,12,51,20,2,6,11,27,,32,87,.368,6,29,.207,25,32,.781,11,47,16,7,4,8,17
38,38,2016-01-13,@,SAC,W,109,97,42,100,.420,16,33,.485,9,11,.818,13,45,27,10,3,7,18,,41,84,.488,6,23,.261,9,14,.643,10,52,21,4,7,18,15
39,39,2016-01-15,,CHO,W,109,107,43,87,.494,12,27,.444,11,13,.846,8,38,29,7,7,8,15,,42,86,.488,14,35,.400,9,12,.750,3,38,21,1,1,11,17
40,40,2016-01-18,@,MEM,L,99,101,36,74,.486,6,19,.316,21,23,.913,6,34,19,8,5,15,22,,35,75,.467,8,19,.421,23,30,.767,11,40,27,9,3,10,25
41,41,2016-01-19,,MIN,W,114,99,42,83,.506,10,23,.435,20,23,.870,12,40,21,9,6,15,24,,36,76,.474,3,14,.214,24,31,.774,12,39,18,10,7,16,21
42,42,2016-01-21,,DET,W,115,99,46,86,.535,5,12,.417,18,18,1.000,11,44,26,8,5,9,17,,38,91,.418,7,30,.233,16,20,.800,18,44,17,5,2,15,14
43,43,2016-01-23,,MIL,W,116,99,43,94,.457,17,31,.548,13,17,.765,12,41,33,10,4,8,17,,39,74,.527,6,15,.400,15,18,.833,6,43,20,3,6,18,20
44,44,2016-01-25,,HOU,L,111,112,42,91,.462,13,29,.448,14,25,.560,16,50,23,8,4,12,16,,38,80,.475,19,40,.475,17,21,.810,7,38,22,7,5,13,20
45,45,2016-01-28,,SAC,W,114,105,43,98,.439,10,26,.385,18,24,.750,12,47,25,9,6,14,20,,40,89,.449,10,28,.357,15,20,.750,4,40,29,6,8,13,20
46,46,2016-01-30,,BRK,W,105,103,43,93,.462,11,27,.407,8,10,.800,14,48,24,6,6,9,17,,40,84,.476,9,20,.450,14,23,.609,10,44,23,6,5,10,13
47,47,2016-02-01,,MEM,L,95,110,36,88,.409,10,26,.385,13,21,.619,14,37,19,8,4,9,14,,43,71,.606,9,16,.563,15,18,.833,3,40,27,4,5,14,21
48,48,2016-02-03,@,SAS,L,97,110,41,90,.456,3,19,.158,12,14,.857,11,45,21,12,4,16,23,,42,81,.519,9,15,.600,17,18,.944,4,36,30,6,8,14,13
49,49,2016-02-04,,LAL,L,96,99,39,85,.459,4,20,.200,14,26,.538,7,40,16,8,4,7,21,,39,81,.481,7,20,.350,14,20,.700,9,48,14,4,0,16,22
50,50,2016-02-06,@,CLE,L,84,99,34,87,.391,5,23,.217,11,16,.688,13,42,18,5,2,8,16,,39,90,.433,14,41,.341,7,7,1.000,10,49,21,6,6,12,17
51,51,2016-02-08,@,MIN,W,116,102,47,97,.485,10,24,.417,12,20,.600,9,41,22,7,3,4,25,,36,81,.444,2,12,.167,28,35,.800,11,50,24,0,9,12,23
52,52,2016-02-10,,UTA,W,100,96,39,82,.476,8,19,.421,14,21,.667,9,40,23,9,3,9,21,,33,70,.471,7,21,.333,23,30,.767,8,44,19,6,3,17,21
53,53,2016-02-11,@,OKC,L,95,121,38,88,.432,3,16,.188,16,24,.667,7,31,17,13,2,7,17,,45,86,.523,12,32,.375,19,23,.826,9,50,28,4,7,18,20
54,54,2016-02-19,,PHI,W,121,114,41,81,.506,7,17,.412,32,40,.800,11,42,22,12,4,16,22,,40,76,.526,12,27,.444,22,26,.846,3,32,20,11,4,19,27
55,55,2016-02-21,@,DET,W,111,106,41,86,.477,4,20,.200,25,29,.862,11,51,23,5,2,15,20,,37,89,.416,12,33,.364,20,32,.625,11,41,18,9,6,11,25
56,56,2016-02-23,@,WAS,L,89,109,29,83,.349,6,23,.261,25,33,.758,8,48,17,8,4,16,17,,43,94,.457,12,26,.462,11,17,.647,7,55,29,9,4,14,24
57,57,2016-02-25,,OKC,W,123,119,47,90,.522,12,20,.600,17,18,.944,14,39,29,5,6,12,25,,47,86,.547,8,19,.421,17,22,.773,9,36,25,4,6,13,15
58,58,2016-02-27,,MIN,L,110,112,39,84,.464,10,27,.370,22,26,.846,7,42,22,9,4,15,24,,42,84,.500,5,15,.333,23,30,.767,7,44,28,9,5,11,21
59,59,2016-03-02,@,HOU,L,95,100,36,90,.400,14,37,.378,9,13,.692,6,43,24,10,3,22,28,,36,81,.444,3,35,.086,25,38,.658,8,51,20,15,9,21,14
60,60,2016-03-03,,SAS,L,86,94,35,89,.393,8,24,.333,8,8,1.000,7,41,23,6,4,11,13,,36,81,.444,8,21,.381,14,15,.933,5,49,27,8,10,11,11
61,61,2016-03-05,,UTA,L,94,106,38,92,.413,9,19,.474,9,11,.818,6,32,25,6,5,8,27,,37,78,.474,6,20,.300,26,27,.963,10,53,23,4,10,14,17
62,62,2016-03-07,,SAC,W,115,112,45,94,.479,7,25,.280,18,26,.692,10,43,23,17,6,17,21,,41,83,.494,7,25,.280,23,27,.852,6,44,27,12,1,22,25
63,63,2016-03-09,@,CHO,L,113,122,40,85,.471,10,33,.303,23,28,.821,6,43,22,2,3,11,23,,38,82,.463,15,35,.429,31,38,.816,4,43,21,6,3,5,18
64,64,2016-03-11,@,MEM,L,114,121,42,96,.438,7,24,.292,23,34,.676,15,58,23,6,6,17,27,,47,96,.490,6,14,.429,21,32,.656,10,50,27,14,7,10,26
65,65,2016-03-12,@,MIL,L,92,103,35,89,.393,6,29,.207,16,21,.762,11,47,19,7,4,16,19,,40,81,.494,4,13,.308,19,24,.792,5,42,22,11,6,14,16
66,66,2016-03-14,@,GSW,L,107,125,35,93,.376,7,25,.280,30,34,.882,17,40,18,14,3,8,19,,47,81,.580,12,25,.480,19,23,.826,8,46,30,6,6,18,22
67,67,2016-03-16,@,SAC,W,123,108,49,90,.544,12,21,.571,13,16,.813,7,42,26,5,4,8,14,,42,90,.467,9,18,.500,15,17,.882,8,39,23,7,2,11,18
68,68,2016-03-18,,POR,L,112,117,40,83,.482,10,21,.476,22,28,.786,3,34,23,7,4,7,26,,36,78,.462,9,27,.333,36,40,.900,6,45,17,4,3,12,26
69,69,2016-03-20,,LAC,W,109,105,35,71,.493,7,21,.333,32,40,.800,10,54,22,9,1,23,34,,33,82,.402,10,39,.256,29,42,.690,7,35,21,12,5,12,28
70,70,2016-03-22,,MIA,L,99,113,34,87,.391,7,16,.438,24,30,.800,11,42,16,7,1,12,25,,44,88,.500,3,19,.158,22,27,.815,14,53,21,5,5,12,22
71,71,2016-03-24,@,IND,L,84,92,35,85,.412,4,16,.250,10,14,.714,9,47,15,7,0,16,16,,36,79,.456,7,20,.350,13,15,.867,3,44,26,10,6,13,12
72,72,2016-03-26,,TOR,L,91,115,37,85,.435,4,15,.267,13,20,.650,9,36,22,6,1,7,18,,39,73,.534,12,29,.414,25,28,.893,7,48,24,6,7,13,18
73,73,2016-03-28,,NYK,W,99,91,32,75,.427,8,19,.421,27,37,.730,6,47,18,11,3,13,16,,36,89,.404,10,31,.323,9,13,.692,6,42,26,9,6,14,26
74,74,2016-03-30,@,SAS,L,92,100,36,80,.450,8,17,.471,12,18,.667,11,44,27,6,0,17,17,,36,75,.480,12,24,.500,16,22,.727,6,38,23,10,8,12,18
75,75,2016-03-31,,DEN,W,101,95,40,90,.444,13,29,.448,8,9,.889,14,51,29,7,4,16,16,,36,83,.434,10,27,.370,13,17,.765,8,40,28,10,7,13,15
76,76,2016-04-03,@,BRK,W,106,87,42,76,.553,8,22,.364,14,23,.609,5,32,31,11,7,12,21,,33,85,.388,8,23,.348,13,21,.619,21,50,20,5,3,20,23
77,77,2016-04-05,@,PHI,L,93,107,37,82,.451,7,18,.389,12,16,.750,14,49,20,5,1,17,16,,40,88,.455,13,34,.382,14,17,.824,11,41,31,10,6,8,15
78,78,2016-04-06,@,BOS,L,97,104,34,78,.436,9,24,.375,20,23,.870,8,49,21,5,2,22,28,,36,87,.414,10,34,.294,22,27,.815,8,41,24,10,7,9,20
79,79,2016-04-08,,LAL,W,110,102,42,79,.532,10,22,.455,16,21,.762,9,43,29,5,4,16,20,,34,81,.420,11,24,.458,23,27,.852,10,34,18,9,5,13,23
80,80,2016-04-09,,PHO,L,100,121,39,95,.411,7,21,.333,15,20,.750,13,42,19,8,2,11,26,,43,83,.518,10,25,.400,25,31,.806,11,53,27,6,8,17,25
81,81,2016-04-11,,CHI,L,116,121,41,80,.513,12,26,.462,22,28,.786,10,33,28,8,2,10,23,,44,77,.571,10,23,.435,23,26,.885,5,35,29,5,3,9,20
82,82,2016-04-13,@,MIN,L,109,144,40,92,.435,11,30,.367,18,22,.818,10,33,31,7,0,16,16,,56,86,.651,13,28,.464,19,23,.826,5,43,41,14,8,13,20
