Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,MIL,W,122,97,42,93,.452,9,23,.391,29,35,.829,19,49,24,11,7,11,28,,30,86,.349,9,18,.500,28,31,.903,18,47,17,7,4,18,27
2,2,2015-10-29,,ATL,L,101,112,38,93,.409,6,29,.207,19,21,.905,16,48,21,10,4,21,24,,42,83,.506,10,24,.417,18,26,.692,7,39,26,11,4,15,18
3,3,2015-10-31,@,WAS,W,117,110,41,86,.477,9,19,.474,26,32,.813,9,40,21,8,5,18,30,,38,90,.422,6,22,.273,28,33,.848,11,43,17,9,3,17,32
4,4,2015-11-02,,SAS,L,84,94,32,89,.360,4,13,.308,16,21,.762,17,49,17,8,3,10,18,,39,79,.494,4,13,.308,12,17,.706,8,45,21,6,7,13,12
5,5,2015-11-04,@,CLE,L,86,96,33,84,.393,8,24,.333,12,15,.800,9,40,16,6,7,12,23,,33,83,.398,7,27,.259,23,32,.719,9,48,21,5,2,11,12
6,6,2015-11-06,,MIL,L,92,99,33,81,.407,4,24,.167,22,28,.786,14,43,20,3,5,15,22,,35,81,.432,3,14,.214,26,29,.897,13,41,21,6,5,12,24
7,7,2015-11-08,,LAL,W,99,95,33,84,.393,9,27,.333,24,29,.828,10,52,22,5,5,9,15,,36,94,.383,9,27,.333,14,23,.609,12,46,19,7,3,9,20
8,8,2015-11-10,@,TOR,W,111,109,42,95,.442,11,23,.478,16,18,.889,13,44,22,8,7,9,27,,37,84,.440,4,17,.235,31,39,.795,14,49,25,7,6,11,17
9,9,2015-11-11,@,CHO,L,93,95,42,86,.488,4,21,.190,5,7,.714,11,52,20,5,5,16,24,,35,84,.417,8,23,.348,17,28,.607,7,33,21,11,5,5,9
10,10,2015-11-13,,CLE,L,84,90,29,79,.367,9,27,.333,17,21,.810,10,46,16,7,4,14,26,,33,78,.423,6,28,.214,18,31,.581,12,49,12,6,1,12,19
11,11,2015-11-15,,NOP,W,95,87,38,88,.432,4,18,.222,15,19,.789,10,41,18,8,4,9,20,,32,71,.451,6,21,.286,17,19,.895,4,36,16,5,5,18,22
12,12,2015-11-17,,CHO,W,102,94,36,89,.404,10,20,.500,20,21,.952,10,45,22,4,6,10,20,,36,82,.439,5,20,.250,17,25,.680,8,42,13,7,7,7,16
13,13,2015-11-20,@,OKC,W,93,90,33,72,.458,12,20,.600,15,23,.652,6,36,23,10,5,20,20,,35,92,.380,3,29,.103,17,23,.739,21,49,12,9,4,14,19
14,14,2015-11-21,@,HOU,W,107,102,34,80,.425,12,25,.480,27,34,.794,19,45,20,4,8,11,22,,35,81,.432,12,28,.429,20,28,.714,16,42,18,6,4,12,26
