Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,SAS,W,112,106,42,86,.488,7,19,.368,21,22,.955,11,45,21,7,4,19,19,,45,93,.484,5,15,.333,11,13,.846,7,36,22,11,9,13,18
2,2,2015-10-30,@,ORL,W,139,136,50,110,.455,8,27,.296,31,38,.816,22,62,19,8,9,20,28,,47,106,.443,12,33,.364,30,38,.789,14,49,25,10,10,16,31
3,3,2015-11-01,,DEN,W,117,93,45,86,.523,13,25,.520,14,18,.778,13,50,32,9,10,19,23,,35,92,.380,9,26,.346,14,19,.737,14,35,20,8,3,13,17
4,4,2015-11-02,@,HOU,L,105,110,40,84,.476,10,23,.435,15,22,.682,14,55,17,7,9,24,24,,41,89,.461,9,29,.310,19,29,.655,7,34,22,18,7,12,22
5,5,2015-11-04,,TOR,L,98,103,39,82,.476,8,23,.348,12,14,.857,11,41,26,8,10,19,29,,33,79,.418,5,14,.357,32,39,.821,12,45,12,14,3,14,16
6,6,2015-11-05,@,CHI,L,98,104,38,84,.452,5,13,.385,17,20,.850,9,44,21,2,8,9,18,,40,90,.444,7,18,.389,17,21,.810,11,47,20,3,7,6,17
7,7,2015-11-08,,PHO,W,124,103,49,94,.521,4,20,.200,22,30,.733,17,52,26,14,8,15,25,,38,84,.452,7,16,.438,20,26,.769,7,33,18,7,1,23,25
8,8,2015-11-10,@,WAS,W,125,101,44,86,.512,15,23,.652,22,29,.759,10,53,27,4,2,12,22,,38,97,.392,5,24,.208,20,26,.769,12,41,17,8,5,8,22
9,9,2015-11-13,,PHI,W,102,85,39,97,.402,8,25,.320,16,21,.762,16,55,20,9,13,13,19,,30,86,.349,5,17,.294,20,28,.714,12,43,16,11,7,17,17
10,10,2015-11-15,,BOS,L,85,100,28,77,.364,6,25,.240,23,29,.793,10,34,18,10,6,18,20,,39,82,.476,9,23,.391,13,20,.650,12,47,25,12,7,18,26
11,11,2015-11-16,@,MEM,L,114,122,41,81,.506,10,24,.417,22,31,.710,12,44,22,7,6,19,28,,37,84,.440,12,17,.706,36,39,.923,12,34,23,11,4,10,22
12,12,2015-11-18,,NOP,W,110,103,38,85,.447,7,17,.412,27,40,.675,16,50,19,6,4,14,16,,43,95,.453,8,32,.250,9,9,1.000,10,40,21,8,4,11,25
13,13,2015-11-20,,NYK,L,90,93,35,92,.380,3,29,.103,17,23,.739,21,49,12,9,4,14,19,,33,72,.458,12,20,.600,15,23,.652,6,36,23,10,5,20,20
14,14,2015-11-22,,DAL,W,117,114,47,90,.522,9,22,.409,14,18,.778,14,41,25,8,6,16,23,,44,83,.530,10,19,.526,16,28,.571,9,36,26,8,4,17,17
15,15,2015-11-23,@,UTA,W,111,89,42,77,.545,11,27,.407,16,18,.889,6,36,22,12,10,16,31,,28,73,.384,5,19,.263,28,40,.700,13,41,15,11,3,21,18
16,16,2015-11-25,,BRK,W,110,99,41,78,.526,10,24,.417,18,21,.857,4,42,26,11,7,19,11,,43,94,.457,3,13,.231,10,12,.833,11,45,20,10,3,17,19
