Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,WAS,L,87,88,37,100,.370,5,26,.192,8,12,.667,17,56,20,9,6,14,22,,33,84,.393,7,28,.250,15,25,.600,15,49,17,8,9,17,14
2,2,2015-10-30,,OKC,L,136,139,47,106,.443,12,33,.364,30,38,.789,14,49,25,10,10,16,31,,50,110,.455,8,27,.296,31,38,.816,22,62,19,8,9,20,28
3,3,2015-11-01,@,CHI,L,87,92,35,90,.389,7,23,.304,10,17,.588,12,43,21,7,11,16,19,,33,87,.379,7,28,.250,19,22,.864,11,47,23,7,8,13,16
4,4,2015-11-03,@,NOP,W,103,94,42,90,.467,7,18,.389,12,12,1.000,10,55,24,5,3,18,18,,32,90,.356,12,36,.333,18,25,.720,10,46,23,12,9,14,14
5,5,2015-11-04,@,HOU,L,114,119,46,91,.505,7,20,.350,15,19,.789,9,38,28,12,6,14,25,,42,88,.477,11,34,.324,24,34,.706,16,48,28,8,1,19,20
6,6,2015-11-06,,TOR,W,92,87,33,77,.429,9,25,.360,17,22,.773,6,40,22,4,4,12,25,,30,86,.349,5,23,.217,22,29,.759,15,44,13,5,5,9,18
7,7,2015-11-07,@,PHI,W,105,97,39,83,.470,6,13,.462,21,24,.875,10,41,24,10,7,13,23,,36,80,.450,11,33,.333,14,26,.538,10,38,24,6,10,16,20
8,8,2015-11-09,@,IND,L,84,97,31,78,.397,10,33,.303,12,17,.706,7,44,16,9,3,21,20,,34,77,.442,11,25,.440,18,22,.818,6,42,25,12,4,18,16
9,9,2015-11-11,,LAL,W,101,99,40,100,.400,13,28,.464,8,12,.667,23,54,22,7,4,8,19,,39,79,.494,7,22,.318,14,18,.778,7,43,25,5,7,13,11
10,10,2015-11-13,,UTA,W,102,93,32,76,.421,10,27,.370,28,31,.903,10,45,20,11,11,20,20,,34,87,.391,8,25,.320,17,23,.739,12,41,24,14,6,17,24
