Rk,G,Date,Court,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,BOS,L,95,112,34,83,.410,7,22,.318,20,23,.870,14,46,12,11,6,22,22,,39,85,.459,8,24,.333,26,27,.963,10,41,31,10,7,17,23
2,2,2015-10-30,,UTA,L,71,99,19,63,.302,6,15,.400,27,37,.730,8,39,15,4,5,18,22,,36,88,.409,7,13,.538,20,25,.800,13,51,19,10,9,7,22
3,3,2015-11-02,,CLE,L,100,107,38,85,.447,7,24,.292,17,23,.739,9,37,22,7,5,13,18,,42,81,.519,8,22,.364,15,20,.750,7,43,28,5,9,16,19
4,4,2015-11-04,@,MIL,L,87,91,34,81,.420,6,28,.214,13,15,.867,12,51,23,4,9,18,23,,35,86,.407,8,23,.348,13,17,.765,8,36,24,6,4,10,19
5,5,2015-11-06,@,CLE,L,102,108,41,79,.519,10,23,.435,10,15,.667,7,38,23,9,4,16,18,,45,88,.511,10,26,.385,8,12,.667,11,45,29,9,0,17,20
6,6,2015-11-07,,ORL,L,97,105,36,80,.450,11,33,.333,14,26,.538,10,38,24,6,10,16,20,,39,83,.470,6,13,.462,21,24,.875,10,41,24,10,7,13,23
7,7,2015-11-09,,CHI,L,88,111,35,100,.350,5,25,.200,13,23,.565,15,52,19,6,9,13,13,,41,96,.427,10,25,.400,19,23,.826,13,58,28,6,10,14,19
8,8,2015-11-11,,TOR,L,103,119,40,87,.460,12,29,.414,11,17,.647,11,37,28,2,7,11,24,,43,89,.483,5,18,.278,28,31,.903,17,56,22,7,7,8,18
9,9,2015-11-13,@,OKC,L,85,102,30,86,.349,5,17,.294,20,28,.714,12,43,16,11,7,17,17,,39,97,.402,8,25,.320,16,21,.762,16,55,20,9,13,13,19
10,10,2015-11-14,@,SAS,L,83,92,33,82,.402,8,22,.364,9,11,.818,6,41,15,7,3,15,21,,33,85,.388,5,16,.313,21,25,.840,12,54,23,10,7,13,9
11,11,2015-11-16,,DAL,L,86,92,34,76,.447,5,22,.227,13,20,.650,8,46,16,9,4,27,29,,30,76,.395,7,24,.292,25,30,.833,6,39,16,12,2,19,23
12,12,2015-11-18,,IND,L,85,112,35,76,.461,5,25,.200,10,16,.625,7,43,14,9,8,29,17,,42,92,.457,12,27,.444,16,20,.800,16,48,28,18,8,18,17
13,13,2015-11-20,@,CHO,L,88,113,32,79,.405,8,26,.308,16,22,.727,9,42,21,5,6,17,18,,40,81,.494,12,25,.480,21,22,.955,5,41,25,7,10,11,21
14,14,2015-11-21,@,MIA,L,91,96,31,82,.378,10,31,.323,19,24,.792,10,43,16,7,8,16,30,,30,69,.435,5,18,.278,31,45,.689,9,45,16,7,14,16,19
15,15,2015-11-23,@,MIN,L,95,100,32,78,.410,10,31,.323,21,27,.778,11,41,15,10,6,19,26,,36,78,.462,3,12,.250,25,27,.926,9,42,20,8,7,17,25
16,16,2015-11-25,@,BOS,L,80,84,31,83,.373,7,27,.259,11,15,.733,7,50,12,11,14,18,21,,31,91,.341,9,29,.310,13,18,.722,11,54,18,7,6,16,12
17,17,2015-11-27,@,HOU,L,114,116,40,83,.482,16,35,.457,18,26,.692,8,33,24,18,5,12,24,,38,73,.521,11,20,.550,29,37,.784,10,49,21,5,6,22,21
