Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,DAL,L,95,111,34,87,.391,6,24,.250,21,33,.636,13,53,15,3,3,18,30,,40,85,.471,10,21,.476,21,31,.677,6,48,24,7,3,8,25
2,2,2015-10-30,,POR,W,110,92,37,83,.446,4,18,.222,32,42,.762,11,55,17,13,7,19,17,,34,86,.395,9,24,.375,15,19,.789,11,42,17,9,5,23,33
3,3,2015-10-31,@,POR,W,101,90,39,94,.415,11,32,.344,12,16,.750,11,48,16,11,6,13,20,,33,79,.418,8,30,.267,16,28,.571,10,45,20,7,5,16,20
4,4,2015-11-02,@,LAC,L,96,102,36,98,.367,9,30,.300,15,21,.714,16,55,23,8,1,9,20,,37,81,.457,8,26,.308,20,23,.870,3,46,20,4,5,11,18
5,5,2015-11-04,,SAC,W,118,97,45,83,.542,14,23,.609,14,22,.636,9,41,27,14,4,18,11,,40,84,.476,11,24,.458,6,12,.500,7,33,25,9,4,17,22
6,6,2015-11-06,,DET,L,92,100,37,92,.402,10,30,.333,8,13,.615,11,46,14,8,3,16,29,,37,74,.500,8,22,.364,18,36,.500,6,47,15,8,3,15,21
7,7,2015-11-08,@,OKC,L,103,124,38,84,.452,7,16,.438,20,26,.769,7,33,18,7,1,23,25,,49,94,.521,4,20,.200,22,30,.733,17,52,26,14,8,15,25
8,8,2015-11-12,,LAC,W,118,104,44,83,.530,14,30,.467,16,21,.762,9,46,22,10,3,19,23,,40,90,.444,9,26,.346,15,28,.536,12,37,17,13,3,14,17
9,9,2015-11-14,,DEN,W,105,81,37,84,.440,11,24,.458,20,26,.769,10,57,19,4,1,20,13,,34,98,.347,6,35,.171,7,8,.875,9,42,13,8,6,10,20
10,10,2015-11-16,,LAL,W,120,101,45,93,.484,11,30,.367,19,25,.760,18,50,23,13,6,10,16,,37,77,.481,9,20,.450,18,20,.900,7,37,12,5,2,16,23
11,11,2015-11-18,,CHI,L,97,103,37,91,.407,8,27,.296,15,21,.714,14,43,16,12,4,12,14,,41,83,.494,9,19,.474,12,14,.857,11,47,24,7,2,19,17
12,12,2015-11-20,@,DEN,W,114,107,40,79,.506,15,27,.556,19,25,.760,10,42,22,7,7,19,26,,41,90,.456,5,24,.208,20,26,.769,14,38,24,8,4,11,22
13,13,2015-11-22,@,NOP,L,116,122,35,90,.389,17,36,.472,29,33,.879,11,46,17,6,4,15,29,,39,85,.459,11,30,.367,33,40,.825,10,49,23,11,6,14,26
14,14,2015-11-23,@,SAS,L,84,98,34,73,.466,7,19,.368,9,10,.900,9,37,23,13,3,28,17,,42,82,.512,9,20,.450,5,10,.500,11,38,21,18,3,20,20
15,15,2015-11-25,,NOP,L,114,120,44,96,.458,10,26,.385,16,20,.800,11,44,25,8,5,10,26,,42,81,.519,10,22,.455,26,34,.765,5,42,20,4,6,14,23
16,16,2015-11-27,,GSW,L,116,135,45,92,.489,10,26,.385,16,23,.696,7,30,21,13,2,14,26,,46,81,.568,22,38,.579,21,31,.677,11,53,32,7,9,23,26
17,17,2015-11-29,@,TOR,W,107,102,40,94,.426,11,27,.407,16,20,.800,13,50,24,4,9,9,15,,38,86,.442,12,29,.414,14,17,.824,8,43,19,6,7,11,17
18,18,2015-12-01,@,BRK,L,91,94,33,75,.440,10,28,.357,15,22,.682,4,39,20,9,3,16,13,,41,84,.488,4,13,.308,8,12,.667,6,42,23,10,4,15,19
19,19,2015-12-02,@,DET,L,122,127,47,97,.485,14,33,.424,14,15,.933,10,36,28,7,3,15,33,,44,87,.506,12,27,.444,27,44,.614,13,50,24,10,1,18,20
20,20,2015-12-04,@,WAS,L,106,109,43,84,.512,10,23,.435,10,16,.625,12,35,21,8,4,20,23,,40,82,.488,10,26,.385,19,25,.760,15,41,19,9,2,21,21
21,21,2015-12-06,@,MEM,L,93,95,36,82,.439,9,31,.290,12,17,.706,11,47,20,8,5,18,24,,36,90,.400,5,15,.333,18,24,.750,15,46,23,8,5,12,16
22,22,2015-12-07,@,CHI,W,103,101,41,92,.446,7,17,.412,14,17,.824,10,40,18,12,4,18,17,,41,90,.456,6,21,.286,13,18,.722,16,48,28,11,8,20,19
23,23,2015-12-09,,ORL,W,107,104,41,80,.513,6,24,.250,19,27,.704,11,44,23,9,6,18,16,,40,85,.471,12,25,.480,12,16,.750,5,32,28,11,1,16,26
24,24,2015-12-11,,POR,L,96,106,36,83,.434,13,35,.371,11,18,.611,8,40,21,8,7,9,9,,45,96,.469,12,34,.353,4,7,.571,14,51,23,7,3,12,14
25,25,2015-12-13,,MIN,W,108,101,39,87,.448,10,30,.333,20,24,.833,12,38,28,16,8,14,26,,33,73,.452,8,19,.421,27,34,.794,9,38,22,7,4,24,26
26,26,2015-12-14,@,DAL,L,94,104,33,80,.413,9,25,.360,19,27,.704,12,47,19,9,5,16,23,,38,77,.494,12,32,.375,16,21,.762,5,41,17,12,1,16,22
27,27,2015-12-16,@,GSW,L,103,128,41,91,.451,5,22,.227,16,18,.889,7,41,28,11,4,20,20,,46,88,.523,15,32,.469,21,27,.778,9,49,32,12,4,17,17
28,28,2015-12-18,,NOP,W,104,88,44,84,.524,6,16,.375,10,17,.588,12,45,22,10,2,19,27,,26,71,.366,4,22,.182,32,38,.842,10,36,13,8,7,21,23
29,29,2015-12-20,,MIL,L,95,101,33,74,.446,8,18,.444,21,24,.875,6,39,18,8,2,20,22,,41,79,.519,5,16,.313,14,24,.583,6,37,25,8,6,13,23
30,30,2015-12-21,@,UTA,L,89,110,31,79,.392,7,24,.292,20,22,.909,9,40,12,3,0,13,26,,36,79,.456,9,25,.360,29,37,.784,11,47,16,8,6,10,16
31,31,2015-12-23,,DEN,L,96,104,36,87,.414,13,25,.520,11,17,.647,12,46,21,9,2,16,19,,42,91,.462,14,35,.400,6,13,.462,13,50,26,6,7,17,20
32,32,2015-12-26,,PHI,L,104,111,34,88,.386,10,27,.370,26,34,.765,12,41,17,10,3,14,26,,38,79,.481,12,27,.444,23,27,.852,8,48,20,9,8,21,26
33,33,2015-12-28,,CLE,L,97,101,36,79,.456,11,25,.440,14,20,.700,14,44,20,8,1,16,23,,33,71,.465,17,41,.415,18,25,.720,10,37,21,8,8,17,18
34,34,2015-12-30,@,SAS,L,79,112,32,81,.395,5,18,.278,10,18,.556,8,36,18,6,3,15,23,,43,76,.566,6,14,.429,20,33,.606,6,46,26,13,5,13,16
35,35,2015-12-31,@,OKC,L,106,110,43,82,.524,8,20,.400,12,13,.923,11,37,24,10,3,16,24,,42,80,.525,7,21,.333,19,24,.792,12,37,29,12,5,13,14
36,36,2016-01-02,@,SAC,L,119,142,43,83,.518,10,29,.345,23,28,.821,4,25,27,9,7,16,28,,53,87,.609,9,23,.391,27,34,.794,10,46,30,9,2,14,23
37,37,2016-01-03,@,LAL,L,77,97,32,89,.360,6,27,.222,7,9,.778,9,45,16,8,4,14,20,,38,84,.452,8,22,.364,13,17,.765,9,54,26,8,7,15,16
38,38,2016-01-06,,CHO,W,111,102,41,84,.488,19,33,.576,10,13,.769,2,39,25,11,2,12,21,,38,87,.437,11,28,.393,15,22,.682,9,44,20,9,5,13,15
39,39,2016-01-08,,MIA,L,95,103,40,92,.435,6,24,.250,9,13,.692,15,46,15,5,4,14,22,,36,73,.493,7,18,.389,24,30,.800,6,41,23,9,6,10,13
40,40,2016-01-12,@,IND,L,97,116,36,89,.404,8,25,.320,17,27,.630,16,45,24,6,3,18,25,,41,79,.519,10,24,.417,24,31,.774,8,41,25,13,5,13,21
41,41,2016-01-15,@,BOS,L,103,117,35,89,.393,10,27,.370,23,28,.821,9,45,24,9,5,14,22,,42,96,.438,14,30,.467,19,29,.655,17,56,30,12,5,12,19
42,42,2016-01-17,@,MIN,L,87,117,35,81,.432,3,15,.200,14,25,.560,9,30,16,5,2,15,29,,39,69,.565,7,18,.389,32,40,.800,8,41,23,11,7,15,25
43,43,2016-01-19,,IND,L,94,97,28,81,.346,11,35,.314,27,29,.931,13,53,15,4,2,22,23,,34,83,.410,4,20,.200,25,34,.735,10,46,14,16,6,14,23
44,44,2016-01-21,,SAS,L,89,117,32,81,.395,6,18,.333,19,23,.826,9,43,18,3,4,13,26,,42,86,.488,9,14,.643,24,28,.857,10,43,24,8,6,8,21
45,45,2016-01-23,,ATL,W,98,95,34,85,.400,10,24,.417,20,26,.769,15,52,22,10,6,17,17,,34,84,.405,12,34,.353,15,18,.833,11,43,23,8,7,16,17
46,46,2016-01-26,@,PHI,L,103,113,39,83,.470,6,19,.316,19,28,.679,10,45,27,6,6,17,30,,39,81,.481,11,28,.393,24,36,.667,8,41,25,9,6,11,23
47,47,2016-01-27,@,CLE,L,93,115,33,70,.471,8,20,.400,19,25,.760,12,34,25,6,2,22,17,,45,81,.556,11,28,.393,14,16,.875,10,37,34,12,3,13,17
48,48,2016-01-29,@,NYK,L,84,102,35,85,.412,7,26,.269,7,12,.583,12,47,20,4,5,16,19,,36,84,.429,7,20,.350,23,26,.885,10,49,24,12,7,8,18
49,49,2016-01-31,@,DAL,L,78,91,27,74,.365,5,23,.217,19,24,.792,11,44,13,7,6,19,20,,31,78,.397,8,29,.276,21,23,.913,13,42,15,9,1,14,19
50,50,2016-02-02,,TOR,L,97,104,37,79,.468,12,31,.387,11,15,.733,8,38,23,5,4,16,26,,35,74,.473,9,27,.333,25,32,.781,8,35,15,9,3,12,22
51,51,2016-02-04,,HOU,L,105,111,32,83,.386,11,29,.379,30,32,.938,18,54,22,9,1,24,26,,37,86,.430,15,42,.357,22,32,.688,18,49,24,16,5,16,23
52,52,2016-02-06,,UTA,L,89,98,30,80,.375,9,24,.375,20,26,.769,12,39,19,3,6,10,23,,34,78,.436,5,16,.313,25,31,.806,10,44,14,7,7,9,26
