Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,NOP,W,112,94,44,88,.500,12,32,.375,12,14,.857,6,51,22,7,4,12,21,,36,91,.396,11,33,.333,11,18,.611,5,39,19,7,2,11,17
2,2,2015-10-30,@,PHO,L,92,110,34,86,.395,9,24,.375,15,19,.789,11,42,17,9,5,23,33,,37,83,.446,4,18,.222,32,42,.762,11,55,17,13,7,19,17
3,3,2015-10-31,,PHO,L,90,101,33,79,.418,8,30,.267,16,28,.571,10,45,20,7,5,16,20,,39,94,.415,11,32,.344,12,16,.750,11,48,16,11,6,13,20
4,4,2015-11-02,@,MIN,W,106,101,41,89,.461,9,30,.300,15,20,.750,11,46,18,5,6,16,27,,34,79,.430,3,13,.231,30,39,.769,8,41,22,10,4,15,22
5,5,2015-11-04,@,UTA,W,108,92,41,77,.532,11,25,.440,15,32,.469,13,48,11,5,7,19,25,,33,88,.375,5,24,.208,21,33,.636,16,40,9,12,8,9,22
6,6,2015-11-05,,MEM,W,115,96,44,87,.506,15,30,.500,12,20,.600,14,47,29,3,3,8,19,,37,77,.481,7,20,.350,15,21,.714,7,36,20,4,5,8,14
7,7,2015-11-08,,DET,L,103,120,41,76,.539,9,25,.360,12,18,.667,7,40,24,5,2,22,22,,47,96,.490,11,30,.367,15,22,.682,18,46,16,13,5,9,16
8,8,2015-11-09,@,DEN,L,104,108,36,91,.396,10,29,.345,22,27,.815,10,39,20,6,3,9,22,,40,77,.519,7,19,.368,21,32,.656,8,47,20,5,7,14,20
9,9,2015-11-11,,SAS,L,101,113,39,88,.443,9,22,.409,14,23,.609,10,36,26,6,3,9,15,,46,82,.561,7,15,.467,14,18,.778,8,42,27,4,4,11,21
10,10,2015-11-13,@,MEM,L,100,101,33,69,.478,8,22,.364,26,29,.897,10,43,17,5,10,22,22,,36,86,.419,6,16,.375,23,27,.852,14,35,22,10,0,8,21
11,11,2015-11-15,@,CHO,L,94,106,35,89,.393,5,21,.238,19,21,.905,16,46,20,5,3,12,25,,41,83,.494,9,31,.290,15,19,.789,7,37,29,6,9,11,16
12,12,2015-11-16,@,SAS,L,80,93,31,75,.413,7,19,.368,11,13,.846,4,39,15,4,3,12,18,,38,89,.427,7,23,.304,10,13,.769,12,47,29,9,10,6,13
13,13,2015-11-18,@,HOU,L,103,108,35,88,.398,9,30,.300,24,29,.828,10,48,18,11,7,19,27,,32,92,.348,14,44,.318,30,35,.857,13,51,22,11,6,17,20
14,14,2015-11-20,,LAC,W,102,91,38,90,.422,8,25,.320,18,24,.750,17,55,16,8,3,14,17,,38,86,.442,7,24,.292,8,16,.500,10,42,24,6,5,13,24
15,15,2015-11-22,@,LAL,W,107,93,43,87,.494,8,25,.320,13,17,.765,7,43,27,7,8,10,18,,32,88,.364,6,18,.333,23,27,.852,15,51,17,2,6,10,12
16,16,2015-11-24,,CHI,L,88,93,31,88,.352,6,22,.273,20,27,.741,16,55,18,5,9,14,21,,33,86,.384,7,18,.389,20,23,.870,6,44,19,6,3,10,18
17,17,2015-11-28,,LAL,W,108,96,38,78,.487,12,30,.400,20,26,.769,12,46,24,5,2,16,16,,36,82,.439,7,23,.304,17,23,.739,6,33,20,12,2,9,19
18,18,2015-11-30,@,LAC,L,87,102,33,87,.379,5,23,.217,16,27,.593,13,54,18,6,2,18,38,,33,85,.388,8,19,.421,28,56,.500,18,55,26,7,5,10,22
19,19,2015-12-01,,DAL,L,112,115,41,100,.410,15,40,.375,15,17,.882,13,50,24,6,1,15,23,,43,94,.457,9,29,.310,20,24,.833,12,49,23,7,5,12,17
20,20,2015-12-03,,IND,W,123,111,44,85,.518,18,36,.500,17,20,.850,15,48,26,11,3,15,20,,38,88,.432,13,30,.433,22,24,.917,15,41,18,4,3,12,17
21,21,2015-12-05,@,MIN,W,109,103,39,77,.506,10,20,.500,21,30,.700,8,40,23,7,3,14,21,,38,83,.458,5,15,.333,22,26,.846,13,45,24,3,4,14,24
22,22,2015-12-07,@,MIL,L,88,90,33,85,.388,8,33,.242,14,18,.778,15,46,21,10,7,17,25,,30,73,.411,4,13,.308,26,33,.788,10,45,22,8,7,16,19
23,23,2015-12-08,@,CLE,L,100,105,40,79,.506,11,26,.423,9,16,.563,10,36,21,3,2,18,25,,40,79,.506,9,21,.429,16,20,.800,6,30,18,10,4,8,18
24,24,2015-12-11,@,PHO,W,106,96,45,96,.469,12,34,.353,4,7,.571,14,51,23,7,3,12,14,,36,83,.434,13,35,.371,11,18,.611,8,40,21,8,7,9,9
25,25,2015-12-12,,NYK,L,110,112,41,89,.461,6,21,.286,22,29,.759,14,39,15,4,0,7,22,,39,75,.520,9,21,.429,25,28,.893,7,34,17,3,3,11,22
26,26,2015-12-14,,NOP,W,105,101,35,81,.432,13,32,.406,22,29,.759,10,50,28,7,5,15,21,,36,82,.439,8,25,.320,21,27,.778,5,41,15,9,9,9,22
27,27,2015-12-16,@,OKC,L,90,106,32,92,.348,11,26,.423,15,18,.833,17,47,13,6,3,18,28,,38,79,.481,2,14,.143,28,37,.757,14,51,13,6,8,18,20
28,28,2015-12-18,@,ORL,L,94,102,32,73,.438,11,32,.344,19,26,.731,7,42,21,3,2,19,23,,39,84,.464,2,15,.133,22,31,.710,13,48,19,11,5,13,18
29,29,2015-12-20,@,MIA,L,109,116,39,80,.488,13,34,.382,18,22,.818,10,42,23,7,0,19,24,,43,75,.573,12,23,.522,18,26,.692,5,30,26,11,7,11,14
30,30,2015-12-21,@,ATL,L,97,106,38,81,.469,5,24,.208,16,22,.727,14,50,24,5,4,18,20,,37,77,.481,9,29,.310,23,28,.821,2,31,21,8,1,10,17
