Rk,G,Date,Court,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,LAC,L,104,111,41,94,.436,11,24,.458,11,18,.611,12,49,24,8,3,16,27,,42,80,.525,6,19,.316,21,31,.677,6,42,20,8,9,15,19
2,2,2015-10-30,,LAL,W,132,114,52,101,.515,6,22,.273,22,30,.733,16,56,26,6,7,14,23,,41,89,.461,11,34,.324,21,27,.778,8,37,20,7,9,19,24
3,3,2015-10-31,@,LAC,L,109,114,43,101,.426,6,18,.333,17,25,.680,19,49,20,9,2,13,34,,39,76,.513,4,17,.235,32,46,.696,6,41,25,4,9,17,22
4,4,2015-11-03,,MEM,L,89,103,29,74,.392,7,20,.350,24,40,.600,8,35,17,8,1,13,21,,40,83,.482,3,20,.150,20,25,.800,12,50,23,5,7,16,31
5,5,2015-11-04,@,PHO,L,97,118,40,84,.476,11,24,.458,6,12,.500,7,33,25,9,4,17,22,,45,83,.542,14,23,.609,14,22,.636,9,41,27,14,4,18,11
6,6,2015-11-06,,HOU,L,110,116,40,93,.430,9,28,.321,21,29,.724,14,43,26,14,3,15,19,,40,82,.488,15,36,.417,21,27,.778,14,49,23,8,4,21,26
7,7,2015-11-07,,GSW,L,94,103,38,87,.437,6,19,.316,12,16,.750,13,45,26,9,3,21,19,,38,92,.413,8,39,.205,19,22,.864,15,46,27,13,2,18,15
8,8,2015-11-09,,SAS,L,88,106,34,84,.405,7,19,.368,13,19,.684,11,42,25,10,5,19,14,,46,87,.529,6,23,.261,8,11,.727,8,46,34,11,7,16,19
9,9,2015-11-11,,DET,W,101,92,37,74,.500,9,16,.563,18,24,.750,7,46,20,7,2,18,20,,34,89,.382,9,32,.281,15,20,.750,14,45,16,10,3,16,20
10,10,2015-11-13,,BRK,W,111,109,40,94,.426,11,27,.407,20,26,.769,15,50,25,11,3,14,16,,42,89,.472,8,21,.381,17,21,.810,9,44,24,7,4,15,24
11,11,2015-11-15,,TOR,W,107,101,39,76,.513,10,25,.400,19,24,.792,9,42,23,8,5,19,19,,38,87,.437,15,31,.484,10,14,.714,7,36,18,13,1,15,20
12,12,2015-11-18,@,ATL,L,97,103,38,86,.442,5,16,.313,16,18,.889,13,52,26,7,1,20,22,,38,89,.427,9,30,.300,18,24,.750,12,45,23,9,6,11,15
13,13,2015-11-19,@,MIA,L,109,116,43,84,.512,12,23,.522,11,20,.550,9,42,25,3,3,18,27,,42,89,.472,7,24,.292,25,33,.758,12,41,25,11,7,7,15
