Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,OKC,L,106,112,45,93,.484,5,15,.333,11,13,.846,7,36,22,11,9,13,18,,42,86,.488,7,19,.368,21,22,.955,11,45,21,7,4,19,19
2,2,2015-10-30,,BRK,W,102,75,40,86,.465,9,22,.409,13,13,1.000,12,56,23,7,4,18,16,,31,77,.403,5,16,.313,8,15,.533,2,32,17,6,6,15,17
3,3,2015-11-01,@,BOS,W,95,87,36,83,.434,5,19,.263,18,25,.720,10,51,22,10,6,18,16,,35,98,.357,6,29,.207,11,14,.786,16,45,21,10,5,16,23
4,4,2015-11-02,@,NYK,W,94,84,39,79,.494,4,13,.308,12,17,.706,8,45,21,6,7,13,12,,32,89,.360,4,13,.308,16,21,.762,17,49,17,8,3,10,18
5,5,2015-11-04,@,WAS,L,99,102,37,81,.457,7,22,.318,18,20,.900,9,49,21,5,3,20,21,,42,87,.483,8,23,.348,10,14,.714,4,33,27,11,3,10,19
6,6,2015-11-07,,CHO,W,114,94,45,81,.556,9,21,.429,15,23,.652,6,42,35,11,3,12,26,,34,73,.466,6,19,.316,20,31,.645,6,33,15,7,0,15,18
7,7,2015-11-09,@,SAC,W,106,88,46,87,.529,6,23,.261,8,11,.727,8,46,34,11,7,16,19,,34,84,.405,7,19,.368,13,19,.684,11,42,25,10,5,19,14
8,8,2015-11-11,@,POR,W,113,101,46,82,.561,7,15,.467,14,18,.778,8,42,27,4,4,11,21,,39,88,.443,9,22,.409,14,23,.609,10,36,26,6,3,9,15
9,9,2015-11-14,,PHI,W,92,83,33,85,.388,5,16,.313,21,25,.840,12,54,23,10,7,13,9,,33,82,.402,8,22,.364,9,11,.818,6,41,15,7,3,15,21
10,10,2015-11-16,,POR,W,93,80,38,89,.427,7,23,.304,10,13,.769,12,47,29,9,10,6,13,,31,75,.413,7,19,.368,11,13,.846,4,39,15,4,3,12,18
11,11,2015-11-18,,DEN,W,109,98,42,86,.488,9,18,.500,16,20,.800,10,50,33,5,13,10,13,,38,98,.388,5,15,.333,17,18,.944,17,50,25,7,5,6,17
12,12,2015-11-20,@,NOP,L,90,104,34,84,.405,9,17,.529,13,16,.813,5,43,22,5,8,8,17,,40,88,.455,8,22,.364,16,17,.941,7,53,26,3,3,9,17
13,13,2015-11-21,,MEM,W,92,82,34,72,.472,7,21,.333,17,22,.773,7,40,20,7,6,17,20,,32,74,.432,1,9,.111,17,17,1.000,7,35,19,13,2,16,23
14,14,2015-11-23,,PHO,W,98,84,42,82,.512,9,20,.450,5,10,.500,11,38,21,18,3,20,20,,34,73,.466,7,19,.368,9,10,.900,9,37,23,13,3,28,17
15,15,2015-11-25,,DAL,W,88,83,33,81,.407,8,28,.286,14,19,.737,12,52,23,6,4,13,12,,34,83,.410,6,22,.273,9,12,.750,9,46,21,7,1,13,21
16,16,2015-11-27,@,DEN,W,91,80,36,75,.480,8,22,.364,11,14,.786,5,42,22,11,7,18,17,,31,77,.403,7,20,.350,11,13,.846,8,37,17,8,2,18,19
17,17,2015-11-28,,ATL,W,108,88,40,85,.471,9,17,.529,19,20,.950,12,49,25,11,9,16,14,,37,87,.425,6,26,.231,8,13,.615,12,43,28,9,5,18,17
18,18,2015-11-30,@,CHI,L,89,92,37,90,.411,2,14,.143,13,18,.722,12,47,20,5,4,9,17,,37,86,.430,6,16,.375,12,20,.600,12,51,25,4,6,10,21
19,19,2015-12-02,,MIL,W,95,70,37,90,.411,7,21,.333,14,20,.700,11,54,25,11,9,11,12,,26,78,.333,3,14,.214,15,18,.833,6,44,17,7,6,16,20
20,20,2015-12-03,@,MEM,W,103,83,40,80,.500,10,18,.556,13,18,.722,10,48,27,8,8,15,21,,30,80,.375,2,16,.125,21,25,.840,9,37,19,6,6,11,17
21,21,2015-12-05,,BOS,W,108,105,44,83,.530,5,17,.294,15,22,.682,11,47,26,3,3,14,22,,39,86,.453,12,29,.414,15,22,.682,11,39,22,9,3,14,22
22,22,2015-12-07,@,PHI,W,119,68,47,76,.618,4,11,.364,21,25,.840,7,47,32,4,1,7,17,,26,75,.347,4,24,.167,12,21,.571,6,31,14,3,1,13,25
23,23,2015-12-09,@,TOR,L,94,97,34,76,.447,7,25,.280,19,24,.792,13,35,23,10,2,17,19,,37,64,.578,3,10,.300,20,22,.909,4,34,23,10,2,20,24
24,24,2015-12-11,,LAL,W,109,87,44,82,.537,6,14,.429,15,25,.600,11,49,26,9,6,13,13,,36,88,.409,9,25,.360,6,10,.600,9,36,20,7,5,15,21
25,25,2015-12-12,@,ATL,W,103,78,36,74,.486,10,20,.500,21,22,.955,6,49,26,11,2,23,16,,30,80,.375,5,24,.208,13,16,.813,7,33,21,15,3,17,15
26,26,2015-12-14,,UTA,W,118,81,42,75,.560,9,21,.429,25,27,.926,9,48,24,6,2,11,17,,32,79,.405,3,11,.273,14,17,.824,7,32,18,8,3,11,23
