Rk,G,Date,Court,Opp,W/L,PTS,OPTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,,IND,W,106,99,36,80,.450,7,18,.389,27,39,.692,9,50,19,8,2,20,24,,32,86,.372,9,23,.391,26,31,.839,8,40,23,14,3,13,30
2,2,2015-10-30,@,BOS,W,113,103,36,82,.439,11,26,.423,30,35,.857,9,53,23,11,3,21,33,,32,85,.376,7,26,.269,32,41,.780,7,38,23,14,3,17,28
3,3,2015-11-01,,MIL,W,106,87,41,90,.456,11,25,.440,13,20,.650,18,46,22,12,3,13,19,,29,69,.420,5,19,.263,24,24,1.000,7,33,21,6,8,18,21
4,4,2015-11-03,@,DAL,W,102,91,37,82,.451,5,17,.294,23,26,.885,10,47,18,8,6,16,26,,33,86,.384,7,23,.304,18,25,.720,14,44,20,5,3,15,25
5,5,2015-11-04,@,OKC,W,103,98,33,79,.418,5,14,.357,32,39,.821,12,45,12,14,3,14,16,,39,82,.476,8,23,.348,12,14,.857,11,41,26,8,10,19,29
6,6,2015-11-06,@,ORL,L,87,92,30,86,.349,5,23,.217,22,29,.759,15,44,13,5,5,9,18,,33,77,.429,9,25,.360,17,22,.773,6,40,22,4,4,12,25
7,7,2015-11-08,@,MIA,L,76,96,28,71,.394,3,19,.158,17,22,.773,7,38,17,8,5,16,21,,35,83,.422,8,20,.400,18,25,.720,13,48,18,8,8,10,20
8,8,2015-11-10,,NYK,L,109,111,37,84,.440,4,17,.235,31,39,.795,14,49,25,7,6,11,17,,42,95,.442,11,23,.478,16,18,.889,13,44,22,8,7,9,27
9,9,2015-11-11,@,PHI,W,119,103,43,89,.483,5,18,.278,28,31,.903,17,56,22,7,7,8,18,,40,87,.460,12,29,.414,11,17,.647,11,37,28,2,7,11,24
10,10,2015-11-13,,NOP,W,100,81,34,77,.442,9,21,.429,23,27,.852,13,48,19,8,5,15,19,,30,82,.366,7,23,.304,14,20,.700,10,38,15,10,4,14,22
11,11,2015-11-15,@,SAC,L,101,107,38,87,.437,15,31,.484,10,14,.714,7,36,18,13,1,15,20,,39,76,.513,10,25,.400,19,24,.792,9,42,23,8,5,19,19
12,12,2015-11-17,@,GSW,L,110,115,37,79,.468,6,18,.333,30,39,.769,12,40,18,11,2,18,25,,43,80,.538,11,29,.379,18,27,.667,9,34,31,10,6,20,29
13,13,2015-11-18,@,UTA,L,89,93,34,80,.425,5,20,.250,16,18,.889,9,37,14,10,4,14,17,,35,72,.486,7,22,.318,16,22,.727,7,41,15,9,5,17,20
14,14,2015-11-20,@,LAL,W,102,91,34,78,.436,15,33,.455,19,24,.792,12,41,21,7,3,12,15,,35,77,.455,8,25,.320,13,17,.765,9,41,21,8,4,15,18
15,15,2015-11-22,@,LAC,W,91,80,29,78,.372,4,17,.235,29,31,.935,14,46,15,8,0,14,19,,29,74,.392,7,32,.219,15,20,.750,12,42,21,9,9,19,30
16,16,2015-11-25,,CLE,W,103,99,40,79,.506,11,25,.440,12,22,.545,6,40,14,8,5,9,15,,36,82,.439,14,29,.483,13,16,.813,9,42,22,4,2,10,20
17,17,2015-11-28,@,WAS,W,84,82,31,72,.431,11,24,.458,11,14,.786,6,48,17,8,7,22,21,,27,82,.329,7,23,.304,21,27,.778,10,42,20,11,3,14,16
18,18,2015-11-29,,PHO,L,102,107,38,86,.442,12,29,.414,14,17,.824,8,43,19,6,7,11,17,,40,94,.426,11,27,.407,16,20,.800,13,50,24,4,9,9,15
19,19,2015-12-02,@,ATL,W,96,86,36,79,.456,6,25,.240,18,24,.750,8,50,12,10,5,12,18,,33,90,.367,8,27,.296,12,16,.750,13,43,22,8,7,12,20
20,20,2015-12-03,,DEN,L,105,106,39,92,.424,8,27,.296,19,22,.864,9,39,21,9,3,4,16,,38,81,.469,12,27,.444,18,18,1.000,6,42,30,2,4,11,19
21,21,2015-12-05,,GSW,L,109,112,40,91,.440,8,20,.400,21,26,.808,11,38,21,9,3,6,27,,35,73,.479,16,30,.533,26,36,.722,8,43,22,2,5,12,24
22,22,2015-12-07,,LAL,W,102,93,34,74,.459,9,25,.360,25,32,.781,8,38,18,7,2,7,13,,34,83,.410,7,19,.368,18,20,.900,14,47,14,4,4,15,23
23,23,2015-12-09,,SAS,W,97,94,37,64,.578,3,10,.300,20,22,.909,4,34,23,10,2,20,24,,34,76,.447,7,25,.280,19,24,.792,13,35,23,10,2,17,19
24,24,2015-12-11,,MIL,W,90,83,34,70,.486,7,20,.350,15,23,.652,7,39,16,9,8,16,23,,33,80,.413,4,11,.364,13,16,.813,10,40,19,9,4,15,19
25,25,2015-12-13,,PHI,W,96,76,32,78,.410,7,22,.318,25,34,.735,8,41,14,11,9,8,15,,28,84,.333,10,28,.357,10,14,.714,15,52,18,1,9,22,20
26,26,2015-12-14,@,IND,L,90,106,29,79,.367,10,28,.357,22,26,.846,15,45,10,9,6,18,21,,41,86,.477,10,22,.455,14,16,.875,10,44,14,8,3,14,21
27,27,2015-12-17,@,CHO,L,99,109,35,97,.361,9,39,.231,20,28,.714,9,46,18,7,10,8,22,,37,85,.435,10,29,.345,25,31,.806,6,51,23,5,9,13,23
28,28,2015-12-18,@,MIA,W,108,94,41,80,.513,8,21,.381,18,22,.818,6,38,18,11,5,7,12,,35,74,.473,9,25,.360,15,17,.882,4,34,19,4,6,13,19
