Rk,G,Date,Court,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,DET,L,87,92,35,75,.467,2,12,.167,15,21,.714,4,38,15,4,5,12,25,,30,74,.405,7,19,.368,25,34,.735,8,43,16,2,4,10,20
2,2,2015-10-30,@,PHI,W,99,71,36,88,.409,7,13,.538,20,25,.800,13,51,19,10,9,7,22,,19,63,.302,6,15,.400,27,37,.730,8,39,15,4,5,18,22
3,3,2015-10-31,@,IND,W,97,76,39,88,.443,6,15,.400,13,18,.722,15,47,15,13,4,17,24,,28,70,.400,4,17,.235,16,21,.762,7,34,10,8,7,24,19
4,4,2015-11-04,,POR,L,92,108,33,88,.375,5,24,.208,21,33,.636,16,40,9,12,8,9,22,,41,77,.532,11,25,.440,15,32,.469,13,48,11,5,7,19,25
5,5,2015-11-05,@,DEN,W,96,84,37,85,.435,11,24,.458,11,17,.647,12,43,23,6,6,10,26,,28,72,.389,5,20,.250,23,34,.676,11,45,16,4,6,13,14
6,6,2015-11-07,,MEM,W,89,79,31,74,.419,12,27,.444,15,18,.833,9,49,18,7,10,21,20,,30,91,.330,6,19,.316,13,14,.929,13,44,16,8,1,14,21
7,7,2015-11-10,@,CLE,L,114,118,40,82,.488,10,22,.455,24,28,.857,13,37,30,11,0,16,35,,37,74,.500,11,24,.458,33,43,.767,11,35,24,9,6,16,21
8,8,2015-11-12,@,MIA,L,91,92,34,89,.382,4,17,.235,19,25,.760,11,42,13,10,9,10,23,,36,77,.468,4,13,.308,16,25,.640,8,47,14,6,11,15,20
9,9,2015-11-13,@,ORL,L,93,102,34,87,.391,8,25,.320,17,23,.739,12,41,24,14,6,17,24,,32,76,.421,10,27,.370,28,31,.903,10,45,20,11,11,20,20
10,10,2015-11-15,@,ATL,W,97,96,39,76,.513,7,21,.333,12,17,.706,10,40,21,7,7,17,15,,37,76,.487,8,22,.364,14,17,.824,8,33,26,9,5,15,16
11,11,2015-11-18,,TOR,W,93,89,35,72,.486,7,22,.318,16,22,.727,7,41,15,9,5,17,20,,34,80,.425,5,20,.250,16,18,.889,9,37,14,10,4,14,17
12,12,2015-11-20,@,DAL,L,93,102,35,80,.438,6,20,.300,17,21,.810,18,48,14,4,2,17,24,,39,83,.470,8,28,.286,16,17,.941,8,34,24,10,5,8,19
13,13,2015-11-23,,OKC,L,89,111,28,73,.384,5,19,.263,28,40,.700,13,41,15,11,3,21,18,,42,77,.545,11,27,.407,16,18,.889,6,36,22,12,10,16,31
14,14,2015-11-25,@,LAC,W,102,91,39,77,.506,6,13,.462,18,25,.720,11,39,19,12,4,16,20,,38,75,.507,4,12,.333,11,17,.647,11,35,18,11,7,19,22
15,15,2015-11-28,,NOP,W,101,87,38,82,.463,9,18,.500,16,21,.762,12,49,18,11,9,15,25,,29,69,.420,5,17,.294,24,30,.800,4,35,19,8,4,16,19
16,16,2015-11-30,,GSW,L,103,106,40,89,.449,6,19,.316,17,22,.773,10,35,18,9,2,8,16,,40,82,.488,14,29,.483,12,15,.800,14,45,21,2,5,15,19
17,17,2015-12-03,,ORL,L,94,103,31,72,.431,14,33,.424,18,24,.750,5,39,18,4,8,19,16,,40,89,.449,8,23,.348,15,15,1.000,9,40,19,13,4,10,20
18,18,2015-12-05,,IND,W,122,119,43,92,.467,8,23,.348,28,37,.757,19,54,21,7,3,15,30,,40,93,.430,12,29,.414,27,34,.794,12,44,17,10,2,15,34
19,19,2015-12-08,@,SAC,L,106,114,38,92,.413,15,36,.417,15,22,.682,19,44,23,7,0,12,22,,43,77,.558,10,28,.357,18,24,.750,9,40,29,6,2,15,18
20,20,2015-12-09,,NYK,W,106,85,39,80,.488,9,21,.429,19,23,.826,9,51,26,6,2,14,26,,31,78,.397,8,21,.381,15,27,.556,7,36,20,10,3,10,24
21,21,2015-12-11,,OKC,L,90,94,33,78,.423,8,28,.286,16,24,.667,11,39,17,7,4,11,16,,37,79,.468,6,17,.353,14,16,.875,11,45,14,4,2,13,19
22,22,2015-12-13,@,OKC,L,98,104,39,94,.415,8,22,.364,12,20,.600,16,44,14,6,2,11,24,,35,79,.443,7,21,.333,27,30,.900,8,42,18,7,13,10,18
