Rk,G,Date,Court,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Space,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
1,1,2015-10-28,@,ORL,W,88,87,33,84,.393,7,28,.250,15,25,.600,15,49,17,8,9,17,14,,37,100,.370,5,26,.192,8,12,.667,17,56,20,9,6,14,22
2,2,2015-10-30,@,MIL,W,118,113,35,68,.515,12,21,.571,36,44,.818,8,37,25,7,5,21,20,,42,82,.512,7,24,.292,22,28,.786,6,32,33,9,2,16,32
3,3,2015-10-31,,NYK,L,110,117,38,90,.422,6,22,.273,28,33,.848,11,43,17,9,3,17,32,,41,86,.477,9,19,.474,26,32,.813,9,40,21,8,5,18,30
4,4,2015-11-04,,SAS,W,102,99,42,87,.483,8,23,.348,10,14,.714,4,33,27,11,3,10,19,,37,81,.457,7,22,.318,18,20,.900,9,49,21,5,3,20,21
5,5,2015-11-06,@,BOS,L,98,118,36,88,.409,8,25,.320,18,23,.783,10,45,23,10,8,24,27,,44,97,.454,12,30,.400,18,23,.783,15,53,24,18,5,17,21
6,6,2015-11-07,@,ATL,L,99,114,38,78,.487,8,24,.333,15,17,.882,8,41,27,11,3,24,18,,43,92,.467,13,33,.394,15,15,1.000,10,39,37,12,4,14,15
7,7,2015-11-10,,OKC,L,101,125,38,97,.392,5,24,.208,20,26,.769,12,41,17,8,5,8,22,,44,86,.512,15,23,.652,22,29,.759,10,53,27,4,2,12,22
8,8,2015-11-14,,ORL,W,108,99,39,83,.470,12,29,.414,18,26,.692,7,49,29,6,6,11,23,,38,87,.437,4,18,.222,19,24,.792,6,45,19,7,2,12,22
9,9,2015-11-17,,MIL,W,115,86,37,70,.529,12,22,.545,29,41,.707,6,42,25,8,3,12,19,,31,72,.431,10,21,.476,14,24,.583,6,34,22,5,3,19,27
10,10,2015-11-21,@,DET,W,97,95,38,78,.487,7,19,.368,14,20,.700,9,42,22,10,0,11,19,,36,79,.456,8,26,.308,15,21,.714,8,38,20,3,2,13,17
11,11,2015-11-24,,IND,L,106,123,38,83,.458,13,33,.394,17,24,.708,10,40,27,9,1,21,18,,44,80,.550,19,26,.731,16,23,.696,7,41,25,11,0,20,18
12,12,2015-11-25,@,CHO,L,87,101,31,87,.356,10,32,.313,15,18,.833,11,41,15,13,4,14,20,,39,83,.470,8,26,.308,15,15,1.000,9,51,22,5,6,19,17
13,13,2015-11-27,@,BOS,L,78,111,27,84,.321,5,18,.278,19,22,.864,13,46,16,7,4,22,19,,42,97,.433,12,33,.364,15,19,.789,19,58,28,11,7,15,15
14,14,2015-11-28,,TOR,L,82,84,27,82,.329,7,23,.304,21,27,.778,10,42,20,11,3,14,16,,31,72,.431,11,24,.458,11,14,.786,6,48,17,8,7,22,21
15,15,2015-12-01,@,CLE,W,97,85,39,83,.470,7,28,.250,12,16,.750,2,39,23,7,5,12,23,,28,83,.337,9,30,.300,20,23,.870,10,47,15,8,3,18,18
16,16,2015-12-02,,LAL,L,104,108,37,79,.468,7,21,.333,23,31,.742,8,41,24,11,2,23,15,,41,96,.427,8,25,.320,18,20,.900,16,45,17,18,3,16,22
17,17,2015-12-04,,PHO,W,109,106,40,82,.488,10,26,.385,19,25,.760,15,41,19,9,2,21,21,,43,84,.512,10,23,.435,10,16,.625,12,35,21,8,4,20,23
18,18,2015-12-06,,DAL,L,104,116,42,89,.472,8,27,.296,12,21,.571,6,31,22,9,0,6,22,,38,76,.500,16,31,.516,24,27,.889,6,50,25,5,4,16,17
19,19,2015-12-07,@,MIA,W,114,103,46,92,.500,9,18,.500,13,17,.765,12,37,23,7,2,10,19,,41,69,.594,5,16,.313,16,22,.727,4,34,25,5,6,16,18
