Rk,G,Date,Court,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-27,,DET,L,94,106,98.6,111.2,95.3,.183,.329,.530,40.4,59.5,9.4,6.0,.500,14.5,16.3,.146,.448,12.3,58.9,.208
2,2,2015-10-29,@,NYK,W,112,101,110.2,99.4,101.7,.313,.289,.593,44.8,61.9,10.8,6.3,.566,13.7,17.9,.217,.441,17.0,66.7,.204
3,3,2015-10-30,,CHO,W,97,94,99.3,96.3,97.7,.265,.277,.523,45.5,63.9,9.2,6.9,.482,13.9,16.3,.205,.477,16.1,74.0,.114
4,4,2015-11-01,@,CHO,W,94,92,101.2,99.0,92.9,.159,.330,.499,51.6,59.5,9.7,12.2,.460,10.5,20.0,.148,.453,10.6,81.3,.163
5,5,2015-11-03,@,MIA,W,98,92,101.6,95.4,96.4,.244,.233,.492,51.0,67.6,10.4,1.7,.450,13.1,30.8,.189,.471,16.2,72.9,.128
6,6,2015-11-04,,BRK,W,101,87,111.1,95.7,90.9,.316,.289,.583,44.2,73.0,16.5,16.1,.539,13.1,17.1,.250,.464,17.6,66.7,.120
7,7,2015-11-06,@,NOP,W,121,115,122.3,116.3,98.9,.455,.273,.655,56.2,73.2,10.1,11.1,.591,14.0,18.8,.390,.560,11.3,85.4,.250
8,8,2015-11-07,,WAS,W,114,99,114.4,99.3,99.7,.163,.359,.578,48.8,86.0,12.0,7.4,.538,12.4,23.3,.163,.538,21.9,78.4,.192
9,9,2015-11-09,,MIN,L,107,117,107.4,117.5,99.6,.081,.360,.601,40.3,68.2,13.1,9.2,.587,16.0,11.1,.070,.619,17.5,74.2,.225
10,10,2015-11-11,,NOP,W,106,98,109.3,101.0,97.0,.186,.302,.570,52.4,61.9,10.3,13.0,.547,11.4,20.0,.140,.530,17.5,81.8,.120
11,11,2015-11-13,@,BOS,L,93,106,98.6,112.4,94.3,.263,.263,.548,41.2,72.2,3.2,2.9,.513,15.9,13.2,.197,.461,8.5,63.8,.107
12,12,2015-11-15,,UTA,L,96,97,108.2,109.3,88.8,.224,.289,.575,45.2,70.3,10.1,9.1,.539,15.2,21.1,.184,.559,16.9,71.4,.158
13,13,2015-11-17,@,BRK,L,88,90,96.1,98.3,91.6,.184,.382,.536,50.0,66.7,7.6,10.9,.513,19.6,18.6,.132,.494,10.9,80.0,.083
14,14,2015-11-18,,SAC,W,103,97,105.4,99.3,97.7,.270,.337,.517,46.4,60.5,9.2,8.6,.478,9.9,23.5,.202,.471,17.6,71.7,.186
15,15,2015-11-21,@,CLE,L,97,109,103.6,116.4,93.6,.291,.326,.500,42.7,68.8,10.7,7.1,.436,11.0,23.1,.256,.547,13.0,70.3,.188
16,16,2015-11-24,,BOS,W,121,97,121.9,97.7,99.3,.275,.300,.675,56.6,73.3,8.1,11.5,.638,18.2,20.7,.238,.470,14.6,78.7,.244
17,17,2015-11-25,@,MIN,L,95,99,99.4,103.6,95.6,.427,.378,.488,54.1,45.2,10.5,11.5,.427,12.6,28.3,.305,.470,10.4,84.4,.268
18,18,2015-11-27,@,MEM,W,116,101,123.5,107.5,93.9,.480,.520,.638,51.9,71.4,4.3,6.0,.560,9.9,15.8,.427,.513,12.7,87.2,.238
19,19,2015-11-28,@,SAS,L,88,108,91.4,112.1,96.3,.149,.299,.475,46.7,75.7,9.3,7.4,.460,16.3,24.5,.092,.524,14.6,72.1,.224
20,20,2015-11-30,,OKC,W,106,100,110.6,104.4,95.8,.222,.311,.536,51.5,59.0,9.4,10.8,.489,10.8,28.6,.200,.435,9.7,74.0,.204
21,21,2015-12-02,,TOR,L,86,96,93.0,103.8,92.4,.178,.300,.443,46.2,66.7,8.7,13.0,.411,11.0,23.6,.133,.494,11.8,78.9,.228
22,22,2015-12-04,,LAL,W,100,87,112.0,97.4,89.3,.270,.351,.604,50.6,64.9,12.3,15.3,.568,17.0,25.0,.216,.448,14.9,69.4,.116
23,23,2015-12-09,@,DAL,W,98,95,103.7,100.5,94.5,.222,.247,.551,48.0,66.7,7.4,10.1,.519,13.6,16.2,.173,.395,7.7,67.2,.160
24,24,2015-12-10,@,OKC,L,94,107,101.9,116.0,92.2,.295,.359,.533,39.5,60.0,9.8,11.1,.513,9.3,10.6,.179,.544,13.3,74.4,.250
25,25,2015-12-12,,SAS,L,78,103,80.4,106.1,97.0,.200,.300,.448,40.2,70.0,15.5,5.6,.406,16.3,14.0,.163,.554,21.6,81.3,.284
