Rk,G,Date,Court,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,PHI,W,112,95,112.6,95.5,99.5,.318,.282,.578,47.1,79.5,10.1,11.5,.506,14.9,23.8,.306,.452,19.1,68.9,.241
2,2,2015-10-30,,TOR,L,103,113,95.1,104.4,108.3,.482,.306,.500,41.8,71.9,12.9,5.4,.418,14.2,13.7,.376,.506,17.7,77.5,.366
3,3,2015-11-01,,SAS,L,87,95,87.5,95.6,99.4,.143,.296,.418,46.9,60.0,10.1,7.8,.388,13.3,28.1,.112,.464,16.1,74.4,.217
4,4,2015-11-04,@,IND,L,98,100,104.2,106.3,94.1,.265,.325,.529,48.0,57.1,7.4,7.4,.482,17.0,31.9,.217,.429,11.9,61.8,.242
5,5,2015-11-06,,WAS,W,118,98,109.4,90.8,107.9,.237,.309,.551,54.1,54.5,16.7,7.9,.515,13.7,30.0,.186,.455,19.7,79.2,.205
6,6,2015-11-10,@,MIL,W,99,83,110.7,92.8,89.4,.221,.349,.525,52.3,55.3,12.3,10.7,.483,11.3,30.4,.186,.452,17.0,77.5,.233
7,7,2015-11-11,,IND,L,91,102,93.0,104.2,97.9,.416,.312,.500,46.8,56.3,10.2,4.8,.442,16.5,20.5,.299,.519,16.3,73.7,.253
8,8,2015-11-13,,ATL,W,106,93,112.4,98.6,94.3,.117,.320,.489,58.8,64.3,10.6,12.5,.461,8.5,36.2,.107,.513,15.9,86.8,.197
9,9,2015-11-15,@,OKC,W,100,85,106.6,90.6,93.8,.244,.280,.551,58.0,64.1,12.8,13.5,.530,16.5,33.3,.159,.403,16.7,77.8,.299
10,10,2015-11-16,@,HOU,W,111,95,110.0,94.1,101.0,.183,.387,.552,51.6,61.4,15.8,5.7,.532,15.9,33.3,.129,.488,18.8,70.2,.141
11,11,2015-11-18,,DAL,L,102,106,105.3,109.4,96.9,.261,.283,.497,52.4,57.9,12.4,1.9,.457,12.0,30.4,.196,.563,16.3,80.6,.347
12,12,2015-11-20,,BRK,W,120,95,119.7,94.8,100.2,.115,.333,.656,48.2,76.5,10.0,5.7,.644,14.9,18.9,.092,.438,16.0,70.8,.191
13,13,2015-11-22,@,BRK,L,101,111,107.8,118.4,93.7,.256,.451,.553,41.7,54.3,9.6,3.1,.512,15.7,22.2,.207,.538,13.0,64.1,.329
14,14,2015-11-24,@,ATL,L,97,121,97.7,121.9,99.3,.317,.256,.519,43.4,67.6,14.1,3.6,.470,14.6,21.3,.244,.638,18.2,79.3,.238
15,15,2015-11-25,,PHI,W,84,80,83.9,79.9,100.2,.198,.319,.425,51.9,58.1,7.0,10.7,.390,13.9,20.4,.143,.416,16.7,86.0,.133
16,16,2015-11-27,,WAS,W,111,78,112.3,78.9,98.8,.196,.340,.527,55.8,66.7,11.1,10.6,.495,12.5,36.5,.155,.351,19.0,75.0,.226
17,17,2015-11-29,@,ORL,L,91,110,97.0,117.2,93.9,.227,.307,.470,38.6,77.8,7.5,8.8,.438,10.2,19.6,.159,.532,11.5,59.5,.118
18,18,2015-11-30,@,MIA,W,105,95,115.4,104.4,91.0,.313,.250,.577,51.3,60.5,16.5,5.2,.525,14.2,30.8,.263,.513,17.4,71.8,.240
19,19,2015-12-03,@,SAC,W,114,97,111.4,94.8,102.3,.286,.393,.603,46.5,85.0,13.7,8.9,.560,14.5,14.0,.238,.422,16.7,79.1,.416
20,20,2015-12-05,@,SAS,L,105,108,109.9,113.1,95.5,.256,.337,.549,45.3,56.4,9.4,4.5,.523,12.8,23.4,.174,.560,13.1,71.8,.181
21,21,2015-12-07,@,NOP,W,111,93,115.0,96.3,96.5,.296,.346,.606,51.1,60.0,8.3,10.4,.568,15.7,24.4,.235,.433,12.5,73.5,.167
22,22,2015-12-09,,CHI,W,105,100,106.1,101.0,99.0,.304,.250,.503,47.4,57.9,10.1,5.7,.440,10.3,27.1,.261,.462,13.7,68.1,.176
23,23,2015-12-11,,GSW,L,119,124,98.1,102.2,100.4,.140,.289,.492,43.2,65.3,5.8,11.8,.482,11.0,18.0,.079,.435,12.7,70.2,.290
24,24,2015-12-12,@,CHO,W,98,93,100.1,95.0,97.9,.104,.260,.488,44.7,65.0,5.1,9.4,.464,4.7,6.3,.094,.472,10.6,84.8,.114
25,25,2015-12-15,,CLE,L,77,89,87.3,100.9,88.2,.161,.368,.413,47.1,64.3,6.8,10.9,.374,9.7,23.1,.138,.513,14.5,82.9,.115
26,26,2015-12-16,@,DET,L,116,119,114.4,117.3,101.4,.270,.281,.583,55.0,39.5,3.9,3.5,.539,15.3,25.6,.225,.558,10.2,82.9,.410
27,27,2015-12-18,,ATL,L,101,109,98.5,106.3,102.5,.403,.299,.557,50.6,55.9,4.9,2.9,.506,18.8,15.4,.299,.489,10.6,80.4,.261
28,28,2015-12-21,,MIN,W,113,99,115.4,101.1,97.9,.180,.281,.588,58.1,73.9,6.1,13.6,.584,14.3,28.6,.101,.468,11.4,86.4,.316
29,29,2015-12-23,@,CHO,W,102,89,105.9,92.4,96.3,.306,.341,.529,52.7,69.4,9.3,7.5,.465,11.9,23.8,.271,.407,14.4,76.5,.284
30,30,2015-12-26,@,DET,W,99,93,103.6,97.3,95.6,.274,.274,.526,48.0,51.3,6.3,1.5,.488,12.9,25.0,.202,.418,12.8,66.7,.187
31,31,2015-12-27,,NYK,W,100,91,105.4,95.9,94.9,.341,.235,.511,51.5,50.0,5.3,5.7,.471,9.3,25.5,.235,.393,11.5,75.0,.236
32,32,2015-12-30,,LAL,L,104,112,105.7,113.9,98.3,.284,.307,.525,46.4,60.5,7.1,6.7,.472,9.2,18.8,.239,.505,8.8,73.5,.181
33,33,2016-01-02,,BRK,L,97,100,99.8,102.9,97.2,.318,.364,.483,50.5,50.0,8.2,5.3,.426,12.2,30.8,.250,.425,12.0,71.4,.226
34,34,2016-01-04,@,BRK,W,103,94,111.0,101.3,92.8,.207,.228,.513,47.5,53.7,10.8,8.8,.478,6.5,24.5,.163,.412,12.6,69.2,.282
35,35,2016-01-06,,DET,L,94,99,99.5,104.8,94.5,.297,.308,.457,45.3,67.6,5.3,10.6,.407,8.9,26.5,.220,.514,16.7,70.3,.311
36,36,2016-01-07,@,CHI,L,92,101,91.0,99.9,101.1,.224,.255,.427,48.6,48.6,10.9,4.2,.383,9.3,26.3,.173,.463,13.6,75.0,.149
37,37,2016-01-10,@,MEM,L,98,101,99.3,102.3,98.7,.261,.250,.499,40.2,59.5,17.2,5.9,.460,14.0,22.9,.193,.393,17.1,57.1,.417
38,38,2016-01-12,@,NYK,L,114,120,116.8,122.9,97.6,.302,.337,.585,51.9,59.5,5.1,6.6,.541,8.5,17.5,.244,.574,10.5,85.4,.333
39,39,2016-01-13,,IND,W,103,94,101.9,93.0,101.0,.222,.289,.521,50.5,60.0,6.9,3.3,.494,16.1,28.6,.156,.434,14.6,72.9,.165
40,40,2016-01-15,,PHO,W,117,103,114.5,100.8,102.2,.302,.313,.538,55.4,71.4,11.7,8.1,.510,9.9,32.1,.198,.449,12.1,81.3,.258
41,41,2016-01-16,@,WAS,W,119,117,120.0,118.0,99.2,.409,.330,.573,52.8,69.2,7.1,4.5,.494,13.4,37.8,.364,.483,11.0,68.2,.348
42,42,2016-01-18,@,DAL,L,113,118,109.9,114.8,93.1,.277,.319,.536,49.0,60.0,8.8,5.1,.489,10.2,24.5,.223,.516,11.9,76.6,.237
43,43,2016-01-20,@,TOR,L,109,115,116.4,122.8,93.7,.176,.306,.595,47.1,69.8,8.5,1.9,.576,13.3,22.2,.129,.620,12.6,73.5,.145
44,44,2016-01-22,,CHI,W,110,101,110.1,101.1,99.9,.219,.240,.523,47.9,60.5,14.0,7.9,.490,10.2,31.4,.167,.444,16.6,66.7,.247
45,45,2016-01-24,@,PHI,W,112,92,107.9,88.6,103.8,.196,.258,.532,52.0,67.4,13.5,3.2,.500,13.2,30.6,.155,.438,19.0,73.5,.157
46,46,2016-01-25,@,WAS,W,116,91,114.7,90.0,101.1,.256,.244,.579,52.4,70.5,11.9,2.0,.539,9.1,17.1,.211,.473,18.5,87.8,.267
47,47,2016-01-27,,DEN,W,111,103,109.4,101.5,101.4,.250,.292,.521,47.5,70.7,14.8,7.9,.474,9.4,26.4,.208,.470,16.9,70.8,.286
48,48,2016-01-29,,ORL,W,113,94,116.4,96.8,97.1,.244,.279,.593,52.9,65.1,8.2,10.2,.558,11.2,20.0,.198,.449,14.8,80.9,.291
49,49,2016-01-31,@,ORL,L,114,119,115.7,120.8,98.5,.269,.495,.548,45.1,43.6,9.1,3.4,.505,8.8,25.5,.215,.598,13.3,70.0,.256
50,50,2016-02-02,@,NYK,W,97,89,105.3,96.6,92.1,.189,.211,.498,47.4,50.0,9.8,3.2,.461,9.3,26.1,.156,.415,14.5,67.3,.256
51,51,2016-02-03,,DET,W,102,95,99.1,92.3,102.9,.135,.219,.501,50.5,66.7,7.8,13.7,.474,9.0,13.3,.115,.441,14.1,82.7,.235
52,52,2016-02-05,@,CLE,W,104,103,104.4,103.4,99.6,.284,.227,.525,51.0,55.3,6.0,8.8,.472,13.2,25.6,.239,.471,12.0,71.7,.241
53,53,2016-02-07,,SAC,W,128,119,118.8,110.4,107.8,.165,.264,.656,60.5,66.7,8.4,7.2,.632,19.7,32.4,.143,.547,11.9,84.1,.158
54,54,2016-02-09,@,MIL,L,111,112,113.8,114.8,97.6,.286,.345,.587,53.7,71.8,11.3,2.9,.524,16.0,32.5,.274,.551,12.5,73.8,.170
55,55,2016-02-10,,LAC,W,139,134,126.2,121.7,99.7,.389,.347,.625,49.4,72.3,4.5,3.6,.563,8.2,18.6,.337,.588,11.6,79.5,.400
56,56,2016-02-19,@,UTA,L,93,111,99.7,118.9,93.3,.444,.309,.480,40.0,60.0,8.6,6.7,.414,6.7,15.7,.321,.618,14.7,76.5,.397
57,57,2016-02-21,@,DEN,W,121,101,116.2,97.0,104.2,.206,.330,.572,57.1,68.1,10.6,3.8,.536,13.8,33.3,.175,.507,21.4,84.6,.370
58,58,2016-02-22,@,MIN,L,122,124,117.4,119.4,103.9,.168,.277,.562,42.7,67.3,12.5,2.9,.535,9.2,21.7,.139,.566,14.5,65.1,.361
59,59,2016-02-25,,MIL,W,112,107,109.5,104.6,102.3,.393,.274,.568,54.5,51.2,8.8,4.2,.518,14.0,24.3,.298,.506,12.5,82.5,.218
