Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,CHI,L,100,115,99.0,.301,.097,.475,53.6,48.7,11.1,10.0,.419,11.0,32.0,.237,.628,18.0,85.3,.218
2,2,2015-10-30,@,SAS,L,75,102,95.5,.195,.208,.449,36.4,54.8,6.3,9.4,.435,15.2,4.3,.104,.517,16.4,71.4,.151
3,3,2015-10-31,@,MEM,L,91,101,88.8,.228,.165,.523,50.6,55.3,3.4,5.3,.500,12.1,20.5,.152,.481,8.9,76.1,.300
4,4,2015-11-02,,MIL,L,96,103,91.0,.278,.241,.541,49.3,58.3,3.3,8.0,.494,16.9,26.3,.228,.582,14.2,75.8,.247
5,5,2015-11-04,@,ATL,L,87,101,90.9,.157,.253,.490,55.8,66.7,9.9,7.4,.464,17.6,33.3,.120,.539,13.1,82.9,.250
6,6,2015-11-06,,LAL,L,98,104,101.1,.215,.204,.481,53.5,52.5,5.9,10.9,.446,12.8,28.6,.161,.468,13.6,86.5,.397
7,7,2015-11-07,@,MIL,L,86,94,91.1,.232,.110,.476,55.9,52.9,12.1,4.8,.433,16.6,35.4,.183,.500,14.4,77.8,.146
8,8,2015-11-11,@,HOU,W,106,98,93.9,.173,.173,.502,57.1,59.5,5.3,17.2,.469,9.4,38.5,.143,.469,6.3,75.5,.061
9,9,2015-11-13,@,SAC,L,109,111,101.6,.236,.236,.555,46.8,57.1,6.9,6.0,.517,13.2,20.5,.191,.484,11.7,70.0,.213
10,10,2015-11-14,@,GSW,L,99,107,93.0,.163,.184,.471,50.0,53.7,11.7,6.3,.429,10.3,22.0,.153,.505,12.1,78.0,.093
11,11,2015-11-17,,ATL,W,90,88,91.6,.155,.238,.502,50.0,59.5,15.3,6.4,.494,10.9,20.0,.083,.513,19.6,81.4,.132
12,12,2015-11-18,@,CHO,L,111,116,101.5,.242,.165,.551,43.0,56.8,4.9,7.3,.511,8.2,11.1,.198,.556,13.5,78.0,.338
13,13,2015-11-20,@,BOS,L,95,120,100.2,.270,.213,.477,51.8,48.6,10.0,0.0,.438,16.0,29.2,.191,.644,14.9,81.1,.092
14,14,2015-11-22,,BOS,W,111,101,93.7,.418,.190,.593,58.3,45.0,11.7,8.9,.538,13.0,35.9,.329,.512,15.7,77.8,.207
15,15,2015-11-25,@,OKC,L,99,110,102.4,.128,.138,.499,51.7,46.5,9.8,5.6,.473,14.6,22.4,.106,.590,17.9,89.5,.231
16,16,2015-11-28,@,CLE,L,88,90,98.5,.296,.210,.481,48.4,63.6,9.1,6.7,.432,14.9,17.8,.222,.454,16.7,76.0,.126
17,17,2015-11-29,,DET,W,87,83,99.7,.198,.148,.494,50.0,42.9,8.0,14.3,.457,17.8,17.9,.160,.366,11.3,69.8,.089
