Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-27,,CLE,W,97,95,99.5,.264,.218,.499,48.5,35.1,6.0,15.4,.466,11.8,15.2,.184,.452,9.0,78.4,.106
2,2,2015-10-28,@,BRK,W,115,100,99.0,.256,.359,.662,46.4,47.6,9.1,3.6,.628,18.0,14.7,.218,.419,11.0,68.0,.237
3,3,2015-10-30,@,DET,L,94,98,95.7,.310,.262,.492,45.0,52.9,7.6,10.5,.446,16.6,16.3,.226,.404,10.7,67.7,.135
4,4,2015-11-01,,ORL,W,92,87,95.9,.253,.322,.476,52.2,69.7,7.3,11.9,.420,11.9,26.2,.218,.428,14.1,75.0,.111
5,5,2015-11-03,@,CHO,L,105,130,98.1,.089,.333,.561,38.8,59.1,5.1,0.0,.567,11.4,9.1,.033,.593,8.2,70.7,.242
6,6,2015-11-05,,OKC,W,104,98,91.4,.233,.200,.524,51.6,50.0,3.3,9.9,.483,5.7,23.9,.189,.482,8.8,80.0,.202
7,7,2015-11-07,,MIN,L,93,102,97.0,.247,.344,.451,46.3,60.6,6.5,7.5,.414,14.9,18.5,.172,.443,12.2,74.1,.177
8,8,2015-11-09,@,PHI,W,111,88,104.4,.240,.260,.523,52.7,68.3,5.7,13.3,.479,11.7,26.0,.198,.375,10.6,75.0,.130
9,9,2015-11-13,,CHO,W,102,97,96.1,.369,.190,.522,55.9,73.0,4.2,9.7,.464,10.1,21.7,.286,.458,5.6,83.9,.105
10,10,2015-11-16,,IND,W,96,95,95.9,.372,.174,.480,49.0,74.3,9.4,13.6,.442,7.4,20.4,.233,.454,11.0,77.6,.184
11,11,2015-11-18,@,PHO,W,103,97,95.2,.169,.229,.578,52.2,58.5,7.4,3.1,.548,17.6,27.5,.145,.451,10.7,72.0,.165
12,12,2015-11-20,@,GSW,L,94,106,92.3,.261,.250,.479,46.7,62.9,11.9,4.0,.438,10.9,28.3,.193,.557,14.3,71.8,.228
13,13,2015-11-24,@,POR,W,93,88,96.2,.267,.209,.484,44.4,57.6,6.2,4.5,.424,9.4,13.3,.233,.386,12.3,70.4,.227
14,14,2015-11-27,@,IND,L,92,104,103.1,.217,.283,.456,48.0,65.6,6.8,11.9,.408,13.0,17.3,.185,.471,11.5,82.6,.253
15,15,2015-11-30,,SAS,W,92,89,91.7,.233,.186,.485,52.0,67.6,4.4,7.9,.465,9.5,25.5,.140,.422,8.4,76.5,.144
16,16,2015-12-02,,DEN,W,99,90,96.4,.303,.191,.491,55.9,61.1,3.1,12.8,.438,12.2,29.4,.236,.414,6.4,78.3,.140
17,17,2015-12-05,,CHO,L,96,102,95.7,.213,.281,.493,51.0,78.4,5.2,9.1,.466,12.6,24.5,.146,.472,8.3,75.5,.202
18,18,2015-12-07,,PHO,L,101,103,101.4,.200,.233,.516,54.5,68.3,10.8,10.7,.489,17.0,34.8,.144,.484,15.3,76.2,.152
19,19,2015-12-09,@,BOS,L,100,105,99.0,.253,.231,.494,52.6,56.4,7.1,7.2,.462,13.7,31.9,.176,.440,10.3,72.9,.261
20,20,2015-12-10,,LAC,W,83,80,89.0,.184,.264,.441,50.9,64.5,9.0,9.1,.397,10.5,26.0,.161,.398,12.2,73.2,.114
21,21,2015-12-12,,NOP,W,98,94,96.2,.372,.256,.540,53.9,51.5,6.2,8.2,.474,12.5,16.3,.308,.483,9.6,89.1,.090
22,22,2015-12-14,,PHI,W,115,96,97.2,.306,.259,.596,59.6,65.1,7.2,13.1,.553,11.9,27.0,.247,.473,10.1,82.7,.098
23,23,2015-12-16,,MEM,W,98,85,95.9,.221,.279,.519,52.3,57.9,5.2,10.5,.494,12.9,20.0,.151,.454,12.8,87.8,.211
24,24,2015-12-18,,DET,L,144,147,92.2,.367,.183,.517,49.2,42.0,3.8,9.5,.438,10.3,30.8,.325,.484,7.1,68.9,.218
25,25,2015-12-19,@,NYK,L,91,107,91.8,.181,.223,.448,52.2,45.9,7.6,1.6,.420,11.4,35.3,.128,.530,10.6,74.4,.244
26,26,2015-12-21,,BRK,L,102,105,96.1,.137,.274,.506,46.9,74.4,8.3,10.8,.500,11.4,29.4,.074,.495,12.3,66.7,.128
