Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
2,1,2015-10-27,@,CHI,L,95,97,99.5,.181,.309,.468,51.5,68.4,5.0,10.3,.452,9.0,21.6,.106,.466,11.8,84.8,.184
3,2,2015-10-28,@,MEM,W,106,76,95.7,.202,.345,.579,57.4,70.7,7.3,3.0,.565,17.2,29.3,.131,.366,14.9,79.2,.195
4,3,2015-10-30,,MIA,W,102,92,91.0,.244,.291,.535,56.3,64.1,4.4,7.1,.488,10.4,30.4,.209,.468,13.0,85.4,.260
5,4,2015-11-02,@,PHI,W,107,100,96.9,.247,.272,.596,53.8,66.7,5.2,14.8,.568,15.1,20.0,.185,.488,12.0,80.0,.200
6,5,2015-11-04,,NYK,W,96,86,93.3,.386,.325,.494,54.5,63.6,5.4,3.3,.440,10.2,22.5,.277,.440,11.7,81.3,.143
7,6,2015-11-06,,PHI,W,108,102,95.9,.136,.295,.579,54.2,64.4,9.4,0.0,.568,15.4,26.2,.091,.582,15.7,82.9,.127
8,7,2015-11-08,,IND,W,101,97,91.4,.301,.289,.537,50.5,65.8,5.5,5.6,.506,9.6,23.9,.205,.467,6.6,75.5,.144
9,8,2015-11-10,,UTA,W,118,114,94.1,.581,.324,.635,48.6,64.9,9.6,10.0,.574,14.7,31.4,.446,.549,14.5,64.9,.293
10,9,2015-11-13,@,NYK,W,90,84,90.2,.397,.359,.491,51.6,36.4,6.7,1.9,.462,11.6,25.0,.231,.424,13.7,78.7,.215
11,10,2015-11-14,@,MIL,L,105,108,87.4,.297,.418,.510,51.4,56.8,5.7,9.3,.484,16.3,28.0,.187,.451,9.7,72.7,.157
12,11,2015-11-17,@,DET,L,99,104,98.1,.250,.413,.557,45.5,55.3,8.2,3.2,.544,13.6,7.5,.150,.470,11.7,77.1,.298
13,12,2015-11-19,,MIL,W,115,100,86.6,.423,.338,.683,66.2,72.5,3.5,3.1,.641,16.8,44.8,.338,.541,11.5,83.3,.288
14,13,2015-11-21,,ATL,W,109,97,93.6,.224,.341,.584,57.3,65.9,4.3,13.8,.547,13.0,29.7,.188,.436,11.0,76.9,.256
15,14,2015-11-23,,ORL,W,117,103,90.6,.272,.432,.645,51.3,79.1,5.5,5.1,.642,9.9,21.1,.160,.556,10.0,78.6,.160
16,15,2015-11-25,@,TOR,L,99,103,89.2,.195,.354,.556,51.2,61.1,4.5,3.7,.524,10.1,20.9,.159,.576,9.2,84.6,.152
17,16,2015-11-27,@,CHO,W,95,90,93.1,.309,.309,.516,56.8,50.0,3.2,3.6,.469,14.8,27.9,.235,.444,10.8,84.4,.238
18,17,2015-11-28,,BRK,W,90,88,98.5,.195,.310,.476,51.6,57.1,9.1,17.2,.454,16.7,24.0,.126,.432,14.9,82.2,.222
19,18,2015-12-01,,WAS,L,85,97,98.3,.277,.361,.456,54.7,53.6,8.1,5.5,.392,16.2,21.3,.241,.512,11.8,94.9,.145
20,19,2015-12-04,@,NOP,L,108,114,90.2,.270,.371,.542,48.3,46.2,8.0,1.7,.494,12.3,25.5,.225,.547,13.2,73.8,.247
21,20,2015-12-05,@,MIA,L,84,99,93.3,.282,.329,.440,46.8,45.2,8.6,1.9,.400,12.8,22.4,.188,.596,15.7,89.3,.265
22,21,2015-12-08,,POR,W,105,100,89.2,.253,.266,.598,45.5,45.0,11.2,7.5,.563,8.4,18.8,.203,.576,17.3,70.6,.114
23,22,2015-12-11,@,ORL,W,111,76,92.0,.375,.292,.662,60.0,68.3,13.0,0.0,.646,17.7,27.3,.250,.431,19.0,85.7,.194
24,23,2015-12-15,@,BOS,W,89,77,88.2,.128,.295,.540,52.9,47.2,5.7,12.7,.513,14.5,17.1,.115,.374,9.7,76.9,.138
25,24,2015-12-17,,OKC,W,104,100,88.5,.148,.330,.555,53.8,70.7,6.8,1.9,.534,14.6,37.2,.114,.514,12.2,74.3,.324
26,25,2015-12-20,,PHI,W,108,86,96.9,.247,.294,.573,44.9,62.5,11.4,9.7,.535,9.6,15.4,.200,.378,16.1,68.0,.244
27,26,2015-12-23,,NYK,W,91,84,86.3,.301,.265,.484,52.2,71.9,7.0,6.1,.416,6.9,28.6,.265,.421,11.0,79.1,.183
28,27,2015-12-25,@,GSW,L,83,89,95.9,.263,.316,.392,52.9,40.0,6.3,6.7,.342,9.4,29.3,.189,.442,15.1,82.6,.256
29,28,2015-12-26,@,POR,L,76,105,91.4,.195,.403,.455,46.2,75.0,4.4,3.0,.435,16.9,18.8,.117,.511,7.6,76.7,.157
30,29,2015-12-28,@,PHO,W,101,97,87.6,.352,.577,.616,45.7,63.6,9.1,14.8,.585,17.2,25.0,.254,.525,15.4,65.9,.177
31,30,2015-12-29,@,DEN,W,93,87,97.3,.256,.256,.486,45.8,44.7,12.3,4.6,.465,11.1,18.4,.151,.444,16.1,74.5,.090
32,31,2016-01-02,,ORL,W,104,79,90.5,.476,.451,.524,54.1,70.6,6.6,2.0,.488,3.9,23.1,.293,.421,14.4,89.1,.197
33,32,2016-01-04,,TOR,W,122,100,84.5,.351,.446,.714,60.6,61.0,7.1,7.4,.669,13.2,37.9,.311,.548,9.5,78.4,.274
34,33,2016-01-06,@,WAS,W,121,115,93.2,.213,.326,.621,57.1,33.3,9.7,5.8,.607,9.3,31.7,.146,.645,12.0,86.1,.224
35,34,2016-01-08,@,MIN,W,125,99,92.8,.358,.333,.667,56.6,53.5,8.6,7.9,.611,10.5,27.8,.321,.500,11.7,82.5,.253
36,35,2016-01-10,@,PHI,W,95,85,95.8,.256,.356,.474,51.5,57.1,9.4,3.4,.439,9.1,24.1,.178,.494,18.2,84.4,.117
37,36,2016-01-12,@,DAL,W,110,107,85.4,.165,.454,.529,51.1,70.0,12.7,7.8,.500,8.0,31.5,.134,.563,15.3,80.6,.228
38,37,2016-01-14,@,SAS,L,95,99,92.3,.134,.317,.547,48.9,39.5,4.3,3.0,.524,16.4,20.9,.110,.488,10.6,75.6,.217
39,38,2016-01-15,@,HOU,W,91,77,90.5,.264,.402,.468,55.1,55.9,11.0,12.2,.437,12.6,36.2,.172,.392,17.2,76.2,.257
40,39,2016-01-18,,GSW,L,98,132,94.8,.325,.247,.557,49.3,59.5,3.2,8.9,.526,14.6,20.5,.221,.653,7.6,82.4,.247
41,40,2016-01-20,@,BRK,W,91,78,90.0,.260,.221,.530,53.6,41.7,6.7,4.6,.500,13.2,16.7,.182,.440,12.1,81.3,.048
42,41,2016-01-21,,LAC,W,115,102,92.4,.289,.337,.615,57.3,69.0,5.4,3.6,.584,12.2,34.1,.217,.488,8.6,80.5,.300
43,42,2016-01-23,,CHI,L,83,96,86.8,.234,.255,.400,47.5,48.6,5.8,7.1,.394,3.7,28.6,.096,.477,7.0,71.1,.149
44,43,2016-01-25,,MIN,W,114,107,96.2,.225,.348,.583,53.1,66.7,7.3,4.4,.567,13.3,28.6,.146,.512,9.6,79.5,.250
45,44,2016-01-27,,PHO,W,115,93,89.1,.198,.346,.653,52.1,75.6,13.5,6.0,.623,12.9,31.3,.173,.529,21.4,69.2,.271
46,45,2016-01-29,@,DET,W,114,106,92.0,.349,.277,.595,54.7,51.3,4.3,1.6,.524,6.8,25.0,.325,.518,8.6,80.4,.226
47,46,2016-01-30,,SAS,W,117,103,87.3,.256,.280,.641,57.3,53.3,4.6,6.3,.604,9.0,29.4,.220,.531,6.2,80.5,.210
48,47,2016-02-01,@,IND,W,111,106,91.8,.261,.250,.566,50.6,50.0,7.9,4.1,.540,14.0,27.0,.182,.465,13.0,67.3,.119
49,48,2016-02-03,@,CHO,L,97,106,90.6,.169,.337,.544,36.4,42.1,9.9,9.6,.518,7.3,7.3,.133,.551,13.6,69.4,.241
50,49,2016-02-05,,BOS,L,103,104,99.6,.402,.345,.503,49.0,56.8,8.0,8.8,.471,12.0,28.3,.241,.472,13.2,74.4,.239
51,50,2016-02-06,,NOP,W,99,84,89.0,.078,.456,.532,53.8,53.8,6.7,9.4,.511,11.4,25.6,.078,.420,7.8,75.0,.126
52,51,2016-02-08,,SAC,W,120,100,102.5,.202,.372,.586,54.6,60.0,6.8,8.5,.564,12.0,25.0,.149,.494,15.2,83.7,.232
53,52,2016-02-10,,LAL,W,120,111,94.1,.191,.330,.589,51.1,54.2,6.4,1.7,.580,5.6,28.3,.117,.517,10.1,75.0,.256
54,53,2016-02-18,,CHI,W,106,95,96.9,.187,.264,.538,51.5,50.0,8.3,11.1,.500,9.2,24.4,.165,.441,11.2,73.2,.140
55,54,2016-02-21,@,OKC,W,115,92,90.1,.338,.288,.626,55.7,61.0,4.4,1.4,.575,11.6,34.2,.288,.439,9.2,72.0,.144
56,55,2016-02-22,,DET,L,88,96,95.1,.165,.329,.519,48.2,55.9,8.4,3.6,.481,16.7,11.9,.152,.513,12.7,85.4,.175
57,56,2016-02-24,,CHO,W,114,103,93.6,.187,.352,.579,52.2,57.8,11.7,2.1,.566,8.4,25.5,.121,.553,13.7,81.4,.250
58,57,2016-02-26,@,TOR,L,97,99,87.2,.284,.324,.583,53.4,60.0,4.6,0.0,.554,14.4,25.6,.203,.548,11.5,85.3,.260
59,58,2016-02-28,@,WAS,L,99,113,99.1,.375,.363,.531,46.4,62.5,6.1,4.2,.456,13.1,13.3,.325,.563,12.2,84.6,.304
60,59,2016-02-29,,IND,W,100,96,88.9,.301,.349,.532,52.6,62.9,4.5,3.2,.476,10.5,25.0,.253,.513,11.3,77.5,.175
61,60,2016-03-04,,WAS,W,108,83,96.1,.178,.300,.556,50.0,57.1,9.4,8.2,.533,8.5,17.8,.133,.414,14.9,79.6,.198
62,61,2016-03-05,,BOS,W,120,103,94.6,.415,.366,.619,56.0,64.3,8.5,7.0,.573,13.4,35.7,.317,.525,13.2,76.2,.238
63,62,2016-03-07,,MEM,L,103,106,101.0,.363,.363,.555,58.3,63.9,8.9,10.6,.494,21.2,33.3,.300,.512,14.3,80.0,.209
64,63,2016-03-09,@,SAC,W,120,111,100.0,.389,.489,.569,57.3,43.6,5.0,1.6,.506,11.0,31.3,.322,.524,8.4,87.8,.274
65,64,2016-03-10,@,LAL,W,120,108,92.3,.235,.412,.640,52.8,48.9,4.3,10.3,.624,7.9,23.1,.165,.569,10.1,87.9,.213
66,65,2016-03-13,@,LAC,W,114,90,90.1,.238,.440,.614,59.0,56.1,3.3,8.5,.595,7.9,23.7,.167,.468,10.3,88.9,.203
67,66,2016-03-14,@,UTA,L,85,94,81.2,.091,.489,.464,49.4,51.4,7.4,6.8,.455,8.0,28.9,.057,.577,13.5,76.5,.169
68,67,2016-03-16,,DAL,W,99,98,92.3,.148,.420,.528,60.0,53.8,9.8,7.0,.500,14.6,31.7,.125,.513,10.3,89.7,.215
69,68,2016-03-18,@,ORL,W,109,103,94.4,.355,.368,.620,53.2,60.5,7.4,6.7,.586,17.8,25.0,.263,.518,12.4,78.0,.220
70,69,2016-03-19,@,MIA,L,101,122,90.6,.171,.316,.618,38.2,47.5,6.6,4.6,.592,14.6,9.4,.145,.613,10.5,63.9,.226
71,70,2016-03-21,,DEN,W,124,91,95.1,.198,.360,.663,55.1,79.2,10.5,6.8,.645,11.4,24.2,.151,.444,14.8,77.8,.235
72,71,2016-03-23,,MIL,W,113,104,87.0,.325,.410,.595,57.5,72.5,6.9,12.5,.542,11.2,44.7,.277,.581,13.9,71.4,.138
73,72,2016-03-24,@,BRK,L,95,104,94.0,.101,.427,.511,49.5,56.4,3.2,3.0,.494,13.1,23.4,.079,.506,8.5,77.3,.157
74,73,2016-03-26,@,NYK,W,107,93,86.9,.301,.410,.569,56.4,56.8,6.9,8.9,.530,8.7,32.6,.229,.468,8.1,79.2,.241
75,74,2016-03-29,,HOU,L,100,106,95.9,.326,.465,.509,40.9,67.7,5.2,9.3,.442,10.1,19.6,.279,.538,12.6,66.7,.266
76,75,2016-03-31,,BRK,W,107,87,104.3,.276,.437,.548,47.6,76.3,9.6,9.6,.506,14.8,17.6,.218,.394,14.1,75.9,.138
77,76,2016-04-01,@,ATL,W,110,108,101.4,.316,.388,.493,54.3,69.2,8.0,9.2,.459,9.7,20.4,.204,.447,12.4,90.2,.242
78,77,2016-04-03,,CHO,W,112,103,89.8,.157,.349,.631,56.8,75.6,7.8,2.0,.639,16.1,38.5,.072,.507,14.6,73.8,.342
79,78,2016-04-05,@,MIL,W,109,80,91.1,.133,.480,.686,50.0,73.2,4.4,11.1,.667,16.8,6.5,.120,.420,9.7,76.5,.068
80,79,2016-04-06,@,IND,L,109,123,91.3,.459,.392,.613,46.5,42.9,7.7,6.1,.527,10.1,19.4,.419,.663,13.5,74.3,.213
81,80,2016-04-09,@,CHI,L,102,105,92.5,.217,.482,.561,48.3,66.7,5.4,7.7,.548,14.2,27.3,.133,.494,10.9,69.8,.191
82,81,2016-04-11,,ATL,W,109,94,96.6,.241,.349,.594,52.8,42.5,9.3,7.0,.548,14.0,22.0,.217,.494,13.8,79.2,.092
83,82,2016-04-13,,DET,L,110,112,91.1,.155,.186,.531,47.8,45.7,4.0,13.5,.510,8.8,17.4,.113,.529,11.0,79.5,.259
