Rk,G,Date,Court,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,@,PHO,W,111,95,108.9,93.2,102.0,.365,.247,.563,47.5,60.0,6.9,4.8,.529,7.5,13.0,.247,.425,15.1,76.4,.241
2,2,2015-10-29,@,LAC,L,88,104,88.5,104.6,99.4,.155,.309,.425,50.9,62.9,4.0,3.6,.392,10.4,23.7,.124,.483,7.3,83.7,.230
3,3,2015-11-01,@,LAL,W,103,93,106.4,96.1,96.8,.184,.345,.548,53.8,70.0,5.2,7.8,.523,10.5,19.0,.138,.424,11.0,83.7,.247
4,4,2015-11-03,,TOR,L,91,102,94.9,106.4,95.9,.291,.267,.469,48.4,60.6,5.2,4.6,.424,13.4,27.5,.209,.482,14.6,75.0,.280
5,5,2015-11-05,,CHO,L,94,108,96.4,110.8,97.5,.329,.354,.501,47.8,53.1,8.2,3.2,.427,12.2,16.7,.293,.528,10.2,81.8,.157
6,6,2015-11-07,,NOP,W,107,98,112.7,103.2,95.0,.262,.286,.571,50.0,50.0,5.3,3.4,.530,8.8,14.6,.214,.506,11.6,83.7,.128
7,7,2015-11-10,@,NOP,L,105,120,103.5,118.3,101.4,.295,.227,.528,47.8,51.3,3.9,6.8,.472,11.6,17.0,.250,.576,9.9,80.0,.152
8,8,2015-11-11,,LAC,W,118,108,125.4,114.8,94.1,.395,.316,.661,51.8,54.8,8.5,5.1,.625,12.7,22.2,.303,.500,9.0,73.5,.256
9,9,2015-11-13,,LAL,W,90,82,90.5,82.4,99.5,.354,.329,.475,45.7,63.3,9.0,6.6,.409,13.7,14.3,.280,.381,17.3,73.2,.170
10,10,2015-11-14,@,HOU,W,110,98,113.7,101.3,96.7,.236,.315,.560,51.1,55.8,6.2,14.0,.528,10.1,20.5,.180,.435,10.9,75.5,.298
11,11,2015-11-16,@,PHI,W,92,86,90.9,84.9,101.3,.395,.316,.516,45.9,53.3,11.9,3.7,.441,17.6,13.6,.329,.480,24.2,80.5,.171
12,12,2015-11-18,@,BOS,W,106,102,109.4,105.3,96.9,.486,.278,.606,47.6,59.5,7.2,10.6,.563,16.3,19.4,.347,.457,12.0,69.6,.196
13,13,2015-11-20,,UTA,W,102,93,117.5,107.1,86.8,.205,.337,.564,41.5,61.5,11.5,8.3,.518,8.1,21.1,.193,.475,16.0,59.1,.213
14,14,2015-11-22,@,OKC,L,114,117,115.0,118.0,99.1,.337,.229,.598,46.8,59.1,8.1,5.9,.590,15.1,25.0,.193,.572,14.0,65.9,.156
15,15,2015-11-24,@,MEM,L,96,110,92.9,106.4,103.4,.364,.442,.537,53.3,73.3,3.9,9.2,.461,17.5,9.8,.325,.471,8.1,89.8,.337
16,16,2015-11-25,@,SAS,L,83,88,92.1,97.7,90.1,.145,.265,.470,46.9,61.8,7.8,1.9,.446,12.8,18.4,.108,.457,12.7,75.5,.173
17,17,2015-11-28,,DEN,W,92,81,101.8,89.7,90.3,.351,.338,.518,48.3,54.5,14.4,6.0,.474,12.8,22.2,.247,.453,19.5,76.2,.173
18,18,2015-11-30,@,SAC,L,98,112,100.5,114.8,97.5,.262,.440,.523,48.8,61.1,8.2,6.3,.482,14.6,21.4,.202,.513,10.1,77.5,.392
19,19,2015-12-01,@,POR,W,115,112,110.8,107.9,94.0,.255,.309,.550,49.5,53.5,6.7,8.3,.505,10.3,24.5,.213,.485,12.2,74.0,.150
20,20,2015-12-04,,HOU,L,96,100,102.7,107.0,93.4,.247,.358,.535,48.3,62.2,8.6,8.6,.506,15.9,26.8,.173,.536,16.4,67.4,.119
21,21,2015-12-06,@,WAS,W,116,104,120.6,108.2,96.1,.355,.408,.660,61.7,65.8,5.2,6.5,.605,15.4,19.4,.316,.517,5.8,88.0,.135
22,22,2015-12-07,@,NYK,W,104,97,110.8,103.3,93.9,.244,.378,.573,53.8,56.8,7.5,5.1,.530,9.0,17.1,.207,.530,12.9,92.3,.095
23,23,2015-12-09,,ATL,L,95,98,100.5,103.7,94.5,.190,.310,.438,52.0,50.0,7.4,4.9,.395,7.7,32.8,.160,.519,13.6,83.8,.173
24,24,2015-12-12,,WAS,L,111,114,112.7,115.7,98.5,.270,.371,.557,54.1,60.5,5.1,5.4,.506,10.8,23.9,.236,.600,12.4,89.7,.141
25,25,2015-12-14,,PHO,W,104,94,109.2,98.7,95.2,.273,.416,.603,46.6,44.7,12.6,1.8,.571,15.6,12.5,.208,.469,14.8,75.0,.238
26,26,2015-12-16,@,IND,L,81,107,85.2,112.5,95.1,.111,.367,.429,50.0,48.5,2.1,5.0,.411,10.4,20.8,.078,.545,7.7,87.8,.112
27,27,2015-12-18,,MEM,W,97,88,105.9,96.1,91.6,.269,.372,.556,56.2,79.4,7.6,6.3,.500,17.9,27.5,.244,.413,11.7,79.6,.275
28,28,2015-12-22,@,TOR,L,99,103,104.7,109.0,94.5,.120,.315,.511,39.1,57.5,8.5,14.6,.495,5.8,8.5,.087,.554,16.5,75.0,.284
29,29,2015-12-23,@,BRK,W,119,118,120.0,119.0,89.8,.183,.415,.672,44.2,60.0,3.0,4.9,.646,16.1,15.2,.159,.554,9.3,65.9,.059
30,30,2015-12-26,,CHI,W,118,111,128.6,121.0,91.7,.322,.379,.594,50.6,60.0,10.9,1.8,.552,10.0,36.4,.253,.590,16.0,66.7,.244
31,31,2015-12-28,,MIL,W,103,93,112.1,101.3,91.9,.310,.262,.540,39.5,65.8,9.8,3.1,.512,4.0,12.2,.202,.506,16.6,75.7,.165
32,32,2015-12-30,,GSW,W,114,91,122.2,97.6,93.3,.244,.329,.628,58.4,47.6,6.4,6.5,.598,14.2,29.3,.195,.451,11.6,83.3,.222
33,33,2016-01-01,@,MIA,L,82,106,92.5,119.6,88.6,.159,.352,.435,44.4,68.8,6.8,4.7,.403,8.7,23.6,.125,.610,12.2,77.1,.073
