Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-27,,NOP,W,111,95,100.1,.229,.313,.525,62.9,70.7,8.0,10.8,.474,15.9,45.7,.208,.458,15.9,81.4,.229
2,2,2015-10-30,@,HOU,W,112,92,98.6,.269,.280,.538,49.0,60.5,9.1,6.8,.511,7.1,22.9,.183,.396,14.1,75.0,.329
3,3,2015-10-31,@,NOP,W,134,120,105.3,.417,.357,.674,44.2,56.5,9.5,5.1,.649,9.1,8.6,.298,.500,12.0,68.6,.200
4,4,2015-11-02,,MEM,W,119,69,101.2,.357,.298,.612,59.6,74.4,7.9,17.8,.577,12.6,23.3,.262,.286,9.5,83.3,.146
5,5,2015-11-04,,LAC,W,112,108,97.5,.365,.306,.568,50.6,71.8,6.2,7.6,.518,10.8,22.5,.282,.534,10.1,76.7,.159
6,6,2015-11-06,,DEN,W,119,104,107.4,.194,.398,.590,54.6,87.0,9.3,8.8,.586,16.5,27.7,.108,.467,15.7,80.0,.196
7,7,2015-11-07,@,SAC,W,103,94,99.6,.239,.424,.506,50.5,71.1,13.0,2.9,.457,15.0,31.9,.207,.471,18.3,70.5,.138
8,8,2015-11-09,,DET,W,109,95,96.4,.143,.231,.563,50.0,67.4,13.5,6.1,.538,14.2,31.0,.121,.506,17.9,70.0,.106
9,9,2015-11-11,@,MEM,W,100,84,96.1,.307,.360,.587,46.8,61.1,12.5,14.5,.553,21.3,18.4,.227,.364,19.7,74.4,.471
10,10,2015-11-12,@,MIN,W,129,116,98.5,.180,.427,.672,41.3,70.8,8.1,9.0,.640,10.3,15.8,.169,.511,11.2,64.3,.310
11,11,2015-11-14,,BRK,W,107,99,93.0,.103,.351,.528,50.0,72.1,8.8,12.5,.505,12.1,22.0,.093,.429,10.3,78.0,.153
