Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,DEN,L,85,105,97.0,.299,.402,.432,47.3,56.7,13.4,15.4,.391,14.0,27.3,.195,.589,19.5,76.3,.152
2,2,2015-10-30,,GSW,L,92,112,98.6,.439,.280,.470,51.0,63.3,3.0,13.4,.396,14.1,25.0,.329,.511,7.1,77.1,.183
3,3,2015-11-01,@,MIA,L,89,109,96.7,.228,.456,.512,41.5,62.5,9.3,4.7,.468,16.4,7.5,.190,.541,11.2,73.8,.186
4,4,2015-11-02,,OKC,W,110,105,102.9,.326,.326,.540,38.2,53.7,17.5,11.5,.511,10.5,14.6,.213,.536,20.4,65.9,.179
5,5,2015-11-04,,ORL,W,119,114,92.9,.386,.386,.578,55.8,66.7,7.8,1.4,.540,15.6,35.6,.273,.544,12.4,78.0,.165
6,6,2015-11-06,@,SAC,W,116,110,101.3,.329,.439,.618,53.3,57.5,7.9,6.2,.579,18.3,32.6,.256,.478,12.4,71.4,.226
7,7,2015-11-07,@,LAC,W,109,105,98.2,.337,.349,.552,53.4,42.1,7.1,4.5,.483,12.4,26.8,.302,.500,10.8,76.6,.193
8,8,2015-11-11,,BRK,L,98,106,93.9,.122,.347,.474,42.9,59.5,9.6,11.1,.469,6.3,24.5,.061,.469,9.4,61.5,.143
9,9,2015-11-13,@,DEN,L,98,107,99.7,.403,.377,.541,46.5,57.6,10.0,13.1,.487,18.1,19.0,.299,.512,15.9,72.7,.296
10,10,2015-11-14,,DAL,L,98,110,96.7,.381,.405,.500,48.9,68.8,9.3,8.2,.435,10.9,24.5,.298,.528,10.1,79.5,.180
11,11,2015-11-16,,BOS,L,95,111,101.0,.271,.376,.499,48.4,63.9,9.9,10.5,.488,18.8,29.8,.141,.532,15.9,66.7,.129
12,12,2015-11-18,,POR,W,108,103,96.6,.380,.478,.503,51.5,68.8,10.3,10.3,.424,13.7,25.5,.326,.449,15.9,79.2,.273
13,13,2015-11-20,@,MEM,L,84,96,98.7,.500,.392,.465,51.0,53.6,11.1,14.8,.419,20.3,18.8,.297,.471,10.5,83.3,.188
14,14,2015-11-21,,NYK,L,102,107,84.6,.346,.346,.547,48.3,51.4,7.1,7.3,.506,11.4,38.1,.247,.500,10.4,57.8,.338
15,15,2015-11-25,,MEM,L,93,102,95.1,.380,.479,.561,47.4,63.3,14.7,10.9,.493,18.6,15.8,.324,.506,15.9,77.5,.263
16,16,2015-11-27,,PHI,W,116,114,98.3,.507,.274,.650,59.8,55.3,5.1,12.5,.596,19.8,28.6,.397,.578,11.3,83.0,.217
17,17,2015-11-29,@,NYK,W,116,111,90.3,.379,.263,.523,47.6,37.2,16.0,3.3,.489,6.7,30.9,.242,.615,19.7,81.5,.192
18,18,2015-11-30,@,DET,L,105,116,96.6,.318,.307,.523,49.5,54.3,11.4,11.3,.460,13.8,33.3,.273,.576,9.8,67.4,.212
19,19,2015-12-02,,NOP,W,108,101,102.7,.448,.310,.518,42.9,55.6,8.8,11.1,.460,8.8,18.4,.322,.449,18.9,67.3,.250
20,20,2015-12-04,@,DAL,W,100,96,93.4,.214,.310,.544,51.7,51.3,12.8,9.6,.536,16.4,32.6,.119,.506,15.9,73.2,.173
21,21,2015-12-05,,SAC,W,120,113,99.6,.551,.436,.619,47.8,69.4,9.0,6.9,.564,14.9,27.7,.410,.520,11.1,69.8,.112
22,22,2015-12-08,@,BRK,L,105,110,99.8,.207,.427,.587,46.2,66.7,20.0,4.8,.567,20.4,25.0,.146,.599,21.4,68.4,.160
23,23,2015-12-09,@,WAS,W,109,103,104.8,.301,.398,.580,47.2,57.5,7.6,6.3,.554,16.8,14.3,.205,.466,15.3,76.6,.225
24,24,2015-12-12,,LAL,W,126,97,101.8,.311,.367,.616,56.5,68.1,15.7,12.5,.606,13.5,34.1,.189,.455,16.4,77.1,.193
25,25,2015-12-14,@,DEN,L,108,114,94.4,.126,.460,.588,33.3,63.4,14.8,1.8,.575,10.7,11.9,.092,.561,16.2,58.3,.268
26,26,2015-12-15,@,SAC,L,97,107,104.7,.280,.476,.526,43.4,64.7,16.2,5.9,.488,18.6,15.6,.207,.580,24.2,76.3,.267
27,27,2015-12-17,@,LAL,W,107,87,92.0,.477,.352,.502,54.0,64.7,9.8,13.3,.455,10.9,41.1,.307,.458,13.2,70.5,.119
28,28,2015-12-19,,LAC,W,107,97,99.5,.645,.329,.548,59.1,64.7,7.0,14.6,.500,13.3,29.5,.408,.459,10.8,85.7,.209
29,29,2015-12-21,,CHO,W,102,95,95.9,.577,.394,.573,58.3,54.5,3.1,9.5,.514,17.6,25.7,.408,.422,10.2,81.6,.301
30,30,2015-12-23,@,ORL,L,101,104,89.7,.205,.349,.558,46.2,46.3,5.6,8.8,.536,10.8,22.5,.145,.565,11.8,71.1,.107
31,31,2015-12-25,,SAS,W,88,84,91.3,.351,.203,.515,47.2,71.9,8.8,2.9,.480,16.6,19.5,.230,.438,14.1,70.8,.080
32,32,2015-12-26,@,NOP,L,108,110,90.5,.238,.393,.582,46.7,55.3,8.8,5.9,.542,9.7,23.8,.202,.593,14.8,75.8,.280
