Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,@,TOR,L,99,106,103.6,.360,.267,.497,44.4,71.9,13.5,4.8,.424,11.5,16.3,.302,.494,17.1,78.0,.338
2,2,2015-10-29,,MEM,L,103,112,95.5,.308,.385,.582,47.5,62.2,7.3,6.1,.551,18.4,25.0,.218,.543,12.9,70.0,.280
3,3,2015-10-31,,UTA,L,76,97,93.9,.300,.243,.480,42.0,35.7,8.5,9.6,.429,23.2,17.9,.229,.477,15.1,64.3,.148
4,4,2015-11-03,@,DET,W,94,82,93.3,.136,.261,.504,45.7,55.3,16.1,7.8,.472,13.9,27.9,.125,.413,19.7,61.2,.128
5,5,2015-11-04,,BOS,W,100,98,94.1,.319,.253,.482,52.0,51.4,10.6,1.8,.429,11.9,38.2,.242,.482,17.0,68.1,.217
6,6,2015-11-06,,MIA,W,90,87,90.2,.300,.188,.497,51.8,58.3,4.4,8.2,.481,11.7,21.4,.163,.481,11.3,82.9,.111
7,7,2015-11-08,@,CLE,L,97,101,91.4,.211,.200,.493,49.5,56.4,5.5,6.8,.467,6.6,24.5,.144,.506,9.6,76.1,.205
8,8,2015-11-09,,ORL,W,97,84,97.5,.286,.325,.560,48.8,73.5,12.3,8.9,.513,17.2,14.0,.234,.462,19.7,83.7,.154
9,9,2015-11-11,@,BOS,W,102,91,97.9,.392,.215,.551,53.2,52.6,9.2,11.3,.519,16.3,26.3,.253,.442,16.5,79.5,.299
10,10,2015-11-13,,MIN,W,107,103,93.1,.267,.291,.557,50.6,56.1,9.7,7.9,.535,10.3,27.9,.174,.548,14.5,77.8,.145
11,11,2015-11-16,@,CHI,L,95,96,95.9,.276,.241,.487,51.0,54.3,4.2,7.0,.454,11.0,22.4,.184,.442,7.4,79.6,.233
12,12,2015-11-18,@,PHI,W,112,85,102.5,.217,.293,.556,52.7,66.7,17.6,15.7,.522,15.2,30.8,.174,.493,25.9,82.1,.132
13,13,2015-11-21,,MIL,W,123,86,98.5,.253,.330,.608,49.4,59.6,15.2,8.1,.599,12.2,26.8,.154,.462,20.8,70.5,.165
14,14,2015-11-24,@,WAS,W,123,106,102.3,.288,.325,.682,50.6,56.8,10.8,0.0,.669,18.2,18.9,.200,.536,18.3,77.3,.205
15,15,2015-11-27,,CHI,W,104,92,103.1,.333,.322,.521,52.0,48.6,7.8,6.1,.471,11.5,17.4,.253,.408,13.0,82.7,.185
16,16,2015-11-29,@,LAL,W,107,103,101.6,.446,.325,.539,48.1,50.0,3.9,7.6,.464,13.1,18.8,.361,.439,8.4,73.2,.162
17,17,2015-12-02,@,LAC,W,103,91,96.7,.513,.263,.553,54.0,50.0,7.2,11.5,.467,13.1,23.1,.421,.418,13.5,79.2,.316
18,18,2015-12-03,@,POR,L,111,123,92.4,.273,.341,.563,46.1,47.4,4.3,6.1,.506,10.9,31.3,.250,.624,13.8,63.4,.200
19,19,2015-12-05,@,UTA,L,119,122,94.8,.366,.312,.551,44.9,42.5,9.6,2.9,.495,12.2,25.5,.290,.511,12.2,62.7,.304
20,20,2015-12-08,,GSW,L,123,131,105.9,.260,.330,.552,48.9,52.3,7.6,5.0,.510,12.6,30.8,.210,.632,12.9,73.7,.116
21,21,2015-12-11,,MIA,W,96,83,97.1,.233,.326,.506,50.0,61.1,13.4,9.8,.453,11.2,15.9,.209,.463,18.0,82.6,.099
22,22,2015-12-12,@,DET,L,96,118,99.4,.220,.195,.534,41.8,41.5,7.0,3.3,.518,15.1,12.2,.134,.572,12.5,73.7,.167
23,23,2015-12-14,,TOR,W,106,90,92.7,.186,.256,.570,49.4,34.1,8.6,5.9,.535,13.1,25.0,.163,.430,16.6,69.4,.278
24,24,2015-12-16,,DAL,W,107,81,95.1,.191,.326,.555,50.0,65.1,9.5,7.0,.545,7.7,12.2,.112,.411,10.4,79.2,.078
25,25,2015-12-18,,BRK,W,104,97,94.2,.292,.315,.518,55.3,45.9,4.2,5.7,.455,9.9,29.8,.258,.465,11.4,80.9,.198
26,26,2015-12-19,@,MEM,L,84,96,90.3,.325,.364,.477,49.5,40.0,8.9,3.1,.422,16.2,26.0,.247,.476,8.9,78.0,.205
27,27,2015-12-21,@,SAS,L,92,106,94.9,.167,.211,.476,51.6,55.3,5.3,4.3,.461,12.7,25.5,.100,.551,8.8,83.3,.090
28,28,2015-12-23,,SAC,L,106,108,102.9,.225,.360,.542,43.7,48.8,13.6,6.1,.528,10.1,12.2,.135,.539,14.3,84.2,.135
29,29,2015-12-26,@,MIN,W,102,88,93.5,.175,.325,.592,54.2,62.5,10.7,3.2,.556,19.6,29.4,.163,.493,20.2,76.3,.187
30,30,2015-12-28,,ATL,W,93,87,95.0,.207,.299,.490,47.6,23.7,16.8,6.1,.477,12.9,23.4,.115,.459,19.0,78.4,.257
31,31,2015-12-30,@,CHI,L,100,102,91.0,.247,.227,.465,46.5,48.6,13.9,10.3,.418,10.0,29.1,.196,.465,17.7,68.2,.256
32,32,2015-12-31,,MIL,L,116,120,101.8,.317,.366,.621,50.7,65.9,8.8,9.5,.579,16.9,20.0,.256,.623,14.8,82.4,.312
33,33,2016-01-02,,DET,W,94,82,94.6,.397,.247,.548,49.5,33.3,7.4,12.3,.500,13.2,14.3,.288,.371,8.8,77.4,.140
34,34,2016-01-04,@,MIA,L,100,103,87.8,.266,.298,.476,51.4,48.6,4.1,4.4,.436,8.7,27.5,.191,.406,6.1,73.2,.333
35,35,2016-01-06,@,ORL,W,95,86,92.4,.382,.289,.535,51.9,59.4,11.9,12.5,.461,15.3,23.1,.329,.443,16.4,78.6,.203
36,36,2016-01-08,@,NOP,W,91,86,96.8,.235,.259,.509,59.3,58.3,7.2,13.0,.475,21.2,32.6,.173,.428,14.0,83.3,.181
37,37,2016-01-10,@,HOU,L,103,107,97.1,.111,.344,.546,44.3,76.7,11.2,9.8,.528,16.0,11.4,.089,.517,18.2,77.3,.169
38,38,2016-01-12,,PHO,W,116,97,97.4,.392,.304,.626,47.7,61.0,13.3,7.8,.582,12.3,21.6,.304,.449,15.1,67.3,.191
39,39,2016-01-13,@,BOS,L,94,103,101.0,.220,.330,.471,49.5,48.6,11.9,4.7,.434,14.6,27.1,.165,.494,16.1,71.4,.156
40,40,2016-01-15,,WAS,L,104,118,99.0,.400,.213,.553,39.3,50.0,9.1,4.1,.494,12.1,14.0,.313,.577,12.8,63.0,.051
41,41,2016-01-17,@,DEN,L,126,129,101.3,.366,.244,.662,44.0,56.3,9.9,9.2,.640,13.6,26.5,.256,.560,13.6,58.5,.297
