Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,@,SAC,W,111,104,102.4,.388,.238,.593,46.2,47.6,7.8,12.9,.563,13.8,14.0,.263,.495,13.6,75.0,.117
2,2,2015-10-29,,DAL,W,104,88,99.4,.379,.356,.512,49.1,55.3,6.0,11.9,.483,7.3,16.3,.230,.392,10.4,76.3,.124
3,3,2015-10-31,,SAC,W,114,109,103.5,.605,.224,.592,45.6,64.1,3.9,10.8,.539,15.0,16.7,.421,.455,10.4,64.8,.168
4,4,2015-11-02,,PHO,W,102,96,97.6,.284,.321,.560,45.5,54.1,4.1,7.4,.506,10.8,7.1,.247,.413,7.7,72.9,.153
5,5,2015-11-04,@,GSW,L,108,112,97.5,.250,.250,.553,49.4,55.8,6.2,6.8,.534,10.1,23.3,.159,.518,10.8,77.5,.282
6,6,2015-11-07,,HOU,L,105,109,98.2,.284,.250,.530,46.6,69.0,8.2,8.9,.500,10.8,23.4,.193,.483,12.4,73.2,.302
7,7,2015-11-09,,MEM,W,94,92,93.0,.544,.279,.558,50.0,50.0,5.4,11.6,.449,17.6,21.1,.485,.450,13.1,76.2,.250
8,8,2015-11-11,@,DAL,L,108,118,94.1,.384,.314,.537,48.2,56.8,4.3,3.8,.500,9.0,26.5,.256,.625,12.7,77.8,.303
9,9,2015-11-12,@,PHO,L,104,118,100.7,.311,.289,.508,44.6,42.5,12.9,5.7,.494,12.0,24.5,.167,.614,17.1,73.5,.193
10,10,2015-11-14,,DET,W,101,96,91.1,.329,.241,.558,50.0,62.2,6.6,8.5,.513,12.6,26.2,.253,.493,14.4,73.8,.311
11,11,2015-11-19,,GSW,L,117,124,97.9,.273,.330,.594,44.3,47.7,11.2,4.7,.574,9.2,20.0,.182,.637,17.6,76.5,.425
