Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,MIN,L,111,112,100.1,.389,.378,.527,55.2,51.4,2.0,6.3,.439,11.0,26.7,.356,.488,7.5,85.7,.373
2,2,2015-10-30,@,SAC,L,114,132,109.3,.303,.382,.565,39.8,48.8,6.4,11.4,.522,15.8,16.7,.236,.545,10.9,64.4,.218
3,3,2015-11-01,,DAL,L,93,103,96.8,.329,.400,.478,46.2,58.1,8.3,15.8,.424,11.0,16.3,.247,.523,10.5,81.0,.138
4,4,2015-11-03,,DEN,L,109,120,99.1,.442,.302,.531,44.9,50.0,9.1,6.2,.453,8.9,22.4,.360,.547,12.4,72.5,.318
5,5,2015-11-06,@,BRK,W,104,98,101.1,.513,.295,.544,46.5,42.4,8.9,8.1,.468,13.6,13.5,.397,.446,12.8,71.4,.161
6,6,2015-11-08,@,NYK,L,95,99,95.3,.245,.287,.456,46.9,52.8,7.3,5.3,.431,8.0,22.2,.149,.446,8.5,77.3,.286
7,7,2015-11-10,@,MIA,L,88,101,90.7,.156,.286,.535,43.4,61.8,7.7,10.9,.513,17.1,13.5,.117,.482,9.4,67.4,.238
8,8,2015-11-11,@,ORL,L,99,101,89.5,.228,.278,.569,44.3,64.1,5.6,9.7,.538,13.0,18.4,.177,.465,7.1,61.0,.080
9,9,2015-11-13,@,DAL,L,82,90,99.5,.205,.307,.427,54.3,62.1,10.1,12.7,.381,17.3,26.8,.170,.409,13.7,85.7,.280
10,10,2015-11-15,,DET,W,97,85,97.6,.520,.253,.526,50.0,77.4,5.1,7.2,.453,14.8,17.1,.387,.401,8.9,76.5,.083
11,11,2015-11-16,@,PHO,L,101,120,93.5,.260,.260,.589,42.5,32.4,5.3,3.2,.539,15.7,17.9,.234,.543,8.8,62.5,.204
12,12,2015-11-20,,TOR,L,91,102,87.5,.221,.325,.539,50.0,60.0,9.1,8.9,.506,15.1,23.7,.169,.532,11.9,72.7,.244
13,13,2015-11-22,,POR,L,93,107,93.7,.307,.205,.466,54.3,53.1,2.1,9.7,.398,9.1,29.4,.261,.540,9.6,83.7,.149
14,14,2015-11-24,@,GSW,L,77,111,93.5,.193,.253,.428,48.4,51.6,8.6,3.5,.392,13.5,18.2,.145,.554,7.5,75.5,.098
