Rk,G,Date,Court,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,CLE,L,76,106,79.4,110.8,95.7,.268,.195,.414,42.6,51.7,8.4,5.5,.366,14.9,20.8,.195,.565,17.2,70.7,.131
2,2,2015-10-29,@,IND,W,112,103,117.2,107.8,95.5,.354,.195,.591,52.5,63.4,12.6,10.4,.543,12.9,30.0,.280,.551,18.4,75.0,.218
3,3,2015-10-31,,BRK,W,101,91,113.7,102.5,88.8,.350,.288,.547,49.4,76.5,6.8,3.0,.481,8.9,23.9,.300,.500,12.1,79.5,.152
4,4,2015-11-02,@,GSW,L,69,119,68.2,117.6,101.2,.208,.240,.329,40.4,80.8,7.9,11.9,.286,9.5,16.7,.146,.577,12.6,76.7,.262
5,5,2015-11-03,@,SAC,W,103,89,108.7,93.9,94.7,.301,.241,.548,58.8,57.5,5.3,13.0,.500,14.5,30.8,.241,.439,12.4,82.6,.324
6,6,2015-11-05,@,POR,L,96,115,110.4,132.2,87.0,.273,.260,.557,43.4,54.1,4.6,8.8,.526,8.5,17.5,.195,.592,7.7,67.4,.138
7,7,2015-11-07,@,UTA,L,79,89,84.7,95.5,93.2,.154,.209,.407,47.3,53.3,8.6,2.1,.363,12.6,24.5,.143,.500,20.4,77.5,.203
8,8,2015-11-09,@,LAC,L,92,94,99.0,101.1,93.0,.363,.138,.496,50.0,60.0,11.8,6.1,.450,13.1,23.8,.250,.449,17.6,78.9,.485
9,9,2015-11-11,,GSW,L,84,100,87.4,104.0,96.1,.514,.214,.489,53.2,62.5,14.6,10.4,.364,19.7,25.6,.471,.553,21.3,81.6,.227
10,10,2015-11-13,,POR,W,101,100,112.8,111.7,89.5,.314,.186,.516,44.9,61.1,11.2,0.0,.453,7.6,29.8,.267,.536,21.2,67.7,.377
11,11,2015-11-15,@,MIN,W,114,106,123.7,115.0,92.2,.380,.239,.688,50.7,52.5,7.6,9.1,.627,15.3,14.3,.352,.530,11.6,76.9,.232
12,12,2015-11-16,,OKC,W,122,114,126.3,118.0,96.6,.464,.202,.603,43.6,62.2,11.4,7.0,.512,9.0,27.3,.429,.568,16.7,64.7,.272
13,13,2015-11-20,,HOU,W,96,84,97.2,85.1,98.7,.224,.282,.514,49.0,72.2,16.2,8.9,.471,10.5,16.7,.188,.419,20.3,81.3,.297
14,14,2015-11-21,@,SAS,L,82,92,91.8,103.0,89.3,.230,.122,.503,46.7,59.4,14.6,3.9,.439,16.4,17.5,.230,.521,17.2,80.0,.236
15,15,2015-11-24,,DAL,W,110,96,106.4,92.9,103.4,.430,.244,.538,46.7,54.1,11.6,9.3,.471,8.1,10.2,.337,.461,17.5,90.2,.325
16,16,2015-11-25,@,HOU,W,102,93,107.3,97.8,95.1,.288,.200,.566,52.6,53.8,8.4,8.1,.506,15.9,22.5,.263,.493,18.6,84.2,.324
17,17,2015-11-27,,ATL,L,101,116,107.5,123.5,93.9,.263,.375,.566,48.1,57.1,3.2,2.8,.513,12.7,12.8,.238,.560,9.9,84.2,.427
18,18,2015-11-29,,PHI,W,92,84,91.6,83.6,100.5,.333,.160,.495,54.4,55.9,11.0,17.1,.444,21.9,31.3,.247,.468,22.9,81.0,.156
19,19,2015-12-01,@,NOP,W,113,104,123.6,113.8,91.4,.289,.111,.557,57.0,48.8,3.3,7.4,.489,5.6,31.7,.278,.488,7.7,80.0,.309
20,20,2015-12-03,,SAS,L,83,103,91.4,113.4,90.8,.313,.200,.456,43.5,63.3,6.6,9.7,.388,10.8,19.1,.263,.563,14.6,73.7,.163
21,21,2015-12-06,,PHO,W,95,93,100.8,98.7,94.3,.267,.167,.472,49.5,63.9,8.5,9.8,.428,10.7,29.4,.200,.494,16.7,73.8,.146
22,22,2015-12-08,,OKC,L,88,125,94.8,134.7,92.8,.272,.173,.485,41.8,42.4,6.5,6.9,.426,14.2,23.4,.235,.637,11.3,68.8,.214
23,23,2015-12-09,@,DET,W,93,92,101.2,100.1,91.9,.148,.170,.496,55.2,56.1,4.4,6.9,.489,15.4,34.8,.080,.471,11.4,74.0,.115
24,24,2015-12-11,,CHO,L,99,123,104.7,130.1,94.6,.463,.250,.514,49.4,59.4,8.5,12.2,.444,11.1,24.4,.350,.615,12.5,80.6,.346
25,25,2015-12-13,@,MIA,L,97,100,109.5,112.8,88.6,.182,.247,.583,48.5,57.5,11.3,5.5,.565,13.5,15.2,.130,.526,10.3,80.0,.247
26,26,2015-12-14,,WAS,W,112,95,117.9,100.0,95.0,.192,.192,.662,52.0,59.1,8.4,8.1,.628,16.7,18.8,.179,.483,12.9,76.7,.140
27,27,2015-12-16,@,CHI,L,85,98,88.6,102.2,95.9,.368,.250,.481,47.7,84.4,6.3,8.1,.454,12.8,12.2,.211,.494,12.9,80.0,.151
28,28,2015-12-18,@,DAL,L,88,97,96.1,105.9,91.6,.300,.213,.486,43.8,43.3,12.0,6.1,.413,11.7,20.4,.275,.500,17.9,72.5,.244
