Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,CHO,W,104,94,91.8,.288,.274,.632,48.8,63.9,5.4,11.7,.575,13.6,5.9,.274,.429,7.6,78.0,.262
2,2,2015-10-30,@,CLE,L,92,102,91.0,.286,.273,.531,43.7,63.6,5.5,11.5,.468,13.0,14.6,.260,.488,10.4,69.6,.209
3,3,2015-11-01,,HOU,W,109,89,96.7,.244,.256,.572,58.5,57.1,11.4,11.6,.541,11.2,26.2,.186,.468,16.4,92.5,.190
4,4,2015-11-03,,ATL,L,92,98,96.4,.186,.326,.494,49.0,34.2,10.4,13.0,.471,16.2,27.1,.128,.450,13.1,69.2,.189
5,5,2015-11-05,@,MIN,W,96,84,95.8,.329,.184,.552,48.8,37.8,6.3,8.2,.513,15.5,17.1,.237,.376,14.5,77.8,.235
6,6,2015-11-06,@,IND,L,87,90,90.2,.160,.247,.502,48.2,58.3,5.5,9.2,.481,11.3,17.1,.111,.481,11.7,78.6,.163
7,7,2015-11-08,,TOR,W,96,76,88.0,.301,.241,.511,55.8,51.4,9.1,15.4,.470,9.6,29.5,.217,.415,16.5,83.3,.239
8,8,2015-11-10,,LAL,W,101,88,90.7,.321,.238,.527,56.6,60.5,7.7,12.7,.482,9.4,32.6,.238,.513,17.1,86.5,.117
9,9,2015-11-12,,UTA,W,92,91,94.5,.325,.169,.523,52.8,38.9,6.3,15.3,.494,14.6,20.5,.208,.404,9.1,78.0,.213
10,10,2015-11-17,,MIN,L,91,103,102.6,.380,.304,.493,48.6,55.6,2.9,15.8,.487,19.3,20.4,.177,.392,6.6,73.2,.278
11,11,2015-11-19,,SAC,W,116,109,97.7,.371,.270,.560,49.4,59.5,11.3,11.5,.511,6.3,26.7,.281,.583,16.2,76.3,.131
12,12,2015-11-21,,PHI,W,96,91,94.9,.652,.261,.541,51.1,53.3,7.4,27.5,.471,15.3,21.4,.449,.439,14.7,78.3,.232
13,13,2015-11-23,,NYK,W,95,78,88.2,.444,.235,.490,53.3,58.1,9.1,11.1,.414,8.5,32.0,.346,.345,10.3,72.7,.207
14,14,2015-11-25,@,DET,L,81,104,86.9,.203,.253,.471,44.3,65.6,2.3,10.4,.443,13.1,21.7,.139,.500,6.5,64.7,.061
15,15,2015-11-27,@,NYK,W,97,78,90.7,.368,.224,.549,51.9,48.5,4.4,9.9,.480,12.0,20.0,.316,.394,9.8,82.9,.129
16,16,2015-11-30,,BOS,L,95,105,91.0,.320,.227,.555,48.7,58.3,9.9,10.0,.513,17.4,28.2,.240,.525,14.2,69.2,.263
17,17,2015-12-03,,OKC,W,97,95,92.8,.296,.160,.530,44.3,62.5,10.8,4.8,.512,8.9,14.6,.173,.468,14.3,76.3,.266
18,18,2015-12-05,,CLE,W,99,84,93.3,.426,.235,.613,53.2,56.8,5.4,15.8,.596,15.7,10.7,.265,.400,12.8,77.6,.188
19,19,2015-12-07,,WAS,L,103,114,92.2,.319,.232,.655,47.9,61.0,5.4,8.1,.630,16.9,13.8,.232,.549,9.1,71.4,.141
20,20,2015-12-09,@,CHO,L,81,99,94.1,.320,.280,.473,51.8,58.6,3.2,14.8,.427,16.6,15.9,.227,.562,10.2,92.3,.099
21,21,2015-12-11,@,IND,L,83,96,97.1,.160,.247,.479,50.0,40.0,6.2,13.8,.463,18.0,17.4,.099,.453,11.2,84.1,.209
22,22,2015-12-13,,MEM,W,100,97,88.6,.299,.286,.574,51.5,48.6,10.2,1.7,.526,10.3,20.0,.247,.565,13.5,84.8,.130
23,23,2015-12-14,@,ATL,W,100,88,94.1,.169,.180,.523,59.3,65.0,6.4,9.8,.489,13.6,33.3,.146,.440,13.4,84.8,.167
24,24,2015-12-16,@,BRK,W,104,98,88.7,.320,.280,.608,56.3,40.0,4.5,8.2,.580,12.3,24.2,.227,.494,5.9,78.7,.112
25,25,2015-12-18,,TOR,L,94,108,89.0,.230,.338,.577,47.2,54.3,4.5,10.2,.534,13.8,11.1,.203,.563,7.2,83.3,.225
26,26,2015-12-20,,POR,W,116,109,93.5,.347,.307,.671,41.7,60.5,11.8,15.2,.653,11.3,13.5,.240,.569,17.5,71.4,.225
27,27,2015-12-22,,DET,L,92,93,85.1,.136,.205,.493,48.2,33.3,10.6,14.6,.466,5.1,26.2,.114,.545,16.0,70.7,.103
28,28,2015-12-25,,NOP,W,94,88,93.7,.307,.295,.471,55.9,54.3,9.7,7.1,.432,14.5,22.4,.205,.433,15.2,86.8,.111
29,29,2015-12-26,@,ORL,W,108,101,83.6,.299,.260,.620,52.8,57.9,6.0,6.7,.558,8.4,26.5,.286,.601,9.6,76.3,.076
30,30,2015-12-28,,BRK,L,105,111,92.8,.385,.308,.576,45.7,55.6,9.7,13.6,.526,13.3,24.4,.295,.512,11.7,66.0,.329
31,31,2015-12-29,@,MEM,L,90,99,79.3,.228,.367,.518,45.2,65.7,5.7,8.3,.513,13.9,21.1,.114,.460,7.7,65.2,.218
32,32,2016-01-01,,DAL,W,106,82,88.6,.110,.220,.617,55.6,52.2,4.5,1.8,.610,12.2,22.9,.073,.403,8.7,76.4,.125
33,33,2016-01-03,@,WAS,W,97,75,92.9,.140,.267,.531,54.5,69.2,8.6,18.0,.506,11.6,20.9,.116,.363,9.4,80.4,.099
34,34,2016-01-04,,IND,W,103,100,87.8,.433,.244,.481,48.6,41.2,5.2,9.1,.406,6.1,26.8,.333,.436,8.7,72.5,.191
35,35,2016-01-06,,NYK,L,90,98,84.6,.183,.207,.508,50.7,37.8,2.4,6.5,.463,12.8,29.3,.171,.579,12.4,82.1,.243
36,36,2016-01-08,@,PHO,W,103,95,91.5,.411,.247,.597,47.1,63.9,9.8,8.8,.541,10.4,16.2,.329,.467,12.5,70.0,.098
37,37,2016-01-09,@,UTA,L,83,98,88.9,.207,.232,.464,51.3,41.2,7.9,15.7,.451,16.0,31.9,.110,.613,16.9,82.8,.155
38,38,2016-01-11,@,GSW,L,103,111,97.7,.176,.209,.525,49.0,75.6,2.0,6.3,.489,9.3,18.4,.154,.517,8.3,80.9,.256
39,39,2016-01-13,@,LAC,L,90,104,97.9,.414,.343,.544,53.3,83.9,5.1,10.1,.507,21.7,13.2,.271,.484,6.5,81.5,.138
40,40,2016-01-15,@,DEN,W,98,95,92.8,.235,.148,.548,53.2,65.0,5.4,21.7,.519,12.7,22.5,.173,.449,12.7,84.6,.321
41,41,2016-01-17,@,OKC,L,74,99,89.0,.153,.194,.482,45.0,40.0,6.7,13.6,.444,19.8,18.4,.139,.494,13.0,69.0,.136
42,42,2016-01-19,,MIL,L,79,91,86.7,.351,.297,.462,49.4,48.1,6.9,3.2,.399,14.1,27.3,.270,.520,17.3,78.8,.189
43,43,2016-01-20,@,WAS,L,87,106,86.9,.265,.221,.573,47.7,69.7,3.5,5.7,.537,20.9,23.3,.206,.552,9.8,68.6,.128
44,44,2016-01-22,@,TOR,L,81,101,86.5,.210,.210,.458,50.6,39.4,4.6,4.0,.432,11.9,28.6,.136,.553,12.5,82.4,.240
45,45,2016-01-25,@,CHI,W,89,84,92.5,.210,.173,.503,48.4,56.8,7.6,4.3,.475,11.1,14.0,.148,.426,12.2,76.9,.102
46,46,2016-01-26,@,BRK,W,102,98,93.0,.120,.108,.584,53.6,60.0,10.8,7.5,.560,12.1,14.7,.108,.570,16.5,91.4,.239
47,47,2016-01-29,@,MIL,W,107,103,95.0,.432,.243,.607,45.9,73.0,12.6,13.2,.547,16.2,22.9,.351,.488,17.1,66.7,.313
48,48,2016-01-31,,ATL,W,105,87,97.7,.321,.247,.568,60.3,53.8,10.2,8.3,.512,16.3,25.6,.272,.421,16.8,94.9,.400
49,49,2016-02-02,@,HOU,L,102,115,98.1,.318,.200,.526,60.0,68.4,5.1,6.1,.482,14.9,29.5,.235,.619,10.8,92.7,.131
50,50,2016-02-03,@,DAL,W,93,90,90.8,.261,.170,.474,54.0,48.6,3.3,16.4,.432,6.7,22.4,.193,.437,4.0,84.3,.161
51,51,2016-02-05,@,CHO,W,98,95,97.7,.191,.096,.481,53.9,46.5,7.2,21.8,.457,7.3,17.4,.128,.506,12.0,93.0,.160
52,52,2016-02-07,,LAC,L,93,100,93.1,.349,.205,.486,55.8,42.4,2.1,0.0,.440,12.0,27.1,.241,.512,5.9,85.1,.210
53,53,2016-02-09,,SAS,L,101,119,96.5,.343,.171,.627,41.9,52.5,7.3,6.7,.600,17.4,3.0,.243,.562,9.1,73.2,.213
54,54,2016-02-19,@,ATL,W,115,111,103.4,.318,.227,.573,52.3,61.4,12.6,2.0,.545,12.2,22.7,.216,.563,18.5,81.8,.149
55,55,2016-02-20,,WAS,W,114,94,97.9,.292,.135,.526,59.8,48.9,2.0,11.7,.500,6.1,36.5,.188,.419,5.3,80.0,.111
56,56,2016-02-22,,IND,W,101,93,95.5,.340,.130,.439,59.5,50.0,7.6,10.4,.390,10.9,34.5,.230,.418,10.4,86.8,.174
57,57,2016-02-24,,GSW,L,112,118,100.4,.360,.163,.562,51.7,47.5,8.0,12.9,.500,10.7,24.4,.302,.539,11.4,79.5,.233
58,58,2016-02-27,@,BOS,L,89,101,100.3,.264,.149,.458,52.9,52.8,7.0,15.0,.420,15.6,28.0,.184,.432,9.4,76.9,.188
59,59,2016-02-28,@,NYK,W,98,81,91.3,.250,.095,.526,58.1,62.5,9.9,5.6,.482,13.9,30.8,.202,.402,10.7,77.8,.126
60,60,2016-03-01,,CHI,W,129,111,98.6,.325,.156,.733,56.7,53.8,5.1,16.4,.714,14.6,16.0,.247,.517,8.1,81.0,.200
61,61,2016-03-03,,PHO,W,108,92,95.9,.301,.205,.574,55.8,62.5,5.2,13.3,.536,11.3,17.9,.229,.433,8.7,87.2,.256
62,62,2016-03-04,@,PHI,W,112,102,98.0,.409,.182,.539,55.6,61.5,7.1,7.8,.472,13.4,35.6,.330,.426,7.0,72.2,.221
63,63,2016-03-06,,PHI,W,103,98,91.1,.370,.173,.547,56.0,44.4,7.7,18.5,.494,11.3,31.7,.284,.500,10.4,76.0,.153
64,64,2016-03-09,@,MIL,L,108,114,92.9,.238,.188,.611,53.4,54.8,6.5,11.1,.563,14.5,31.3,.225,.550,11.9,70.7,.325
65,65,2016-03-11,@,CHI,W,118,96,96.9,.220,.198,.591,52.4,63.8,14.4,10.0,.571,7.4,22.0,.154,.519,17.0,82.9,.148
66,66,2016-03-12,@,TOR,L,104,112,92.3,.265,.255,.475,52.8,51.4,8.8,7.6,.423,10.6,31.4,.214,.476,11.4,81.6,.381
67,67,2016-03-14,,DEN,W,124,119,97.8,.354,.215,.679,45.2,51.1,9.2,8.2,.646,13.3,18.2,.278,.565,10.5,67.5,.151
