Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,NYK,L,97,122,95.2,.360,.209,.487,49.0,56.7,7.4,5.7,.401,15.3,37.5,.326,.500,9.2,60.4,.312
2,2,2015-10-30,,WAS,L,113,118,100.1,.341,.293,.599,46.4,78.6,9.0,4.3,.555,14.5,17.1,.268,.603,19.4,76.5,.529
3,3,2015-11-01,@,TOR,L,87,106,88.8,.348,.275,.547,41.8,72.4,6.8,12.3,.457,18.5,20.0,.348,.517,11.6,59.1,.144
4,4,2015-11-02,@,BRK,W,103,96,91.0,.356,.315,.610,50.7,63.2,6.6,11.7,.582,14.2,24.2,.247,.494,16.9,73.7,.228
5,5,2015-11-04,,PHI,W,91,87,91.7,.198,.267,.487,41.4,68.6,6.5,7.5,.453,9.7,17.0,.151,.457,17.0,70.0,.160
6,6,2015-11-06,@,NYK,W,99,92,89.7,.358,.173,.528,48.8,60.0,6.7,8.8,.451,11.3,31.0,.321,.432,13.8,66.7,.272
7,7,2015-11-07,,BRK,W,94,86,91.1,.195,.244,.528,44.1,73.0,9.9,8.2,.500,14.4,22.2,.146,.433,16.6,64.6,.183
8,8,2015-11-10,,BOS,L,83,99,89.4,.315,.233,.499,47.7,46.7,11.2,3.6,.452,17.0,22.5,.233,.483,11.3,69.6,.186
9,9,2015-11-11,@,DEN,L,102,103,87.6,.114,.278,.615,47.8,61.9,9.1,7.3,.595,16.2,26.7,.101,.544,13.5,64.1,.215
10,10,2015-11-14,,CLE,W,108,105,87.4,.216,.157,.484,48.6,46.5,5.7,17.0,.451,9.7,27.3,.157,.484,16.3,72.0,.187
11,11,2015-11-17,@,WAS,L,86,115,93.3,.333,.292,.521,44.7,71.0,5.4,6.3,.500,18.7,14.3,.194,.614,12.0,82.4,.414
12,12,2015-11-19,@,CLE,L,100,115,86.6,.356,.110,.592,33.8,57.9,9.2,4.3,.541,11.5,16.7,.288,.641,16.8,55.2,.338
13,13,2015-11-21,@,IND,L,86,123,98.5,.241,.215,.492,50.6,55.9,9.1,8.2,.462,20.8,29.5,.165,.599,12.2,73.2,.154
14,14,2015-11-23,,DET,W,109,88,90.1,.205,.157,.602,48.4,69.8,13.3,6.3,.572,11.7,31.6,.169,.374,14.3,60.0,.220
15,15,2015-11-25,,SAC,L,118,129,95.7,.307,.352,.591,46.8,71.4,7.3,13.0,.551,9.9,22.2,.239,.636,7.9,79.4,.403
16,16,2015-11-27,@,ORL,L,90,114,98.6,.297,.351,.538,48.1,64.5,8.1,3.6,.473,20.1,15.4,.270,.598,16.4,80.0,.195
17,17,2015-11-29,@,CHO,L,82,87,85.7,.171,.341,.465,51.7,75.8,10.5,5.1,.451,13.7,26.5,.098,.493,14.0,82.5,.257
18,18,2015-11-30,,DEN,W,92,74,90.4,.286,.234,.531,46.9,71.4,11.1,21.4,.494,13.0,19.5,.208,.413,21.1,75.0,.160
19,19,2015-12-02,@,SAS,L,70,95,95.3,.231,.179,.407,44.9,65.4,7.3,8.7,.353,15.7,12.2,.192,.450,10.0,77.6,.156
20,20,2015-12-04,@,DET,L,95,102,97.6,.161,.207,.510,52.6,53.8,6.1,10.2,.471,13.1,19.1,.149,.457,8.3,84.0,.329
21,21,2015-12-05,,NYK,W,106,91,96.4,.270,.045,.532,57.0,56.8,5.2,11.8,.506,11.5,29.5,.180,.461,14.5,85.7,.276
22,22,2015-12-07,,POR,W,90,88,91.7,.452,.178,.514,49.5,73.3,8.7,13.5,.438,15.5,24.4,.356,.435,15.5,70.0,.165
23,23,2015-12-09,,LAC,L,95,109,97.6,.133,.111,.499,44.0,61.9,7.2,1.9,.478,10.4,15.2,.100,.543,12.6,73.3,.259
