Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,@,LAL,W,112,111,100.1,.446,.241,.564,44.8,63.2,3.0,7.1,.488,7.5,14.3,.373,.439,11.0,73.3,.356
2,2,2015-10-30,@,DEN,W,95,78,96.8,.577,.155,.533,49.0,60.0,7.2,8.6,.437,16.0,17.1,.465,.332,11.9,71.2,.158
3,3,2015-11-02,,POR,L,101,106,100.4,.494,.165,.525,47.1,64.7,10.0,6.8,.449,13.5,18.6,.380,.511,14.1,75.0,.169
4,4,2015-11-05,,MIA,L,84,96,95.8,.259,.141,.444,51.2,53.3,7.3,9.7,.376,14.5,22.2,.235,.513,15.5,82.9,.237
5,5,2015-11-07,@,CHI,W,102,93,97.0,.281,.167,.473,53.7,66.7,7.5,11.5,.443,12.2,25.9,.177,.414,14.9,81.5,.172
6,6,2015-11-09,@,ATL,W,117,107,99.6,.275,.188,.652,59.7,58.7,10.0,9.1,.619,17.5,25.8,.225,.587,16.0,88.9,.070
7,7,2015-11-10,,CHO,L,95,104,99.3,.238,.238,.538,58.5,69.4,6.0,7.7,.506,19.9,25.0,.175,.538,15.1,90.5,.256
8,8,2015-11-12,,GSW,L,116,129,98.5,.414,.103,.564,58.8,48.8,4.1,2.0,.511,11.2,35.7,.310,.640,10.3,84.2,.169
9,9,2015-11-13,@,IND,L,103,107,93.1,.157,.241,.580,49.4,38.1,5.4,0.0,.548,14.5,22.2,.145,.535,10.3,72.1,.174
10,10,2015-11-15,,MEM,L,106,114,92.2,.256,.195,.581,49.3,48.8,10.8,3.7,.530,11.6,23.1,.232,.627,15.3,85.7,.352
11,11,2015-11-17,@,MIA,W,103,91,102.6,.361,.216,.458,51.4,38.9,11.7,9.1,.392,6.6,26.8,.278,.487,19.3,79.6,.177
12,12,2015-11-18,@,ORL,L,101,104,92.0,.353,.212,.514,51.4,58.3,3.9,14.6,.447,12.5,24.4,.294,.414,7.0,69.7,.118
13,13,2015-11-20,,DET,L,86,96,97.0,.325,.169,.489,47.1,51.5,7.2,6.8,.448,16.2,14.0,.221,.494,13.1,81.0,.115
14,14,2015-11-23,,PHI,W,100,95,95.5,.346,.154,.556,50.6,55.6,8.4,14.9,.481,15.9,23.1,.321,.474,17.5,75.0,.269
15,15,2015-11-25,,ATL,W,99,95,95.6,.354,.256,.522,45.9,64.7,9.4,7.8,.470,10.4,15.6,.268,.427,12.6,71.7,.305
16,16,2015-11-27,@,SAC,W,101,91,90.3,.247,.325,.592,56.1,54.1,4.4,4.7,.539,16.6,33.3,.234,.477,13.9,73.9,.105
17,17,2015-11-29,@,LAC,L,99,107,94.5,.256,.195,.543,50.0,56.8,7.4,5.7,.500,12.5,17.9,.207,.573,12.7,82.1,.280
18,18,2015-12-01,,ORL,L,93,96,93.0,.494,.247,.496,51.1,48.3,7.5,15.9,.403,12.2,26.7,.403,.471,12.1,75.6,.174
19,19,2015-12-05,,POR,L,103,109,94.2,.313,.181,.545,52.9,63.2,3.2,7.0,.488,12.9,28.9,.265,.571,13.4,80.0,.273
20,20,2015-12-07,,LAC,L,106,110,100.7,.427,.220,.544,51.7,50.0,9.9,4.9,.482,15.6,26.8,.329,.488,14.7,72.9,.302
21,21,2015-12-09,,LAL,W,123,122,93.4,.333,.204,.577,54.0,65.2,3.9,5.7,.532,11.6,31.1,.258,.565,7.9,78.6,.183
22,22,2015-12-11,@,DEN,L,108,111,91.4,.333,.218,.541,46.2,57.9,5.0,13.8,.477,9.1,16.0,.287,.506,10.7,81.4,.279
23,23,2015-12-13,@,PHO,L,101,108,97.6,.466,.260,.574,50.0,66.7,7.2,7.0,.507,21.4,25.7,.370,.506,12.5,70.7,.230
24,24,2015-12-15,,DEN,L,100,112,87.0,.403,.130,.552,44.3,58.3,6.9,10.9,.494,9.0,25.6,.312,.630,14.2,67.7,.274
25,25,2015-12-16,@,NYK,L,102,107,95.1,.139,.208,.476,50.0,50.0,12.6,3.1,.436,6.1,30.8,.139,.482,12.5,70.8,.294
26,26,2015-12-18,,SAC,W,99,95,90.1,.195,.220,.556,61.3,64.1,2.2,10.3,.512,16.8,37.8,.183,.512,11.9,81.4,.148
27,27,2015-12-20,@,BRK,W,100,85,94.1,.300,.150,.552,54.1,76.3,12.8,8.8,.494,12.6,17.5,.263,.442,13.9,86.7,.205
28,28,2015-12-21,@,BOS,L,99,113,97.9,.405,.165,.532,41.9,55.6,9.2,9.4,.468,11.4,13.6,.316,.584,14.3,71.4,.101
29,29,2015-12-23,,SAS,L,83,108,86.7,.347,.139,.500,39.7,63.3,5.8,3.4,.438,13.5,19.5,.278,.598,14.5,62.2,.122
30,30,2015-12-26,,IND,L,88,102,93.5,.240,.160,.531,45.8,62.9,15.0,3.7,.493,20.2,23.7,.187,.556,19.6,70.6,.163
31,31,2015-12-28,@,SAS,L,95,101,96.1,.293,.134,.513,47.1,64.1,12.5,7.3,.494,13.9,16.2,.171,.549,15.9,83.9,.306
32,32,2015-12-30,,UTA,W,94,80,87.1,.351,.130,.529,51.6,75.0,14.9,7.3,.500,10.1,31.0,.221,.413,17.6,69.4,.175
33,33,2015-12-31,@,DET,L,90,115,100.5,.221,.163,.477,40.9,62.9,9.0,5.9,.436,13.7,13.0,.174,.558,14.0,71.4,.221
34,34,2016-01-02,,MIL,L,85,95,90.1,.286,.167,.449,49.5,57.6,11.1,10.2,.411,14.5,30.2,.190,.480,13.0,73.8,.307
35,35,2016-01-04,@,PHI,L,99,109,92.5,.329,.068,.592,42.2,66.7,11.9,6.0,.548,16.1,19.4,.260,.575,14.7,63.6,.103
36,36,2016-01-06,,DEN,L,74,78,81.7,.274,.151,.452,46.5,82.1,6.1,8.2,.404,9.9,19.5,.205,.407,11.1,71.1,.148
37,37,2016-01-08,,CLE,L,99,125,92.8,.329,.203,.547,43.4,66.7,8.6,3.7,.500,11.7,17.5,.253,.611,10.5,72.2,.321
38,38,2016-01-10,,DAL,L,87,93,87.8,.278,.203,.491,49.4,69.7,9.1,3.5,.443,15.3,28.2,.215,.506,13.1,71.1,.195
39,39,2016-01-12,,OKC,L,96,101,97.1,.284,.222,.527,52.3,61.1,7.2,9.7,.488,16.5,25.0,.210,.518,14.8,81.0,.167
40,40,2016-01-13,@,HOU,L,104,107,96.7,.385,.218,.570,52.4,69.4,11.4,2.2,.513,18.0,31.1,.308,.540,14.9,78.4,.347
41,41,2016-01-15,@,OKC,L,93,113,88.5,.271,.141,.489,52.9,44.1,3.4,3.0,.429,11.2,36.4,.235,.556,5.7,70.7,.157
42,42,2016-01-17,,PHO,W,117,87,93.3,.580,.261,.676,57.7,59.0,11.8,10.6,.616,14.8,27.6,.464,.451,14.0,78.6,.173
43,43,2016-01-19,@,NOP,L,99,114,92.6,.408,.184,.552,49.4,50.0,10.8,11.7,.493,15.1,30.0,.316,.566,13.9,69.2,.241
44,44,2016-01-20,@,DAL,L,94,106,93.8,.121,.253,.490,53.1,65.0,3.9,12.5,.467,15.1,21.3,.099,.459,9.3,82.4,.175
45,45,2016-01-23,,MEM,W,106,101,88.9,.529,.250,.632,52.8,76.5,7.9,8.3,.537,15.2,25.0,.485,.525,12.8,75.0,.228
46,46,2016-01-25,@,CLE,L,107,114,96.2,.274,.190,.568,46.9,68.3,10.4,3.4,.512,9.6,20.5,.250,.567,13.3,71.4,.146
47,47,2016-01-27,,OKC,L,123,126,95.4,.311,.156,.601,42.7,62.0,6.3,5.6,.583,7.3,27.3,.200,.582,10.7,60.5,.220
48,48,2016-01-29,@,UTA,L,90,103,85.4,.347,.133,.521,48.7,48.6,10.5,3.9,.480,13.9,30.2,.240,.592,13.5,71.4,.171
49,49,2016-01-31,@,POR,L,93,96,91.4,.350,.200,.504,57.0,57.1,10.9,8.2,.463,14.8,34.1,.238,.461,12.7,81.0,.342
50,50,2016-02-02,@,LAL,L,115,119,94.8,.313,.213,.632,51.6,78.3,6.3,7.4,.600,14.2,25.0,.238,.575,8.6,78.1,.338
51,51,2016-02-03,@,LAC,W,108,102,90.3,.338,.221,.611,54.5,61.5,6.6,7.0,.558,14.5,29.4,.286,.513,12.6,74.4,.333
52,52,2016-02-06,,CHI,W,112,105,90.0,.253,.138,.579,59.2,53.3,7.8,6.2,.523,8.5,38.9,.241,.518,10.5,77.5,.200
53,53,2016-02-08,,NOP,L,102,116,96.8,.432,.148,.529,54.9,66.7,0.0,12.3,.457,11.1,25.6,.346,.536,3.6,81.3,.124
54,54,2016-02-10,,TOR,W,117,112,91.8,.697,.184,.589,52.9,62.9,5.4,10.9,.487,6.6,29.3,.566,.512,5.7,75.0,.279
55,55,2016-02-19,@,MEM,L,104,109,95.2,.413,.347,.587,50.0,80.6,7.3,9.8,.487,18.4,26.2,.413,.530,12.9,73.8,.268
56,56,2016-02-20,,NYK,L,95,103,92.5,.298,.143,.500,37.8,66.7,9.7,9.1,.458,6.9,14.9,.214,.536,15.1,68.6,.169
57,57,2016-02-22,,BOS,W,124,122,103.9,.482,.181,.616,57.3,55.8,4.8,8.2,.566,14.5,34.9,.361,.535,9.2,78.3,.139
58,58,2016-02-24,@,TOR,L,105,114,90.9,.446,.135,.593,48.0,67.6,8.8,6.8,.541,14.5,29.7,.338,.541,11.1,65.8,.259
59,59,2016-02-27,@,NOP,W,112,110,100.6,.357,.179,.576,51.2,66.7,8.9,8.8,.530,10.2,16.7,.274,.524,13.6,84.1,.262
60,60,2016-02-28,@,DAL,L,101,128,96.0,.411,.256,.475,55.2,55.9,5.2,5.7,.417,12.4,39.7,.289,.601,7.5,78.9,.236
61,61,2016-03-02,,WAS,L,98,104,99.0,.453,.187,.545,55.6,53.1,8.1,3.6,.460,17.4,22.5,.387,.565,15.9,87.8,.107
62,62,2016-03-04,@,MIL,L,101,116,99.7,.161,.253,.542,53.8,59.5,9.0,8.5,.523,21.2,34.9,.115,.602,16.4,75.7,.193
63,63,2016-03-05,,BRK,W,132,118,95.0,.289,.237,.770,44.8,69.2,8.4,12.1,.750,12.3,16.7,.237,.538,12.7,60.5,.207
64,64,2016-03-07,@,CHO,L,103,108,101.0,.300,.188,.569,50.6,56.4,9.9,10.0,.513,14.2,12.2,.263,.522,11.8,86.4,.156
65,65,2016-03-08,,SAS,L,91,116,93.0,.241,.190,.521,43.2,50.0,5.4,3.0,.481,14.7,15.9,.190,.576,8.8,75.7,.212
66,66,2016-03-11,@,OKC,W,99,96,99.9,.244,.244,.520,40.7,59.5,12.0,12.3,.471,11.2,13.6,.209,.464,20.2,66.0,.214
67,67,2016-03-14,@,PHO,L,104,107,104.2,.357,.190,.535,38.7,67.6,12.5,6.7,.464,14.1,13.6,.310,.479,18.1,61.2,.168
68,68,2016-03-16,@,MEM,W,114,108,88.4,.437,.296,.673,39.3,77.5,5.7,10.0,.634,13.3,22.6,.338,.460,8.4,49.1,.160
69,69,2016-03-18,@,HOU,L,111,116,94.0,.282,.188,.581,45.5,69.8,14.9,7.1,.541,11.2,27.5,.224,.629,15.7,64.9,.106
70,70,2016-03-21,,GSW,L,104,109,97.1,.366,.232,.546,45.7,72.2,8.2,7.9,.482,13.6,24.4,.305,.540,14.1,67.5,.172
71,71,2016-03-23,,SAC,W,113,104,101.0,.400,.163,.601,51.8,64.4,7.9,8.5,.594,15.3,25.7,.225,.505,14.4,70.8,.132
72,72,2016-03-25,@,WAS,W,132,129,90.0,.229,.271,.625,48.3,64.7,8.3,2.8,.573,11.7,20.0,.229,.565,11.3,72.3,.160
73,73,2016-03-26,,UTA,L,84,93,90.1,.226,.131,.455,47.7,56.3,10.0,6.5,.405,9.8,19.1,.190,.524,12.2,82.1,.072
74,74,2016-03-28,,PHO,W,121,116,104.4,.494,.321,.614,53.2,53.7,9.6,5.9,.549,15.4,27.5,.395,.577,18.2,81.1,.226
75,75,2016-03-30,,LAC,L,79,99,91.3,.195,.264,.418,56.4,66.7,2.2,1.9,.391,14.5,29.2,.126,.494,7.1,84.8,.190
76,76,2016-04-01,@,UTA,L,85,98,85.8,.127,.291,.510,44.2,71.4,12.8,2.0,.500,15.2,23.8,.076,.583,15.4,68.6,.194
77,77,2016-04-03,,DAL,L,78,88,85.0,.254,.296,.494,48.2,69.0,9.4,9.3,.437,16.9,17.1,.225,.470,10.0,70.0,.120
78,78,2016-04-05,@,GSW,W,124,117,101.6,.419,.198,.609,46.5,68.2,12.5,9.5,.558,14.3,14.0,.326,.561,18.5,79.1,.071
79,79,2016-04-07,@,SAC,W,105,97,93.3,.388,.263,.561,47.8,69.4,11.8,5.9,.519,13.8,30.2,.275,.459,16.8,63.8,.224
80,80,2016-04-09,@,POR,W,106,105,90.6,.298,.155,.558,49.3,58.5,8.8,12.5,.518,10.4,31.6,.226,.556,16.2,68.6,.200
81,81,2016-04-11,,HOU,L,105,129,101.7,.398,.253,.538,48.2,65.8,11.8,5.4,.488,11.8,22.2,.289,.645,14.9,78.9,.209
82,82,2016-04-13,,NOP,W,144,109,103.8,.267,.326,.749,56.6,73.2,13.5,12.9,.727,11.9,17.9,.221,.495,13.6,79.2,.196
