Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,@,MIL,W,122,97,95.2,.376,.247,.563,51.0,57.1,11.6,10.3,.500,9.2,39.6,.312,.401,15.3,62.5,.326
2,2,2015-10-29,,ATL,L,101,112,101.7,.226,.312,.494,55.2,55.3,9.8,6.8,.441,17.0,33.3,.204,.566,13.7,82.1,.217
3,3,2015-10-31,@,WAS,W,117,110,105.9,.372,.221,.585,48.2,51.2,7.6,7.4,.529,15.2,22.0,.302,.456,14.0,73.8,.311
4,4,2015-11-02,,SAS,L,84,94,89.2,.236,.146,.428,52.1,53.1,9.0,4.5,.382,9.2,31.5,.180,.519,13.1,80.0,.152
5,5,2015-11-04,@,CLE,L,86,96,93.3,.179,.286,.475,45.5,48.5,6.4,12.5,.440,11.7,18.8,.143,.440,10.2,77.5,.277
6,6,2015-11-06,,MIL,L,92,99,89.7,.346,.296,.493,51.2,60.6,3.3,7.5,.432,13.8,33.3,.272,.451,11.3,69.0,.321
7,7,2015-11-08,,LAL,W,99,95,95.3,.345,.321,.512,53.1,66.7,5.2,7.5,.446,8.5,22.7,.286,.431,8.0,77.8,.149
8,8,2015-11-10,@,TOR,W,111,109,95.4,.189,.242,.539,47.3,52.4,8.4,10.4,.500,8.0,27.1,.168,.464,9.8,68.9,.369
9,9,2015-11-11,@,CHO,L,93,95,91.7,.081,.244,.522,61.2,47.6,5.5,8.2,.512,15.2,29.7,.058,.464,4.9,85.4,.202
10,10,2015-11-13,,CLE,L,84,90,90.2,.266,.342,.476,48.4,55.2,7.8,8.0,.424,13.7,21.3,.215,.462,11.6,75.0,.231
11,11,2015-11-15,,NOP,W,95,87,91.8,.216,.205,.493,53.2,47.4,8.7,8.0,.455,8.5,23.8,.170,.493,18.5,88.6,.239
12,12,2015-11-17,,CHO,W,102,94,92.2,.236,.225,.519,51.7,61.1,4.3,9.7,.461,9.2,22.7,.225,.470,7.0,81.4,.207
13,13,2015-11-20,@,OKC,W,93,90,92.0,.319,.278,.566,42.4,69.7,10.9,7.9,.542,19.6,17.6,.208,.397,12.1,58.8,.185
14,14,2015-11-21,@,HOU,W,107,102,84.6,.425,.313,.563,51.7,58.8,4.7,15.1,.500,10.4,42.2,.338,.506,11.4,61.9,.247
15,15,2015-11-23,@,MIA,L,78,95,88.2,.241,.276,.405,46.7,42.9,7.9,6.5,.345,10.3,27.3,.207,.414,8.5,68.0,.346
16,16,2015-11-25,@,ORL,L,91,100,89.1,.301,.325,.484,49.5,51.6,2.2,14.3,.428,10.5,26.7,.241,.424,6.5,70.0,.314
17,17,2015-11-27,,MIA,L,78,97,90.7,.176,.165,.426,48.1,50.0,7.7,8.5,.394,9.8,17.1,.129,.480,12.0,80.0,.316
18,18,2015-11-29,,HOU,L,111,116,90.3,.218,.231,.649,52.4,48.9,5.0,10.0,.615,19.7,18.5,.192,.489,6.7,69.1,.242
19,19,2015-12-02,,PHI,W,99,87,102.1,.250,.216,.507,54.3,50.0,4.9,16.1,.455,14.8,18.6,.216,.424,11.9,85.7,.163
20,20,2015-12-04,,BRK,W,108,91,97.2,.241,.310,.561,47.3,64.1,8.2,7.5,.517,11.9,18.2,.207,.445,11.8,73.5,.110
21,21,2015-12-05,@,MIL,L,91,106,96.4,.368,.329,.515,43.0,68.8,4.1,4.7,.461,14.5,14.3,.276,.506,11.5,70.5,.180
22,22,2015-12-07,,DAL,L,97,104,93.9,.107,.298,.551,46.3,62.5,4.3,7.8,.530,12.9,7.7,.095,.530,9.0,82.9,.207
23,23,2015-12-09,@,UTA,L,85,106,92.2,.346,.269,.473,41.4,64.5,10.8,5.1,.449,10.0,14.3,.192,.544,13.4,76.3,.238
24,24,2015-12-10,@,SAC,L,97,99,99.1,.337,.349,.509,55.1,51.5,9.1,7.8,.452,15.9,27.7,.265,.468,10.7,80.4,.129
25,25,2015-12-12,@,POR,W,112,110,89.4,.373,.280,.641,46.6,43.6,3.4,4.4,.580,11.2,21.9,.333,.494,6.4,65.9,.247
