Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,SAS,W,112,106,101.6,.256,.221,.585,55.6,50.0,6.9,5.1,.529,16.6,27.5,.244,.511,11.6,82.9,.118
2,2,2015-10-30,@,ORL,W,139,136,99.8,.345,.245,.548,55.9,38.0,6.6,12.3,.491,13.6,38.6,.282,.500,11.5,74.1,.283
3,3,2015-11-01,,DEN,W,117,93,95.6,.209,.291,.623,58.8,71.1,9.4,15.2,.599,16.8,38.2,.163,.429,11.5,72.5,.152
4,4,2015-11-02,@,HOU,L,105,110,102.9,.262,.274,.560,61.8,42.5,6.8,15.0,.536,20.4,34.1,.179,.511,10.5,85.4,.213
5,5,2015-11-04,,TOR,L,98,103,94.8,.171,.280,.556,47.7,66.7,8.4,15.4,.524,17.7,25.0,.146,.449,12.7,71.4,.405
6,6,2015-11-05,@,CHI,L,98,104,91.4,.238,.155,.528,48.4,55.3,2.2,11.1,.482,8.8,20.0,.202,.483,5.7,76.1,.189
7,7,2015-11-08,,PHO,W,124,103,105.6,.319,.213,.578,61.2,53.1,13.3,11.8,.543,12.3,39.5,.234,.494,19.4,83.3,.238
8,8,2015-11-10,@,WAS,W,125,101,99.9,.337,.267,.633,56.4,61.4,4.0,2.7,.599,10.8,25.6,.256,.418,6.9,78.2,.206
9,9,2015-11-13,,PHI,W,102,85,98.7,.216,.258,.480,56.1,51.3,9.1,18.8,.443,10.9,34.0,.165,.378,14.7,76.5,.233
10,10,2015-11-15,,BOS,L,85,100,93.8,.377,.325,.473,42.0,64.3,10.7,10.2,.403,16.7,22.2,.299,.530,16.5,66.7,.159
11,11,2015-11-16,@,MEM,L,114,122,96.6,.383,.296,.602,56.4,53.7,7.2,9.0,.568,16.7,35.3,.272,.512,9.0,72.7,.429
