Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,WAS,L,87,88,96.1,.120,.260,.413,53.3,54.1,9.4,10.7,.395,11.7,33.3,.080,.435,15.2,72.2,.179
2,2,2015-10-30,,OKC,L,136,139,99.8,.358,.311,.554,44.1,53.2,8.3,12.0,.500,11.5,25.9,.283,.491,13.6,61.4,.282
3,3,2015-11-01,@,CHI,L,87,92,95.9,.189,.256,.446,47.8,60.0,7.3,18.6,.428,14.1,25.0,.111,.420,11.9,73.8,.218
4,4,2015-11-03,@,NOP,W,103,94,102.2,.133,.200,.541,54.5,57.1,4.9,5.6,.506,15.9,21.7,.133,.422,12.2,81.8,.200
5,5,2015-11-04,@,HOU,L,114,119,92.9,.209,.220,.574,44.2,60.9,11.7,11.1,.544,12.4,22.0,.165,.540,15.6,64.4,.273
6,6,2015-11-06,,TOR,W,92,87,89.0,.286,.325,.531,47.6,66.7,4.5,6.3,.487,12.2,17.1,.221,.378,8.4,69.4,.256
7,7,2015-11-07,@,PHI,W,105,97,94.1,.289,.157,.561,51.9,61.5,10.6,14.9,.506,12.2,26.3,.253,.519,14.9,75.6,.175
8,8,2015-11-09,@,IND,L,84,97,97.5,.218,.423,.491,51.2,51.6,9.2,5.8,.462,19.7,16.3,.154,.513,17.2,86.0,.234
9,9,2015-11-11,,LAL,W,101,99,89.5,.120,.280,.480,55.7,55.0,7.8,7.0,.465,7.1,39.0,.080,.538,13.0,81.6,.177
10,10,2015-11-13,,UTA,W,102,93,97.5,.408,.355,.569,52.3,62.5,11.3,17.7,.487,18.2,25.6,.368,.437,14.9,74.5,.195
11,11,2015-11-14,@,WAS,L,99,108,99.6,.276,.207,.507,47.9,50.0,7.0,3.7,.460,11.0,12.5,.218,.542,10.4,84.8,.217
12,12,2015-11-18,,MIN,W,104,101,92.0,.191,.191,.436,48.6,48.8,9.8,6.0,.414,7.0,30.3,.118,.447,12.5,75.6,.294
13,13,2015-11-21,,SAC,L,91,97,95.5,.087,.337,.476,51.5,71.1,8.4,11.5,.462,15.1,28.8,.065,.426,12.9,77.8,.346
