Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,@,BOS,L,95,112,99.5,.277,.265,.510,52.9,35.3,11.1,9.8,.452,19.1,31.1,.241,.506,14.9,76.2,.306
2,2,2015-10-30,,UTA,L,71,99,88.1,.587,.238,.448,43.3,78.9,4.5,6.7,.349,18.5,17.4,.429,.449,6.6,70.5,.227
3,3,2015-11-02,,CLE,L,100,107,96.9,.271,.282,.526,46.3,57.9,7.2,8.5,.488,12.0,20.0,.200,.568,15.1,80.0,.185
4,4,2015-11-04,@,MIL,L,87,91,91.7,.185,.346,.497,58.6,67.6,4.4,14.3,.457,17.0,30.0,.160,.453,9.7,83.0,.151
5,5,2015-11-06,@,CLE,L,102,108,95.9,.190,.291,.596,45.8,56.1,9.4,6.5,.582,15.7,17.1,.127,.568,15.4,73.8,.091
6,6,2015-11-07,,ORL,L,97,105,94.1,.325,.413,.530,48.1,66.7,6.4,14.3,.519,14.9,24.4,.175,.506,12.2,73.7,.253
7,7,2015-11-09,,CHI,L,88,111,104.4,.230,.250,.400,47.3,54.3,5.7,12.7,.375,10.6,25.0,.130,.479,11.7,74.0,.198
8,8,2015-11-11,,TOR,L,103,119,91.8,.195,.333,.545,39.8,70.0,2.2,9.9,.529,10.4,22.0,.126,.511,7.2,60.5,.315
9,9,2015-11-13,@,OKC,L,85,102,98.7,.326,.198,.432,43.9,53.3,11.1,9.7,.378,14.7,23.5,.233,.443,10.9,66.0,.165
10,10,2015-11-14,@,SAS,L,83,92,94.3,.134,.268,.478,43.2,45.5,7.4,4.3,.451,14.7,12.5,.110,.418,11.9,74.5,.247
11,11,2015-11-16,,DAL,L,86,92,101.3,.263,.289,.507,54.1,47.1,8.9,7.7,.480,24.2,19.5,.171,.441,17.6,86.4,.329
12,12,2015-11-18,,IND,L,85,112,102.5,.211,.329,.512,47.3,40.0,8.8,12.3,.493,25.9,17.9,.132,.522,15.2,69.2,.174
13,13,2015-11-20,@,CHO,L,88,113,94.9,.278,.329,.496,50.6,65.6,5.3,10.7,.456,16.1,20.0,.203,.568,10.8,86.8,.259
14,14,2015-11-21,@,MIA,L,91,96,94.9,.293,.378,.492,48.9,51.6,7.4,15.7,.439,14.7,21.7,.232,.471,15.3,78.6,.449
15,15,2015-11-23,@,MIN,L,95,100,95.5,.346,.397,.528,49.4,46.9,10.5,9.1,.474,17.5,25.0,.269,.481,15.9,76.9,.321
16,16,2015-11-25,@,BOS,L,80,84,100.2,.181,.325,.446,48.1,38.7,11.0,22.6,.416,16.7,14.0,.133,.390,13.9,79.6,.143
17,17,2015-11-27,@,HOU,L,114,116,98.3,.313,.422,.604,40.2,60.0,18.3,9.4,.578,11.3,17.0,.217,.596,19.8,71.4,.397
18,18,2015-11-29,@,MEM,L,84,92,100.5,.208,.468,.500,45.6,76.7,17.9,13.2,.468,22.9,19.0,.156,.444,21.9,68.8,.247
19,19,2015-12-01,,LAL,W,103,91,94.0,.291,.405,.578,50.5,75.7,6.4,14.5,.557,14.4,22.7,.190,.416,9.9,75.5,.191
20,20,2015-12-02,@,NYK,L,87,99,102.1,.279,.349,.450,45.7,34.4,7.8,10.1,.424,11.9,14.3,.163,.455,14.8,81.4,.216
21,21,2015-12-05,,DEN,L,105,108,98.8,.351,.419,.614,46.0,59.5,11.1,16.0,.601,19.0,17.1,.216,.525,14.8,71.7,.284
22,22,2015-12-07,,SAS,L,68,119,87.9,.280,.320,.404,39.7,53.8,3.4,1.5,.373,13.4,13.0,.160,.645,7.4,78.1,.276
23,23,2015-12-10,@,BRK,L,91,100,91.7,.253,.356,.471,46.9,50.0,15.3,10.0,.414,9.4,27.7,.218,.541,18.1,73.5,.270
24,24,2015-12-11,,DET,L,95,107,95.6,.300,.225,.525,47.8,61.1,5.2,7.6,.488,18.8,29.5,.213,.516,12.3,64.6,.118
25,25,2015-12-13,@,TOR,L,76,96,91.9,.167,.333,.421,55.9,64.3,1.1,16.1,.393,19.6,31.3,.119,.455,7.9,82.2,.321
26,26,2015-12-14,@,CHI,L,96,115,97.2,.141,.337,.491,40.4,50.0,6.2,12.7,.473,10.1,17.3,.098,.553,11.9,73.0,.247
27,27,2015-12-16,@,ATL,L,106,127,97.4,.320,.347,.619,56.1,51.3,5.1,3.5,.600,20.5,23.3,.213,.679,11.9,92.6,.269
28,28,2015-12-18,,NYK,L,97,107,98.1,.390,.312,.538,42.4,40.5,7.1,7.6,.519,14.3,10.3,.221,.506,13.4,69.6,.247
29,29,2015-12-20,@,CLE,L,86,108,96.9,.349,.279,.433,55.1,50.0,6.2,3.3,.378,16.1,32.0,.244,.535,9.6,84.6,.200
30,30,2015-12-22,,MEM,L,90,104,95.4,.485,.348,.562,53.8,61.3,6.3,4.3,.523,24.5,27.0,.318,.500,11.2,78.0,.224
31,31,2015-12-23,@,MIL,L,100,113,99.4,.358,.247,.533,54.7,64.9,12.1,9.6,.500,19.0,31.0,.235,.629,15.3,84.8,.071
32,32,2015-12-26,@,PHO,W,111,104,101.8,.342,.342,.611,53.9,52.6,8.8,13.1,.557,18.8,21.6,.291,.443,12.0,76.9,.295
33,33,2015-12-28,@,UTA,L,91,95,97.6,.221,.244,.482,41.1,55.6,8.2,15.5,.448,16.0,17.4,.163,.375,13.1,65.9,.381
34,34,2015-12-30,@,SAC,W,110,105,104.9,.362,.330,.505,53.5,57.5,9.5,18.4,.473,10.7,29.1,.223,.541,19.3,84.1,.338
35,35,2016-01-01,@,LAL,L,84,93,94.4,.298,.286,.442,50.0,67.7,6.4,14.1,.393,14.4,26.0,.214,.408,9.1,74.0,.253
36,36,2016-01-02,@,LAC,L,99,130,98.4,.191,.258,.513,41.3,73.2,8.1,6.9,.511,11.1,18.0,.090,.679,13.2,80.0,.247
37,37,2016-01-04,,MIN,W,109,99,92.5,.161,.230,.585,57.8,64.6,11.9,14.7,.575,14.7,36.4,.103,.548,16.1,80.6,.260
38,38,2016-01-07,,ATL,L,98,126,102.0,.291,.209,.505,47.3,53.8,8.8,6.7,.483,18.5,29.2,.174,.603,13.8,67.4,.163
39,39,2016-01-09,,TOR,L,95,108,90.4,.175,.213,.551,48.6,66.7,10.0,8.6,.556,13.1,22.5,.075,.580,13.0,81.3,.280
40,40,2016-01-10,,CLE,L,85,95,95.8,.247,.234,.498,48.5,62.9,6.3,12.1,.494,18.2,15.6,.117,.439,9.1,75.9,.178
41,41,2016-01-14,,CHI,L,111,115,91.6,.215,.290,.545,39.1,54.8,12.9,7.0,.516,10.5,23.4,.161,.506,18.5,57.5,.295
42,42,2016-01-16,,POR,W,114,89,98.6,.395,.303,.639,54.2,64.3,9.1,13.8,.618,12.7,9.4,.263,.420,11.8,82.4,.184
43,43,2016-01-18,@,NYK,L,113,119,94.7,.245,.275,.500,49.0,60.0,7.9,9.1,.490,10.3,14.0,.127,.485,11.3,81.5,.258
44,44,2016-01-20,@,ORL,W,96,87,93.2,.284,.257,.577,46.6,55.6,8.6,11.9,.547,14.4,10.5,.203,.417,12.8,74.0,.202
45,45,2016-01-24,,BOS,L,92,112,103.8,.225,.292,.470,48.0,48.6,11.6,8.3,.438,19.0,26.5,.157,.500,13.2,69.4,.155
46,46,2016-01-26,,PHO,W,113,103,99.1,.444,.346,.583,47.7,64.1,9.1,9.4,.549,10.2,18.6,.296,.506,15.1,76.7,.229
47,47,2016-01-27,@,DET,L,97,110,93.5,.207,.232,.542,42.7,61.5,6.4,10.0,.518,15.2,23.1,.146,.456,8.5,58.0,.297
48,48,2016-01-30,,GSW,L,105,108,103.6,.228,.315,.519,41.2,54.8,17.4,6.2,.511,9.0,15.1,.120,.563,19.3,72.7,.011
49,49,2016-02-03,,ATL,L,86,124,106.9,.167,.321,.477,42.2,77.1,6.5,13.9,.452,20.3,12.8,.119,.576,14.9,74.4,.196
50,50,2016-02-05,@,WAS,L,94,106,97.9,.161,.299,.505,45.2,62.2,7.2,12.9,.477,13.9,14.0,.126,.560,12.3,78.0,.143
51,51,2016-02-06,,BRK,W,103,98,91.9,.272,.358,.568,53.8,44.7,13.1,13.1,.531,13.4,32.5,.210,.493,17.9,76.3,.303
52,52,2016-02-08,,LAC,L,92,98,94.5,.233,.278,.464,50.9,58.8,6.7,6.8,.411,16.8,22.4,.200,.395,9.9,75.4,.242
53,53,2016-02-10,,SAC,L,110,114,95.7,.187,.385,.558,50.0,69.0,9.4,14.1,.544,16.2,38.3,.121,.529,11.5,63.4,.253
54,54,2016-02-19,@,NOP,L,114,121,101.6,.342,.355,.652,43.2,50.0,10.8,6.3,.605,17.9,8.8,.289,.549,14.0,72.5,.395
55,55,2016-02-21,@,DAL,L,103,129,94.0,.351,.364,.579,42.2,51.4,8.5,7.8,.558,14.4,19.0,.221,.559,9.0,65.9,.400
56,56,2016-02-23,,ORL,L,115,124,101.6,.329,.266,.636,45.6,53.5,6.9,5.6,.608,19.6,16.7,.241,.524,9.6,69.8,.412
57,57,2016-02-24,@,DET,L,91,111,98.8,.313,.277,.482,44.4,54.5,8.1,7.3,.440,12.9,20.0,.217,.536,14.0,75.0,.265
58,58,2016-02-26,,WAS,L,94,103,93.1,.256,.305,.515,42.7,60.0,10.7,7.0,.476,10.8,15.6,.195,.463,9.8,66.7,.170
59,59,2016-02-28,@,ORL,L,116,130,103.3,.481,.286,.622,50.7,48.8,5.8,10.0,.565,15.4,10.0,.377,.628,11.0,83.8,.256
60,60,2016-02-29,@,WAS,L,108,116,100.5,.236,.360,.550,37.6,62.8,8.0,5.8,.539,10.1,13.3,.135,.517,12.8,65.0,.270
61,61,2016-03-02,,CHO,L,99,119,99.8,.306,.388,.513,43.2,67.6,8.0,8.9,.476,12.7,14.3,.212,.556,11.1,79.5,.358
62,62,2016-03-04,,MIA,L,102,112,98.0,.284,.326,.477,44.4,58.3,12.2,6.9,.426,7.0,27.8,.221,.472,13.4,64.4,.330
63,63,2016-03-06,@,MIA,L,98,103,91.1,.259,.365,.518,44.0,54.1,5.5,10.4,.500,10.4,24.0,.153,.494,11.3,68.3,.284
64,64,2016-03-09,,HOU,L,104,118,96.0,.372,.384,.520,48.3,65.7,8.3,9.4,.477,15.2,36.4,.256,.506,11.1,60.5,.360
65,65,2016-03-11,,BRK,W,95,89,93.8,.179,.333,.524,54.4,65.8,5.3,8.6,.506,15.0,26.8,.119,.408,11.0,77.6,.207
66,66,2016-03-12,,DET,L,111,125,100.2,.321,.298,.579,40.9,61.5,11.0,2.7,.524,11.1,13.0,.274,.588,11.4,71.4,.198
67,67,2016-03-15,@,BRK,L,114,131,101.8,.295,.341,.573,39.5,63.4,5.9,6.1,.528,14.6,19.1,.239,.578,10.4,64.1,.300
68,68,2016-03-17,,WAS,L,94,99,104.4,.286,.363,.459,40.0,48.6,15.3,4.8,.418,9.7,14.3,.198,.478,18.3,72.7,.144
69,69,2016-03-18,,OKC,L,97,111,98.0,.303,.326,.481,36.4,68.6,11.2,7.5,.449,7.3,17.5,.191,.545,17.1,61.9,.157
70,70,2016-03-20,,BOS,L,105,120,99.4,.293,.228,.505,43.0,71.8,5.0,10.1,.467,9.6,23.5,.207,.543,11.2,66.7,.191
71,71,2016-03-21,@,IND,L,75,91,89.7,.175,.225,.435,49.4,48.4,4.5,7.3,.413,14.8,20.8,.113,.494,12.2,82.9,.136
72,72,2016-03-23,@,DEN,L,103,104,99.6,.160,.394,.512,49.5,70.3,7.0,6.8,.473,8.2,17.0,.149,.474,14.6,84.1,.421
73,73,2016-03-26,@,POR,L,105,108,103.3,.258,.409,.507,48.6,53.8,4.8,9.1,.473,11.2,18.2,.183,.462,8.8,79.6,.264
74,74,2016-03-27,@,GSW,L,105,117,98.7,.133,.333,.551,45.7,64.3,10.1,6.0,.522,11.2,19.6,.122,.614,16.4,80.0,.181
75,75,2016-03-29,,CHO,L,85,100,99.4,.104,.458,.423,41.3,66.7,8.0,8.1,.396,9.1,14.1,.094,.477,13.6,80.0,.195
76,76,2016-04-01,@,CHO,L,91,100,97.3,.233,.433,.458,46.6,72.7,5.1,12.3,.422,8.3,16.1,.167,.470,10.3,83.0,.250
77,77,2016-04-02,,IND,L,102,115,100.0,.313,.446,.540,44.2,67.6,3.0,1.6,.506,14.5,16.0,.217,.571,12.1,83.3,.226
78,78,2016-04-05,,NOP,W,107,93,90.3,.193,.386,.560,45.6,77.5,11.1,9.4,.528,7.7,23.9,.159,.494,16.0,68.2,.146
79,79,2016-04-08,,NYK,L,102,109,98.4,.396,.407,.477,43.8,78.1,7.1,6.7,.429,7.8,24.2,.264,.495,8.0,72.1,.209
80,80,2016-04-10,,MIL,L,108,109,95.5,.260,.479,.505,45.9,61.5,11.4,9.4,.474,10.8,22.4,.177,.500,16.3,80.0,.253
81,81,2016-04-12,@,TOR,L,98,122,94.3,.325,.455,.557,38.1,68.6,8.5,8.6,.552,12.9,16.3,.169,.558,11.2,61.0,.168
82,82,2016-04-13,@,CHI,L,105,115,94.9,.222,.432,.590,36.9,75.7,10.5,11.9,.562,12.8,9.8,.173,.560,15.2,62.8,.265
