Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,DAL,L,95,111,102.0,.379,.276,.468,52.5,44.1,2.9,4.7,.425,15.1,23.6,.241,.529,7.5,87.0,.247
2,2,2015-10-30,,POR,W,110,92,105.7,.506,.217,.542,56.7,45.9,12.3,11.3,.470,15.8,26.2,.386,.448,19.6,80.0,.174
3,3,2015-10-31,@,POR,W,101,90,97.5,.170,.340,.500,51.6,41.0,11.3,12.2,.473,11.4,23.9,.128,.468,14.9,78.7,.203
4,4,2015-11-02,@,LAC,L,96,102,97.6,.214,.306,.448,54.5,63.9,8.2,1.8,.413,7.7,27.1,.153,.506,10.8,92.9,.247
5,5,2015-11-04,,SAC,W,118,97,98.3,.265,.277,.637,55.4,60.0,14.2,6.7,.627,16.3,25.7,.169,.542,16.0,82.1,.071
6,6,2015-11-06,,DET,L,92,100,99.2,.141,.326,.471,49.5,37.8,8.1,5.8,.457,14.1,21.2,.087,.554,14.3,85.4,.243
7,7,2015-11-08,@,OKC,L,103,124,105.6,.310,.190,.540,38.8,47.4,6.6,1.4,.494,19.4,16.7,.238,.543,12.3,60.5,.234
8,8,2015-11-12,,LAC,W,118,104,100.7,.253,.361,.640,55.4,50.0,9.9,4.7,.614,17.1,26.5,.193,.494,12.0,75.5,.167
9,9,2015-11-14,,DEN,W,105,81,101.4,.310,.286,.550,57.6,51.4,3.9,1.6,.506,17.3,23.3,.238,.378,9.0,83.9,.071
10,10,2015-11-16,,LAL,W,120,101,93.5,.269,.323,.577,57.5,51.1,13.9,10.5,.543,8.8,37.5,.204,.539,15.7,82.1,.234
11,11,2015-11-18,,CHI,L,97,103,95.2,.231,.297,.484,47.8,43.2,12.6,6.3,.451,10.7,28.0,.165,.548,17.6,72.5,.145
12,12,2015-11-20,@,DEN,W,114,107,95.6,.316,.342,.633,52.5,55.0,7.3,10.6,.601,17.4,29.4,.241,.483,9.8,69.6,.222
13,13,2015-11-22,@,NOP,L,116,122,104.7,.367,.400,.555,48.4,48.6,5.7,7.3,.483,12.6,22.0,.322,.524,12.0,77.8,.388
14,14,2015-11-23,@,SAS,L,84,98,94.2,.137,.260,.543,49.3,67.6,13.8,4.8,.514,26.6,25.0,.123,.567,18.8,71.8,.061
15,15,2015-11-25,,NOP,L,114,120,102.2,.208,.271,.544,51.2,56.8,7.8,8.5,.510,8.7,22.9,.167,.580,12.7,86.8,.321
16,16,2015-11-27,,GSW,L,116,135,106.1,.250,.283,.568,36.1,46.7,12.2,4.7,.543,12.1,14.3,.174,.704,19.6,67.6,.259
17,17,2015-11-29,@,TOR,W,107,102,95.0,.213,.287,.520,53.8,60.0,4.2,15.8,.484,8.1,27.1,.170,.512,10.5,82.2,.163
18,18,2015-12-01,@,BRK,L,91,94,96.2,.293,.373,.537,48.1,60.6,9.4,4.2,.507,15.9,10.0,.200,.512,14.4,85.4,.095
19,19,2015-12-02,@,DET,L,122,127,96.9,.155,.340,.589,41.9,59.6,6.5,5.0,.557,12.6,21.3,.144,.575,14.5,66.7,.310
20,20,2015-12-04,@,WAS,L,106,109,95.9,.190,.274,.582,46.1,48.8,8.3,7.1,.571,18.0,31.6,.119,.549,18.4,60.5,.232
21,21,2015-12-06,@,MEM,L,93,95,94.3,.207,.378,.520,50.5,55.6,8.5,6.7,.494,16.7,26.2,.146,.428,10.7,70.6,.200
22,22,2015-12-07,@,CHI,W,103,101,101.4,.185,.185,.518,45.5,43.9,11.8,5.8,.484,15.3,23.8,.152,.489,17.0,65.2,.144
23,23,2015-12-09,,ORL,W,107,104,98.9,.338,.300,.582,57.9,56.1,9.1,10.0,.550,16.4,28.9,.238,.541,14.8,86.8,.141
