Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,NOP,W,112,94,100.9,.159,.364,.595,56.7,50.0,6.9,6.9,.568,11.3,15.0,.136,.456,10.0,90.0,.121
2,2,2015-10-30,@,PHO,L,92,110,105.7,.221,.279,.487,43.3,50.0,8.5,7.7,.448,19.6,20.0,.174,.470,15.8,73.8,.386
3,3,2015-10-31,,PHO,L,90,101,97.5,.354,.380,.493,48.4,60.6,7.2,8.1,.468,14.9,21.3,.203,.473,11.4,76.1,.128
4,4,2015-11-02,@,MIN,W,106,101,100.4,.225,.337,.542,52.9,43.9,5.0,9.1,.511,14.1,25.0,.169,.449,13.5,81.4,.380
5,5,2015-11-04,@,UTA,W,108,92,93.5,.416,.325,.593,54.5,26.8,5.3,10.9,.604,17.3,35.1,.195,.403,8.1,68.6,.239
6,6,2015-11-05,,MEM,W,115,96,87.0,.230,.345,.600,56.6,65.9,3.4,5.3,.592,7.7,32.6,.138,.526,8.5,82.5,.195
7,7,2015-11-08,,DET,L,103,120,96.5,.237,.329,.614,46.5,58.5,5.2,3.0,.599,20.8,20.0,.158,.547,7.8,64.7,.156
8,8,2015-11-09,@,DEN,L,104,108,97.0,.297,.319,.505,45.3,55.6,6.2,5.2,.451,8.0,20.4,.242,.565,13.3,78.4,.273
9,9,2015-11-11,,SAS,L,101,113,92.7,.261,.250,.515,46.2,66.7,6.5,4.5,.494,8.4,22.7,.159,.604,10.9,76.5,.171
10,10,2015-11-13,@,MEM,L,100,101,89.5,.420,.319,.612,55.1,51.5,5.6,14.3,.536,21.2,32.3,.377,.453,7.6,70.2,.267
11,11,2015-11-15,@,CHO,L,94,106,91.2,.236,.236,.478,55.4,57.1,5.5,5.8,.421,10.9,34.8,.213,.548,10.7,81.1,.181
12,12,2015-11-16,@,SAS,L,80,93,86.8,.173,.253,.496,45.3,48.4,4.6,4.5,.460,12.9,10.3,.147,.466,6.0,74.5,.112
13,13,2015-11-18,@,HOU,L,103,108,96.6,.330,.341,.511,48.5,51.4,10.3,14.6,.449,15.9,20.8,.273,.424,13.7,74.5,.326
14,14,2015-11-20,,LAC,W,102,91,94.5,.267,.278,.507,56.7,42.1,8.5,4.8,.467,12.2,34.7,.200,.483,12.3,79.2,.093
15,15,2015-11-22,@,LAL,W,107,93,93.7,.195,.287,.566,45.7,62.8,7.5,11.4,.540,9.6,16.3,.149,.398,9.1,70.6,.261
16,16,2015-11-24,,CHI,L,88,93,96.2,.307,.250,.441,55.6,58.1,5.2,13.2,.386,12.3,29.6,.227,.424,9.4,86.7,.233
17,17,2015-11-28,,LAL,W,108,96,92.0,.333,.385,.604,58.2,63.2,5.4,3.4,.564,15.2,30.8,.256,.482,8.9,85.0,.207
18,18,2015-11-30,@,LAC,L,87,102,100.6,.310,.264,.440,49.5,54.5,6.0,3.0,.408,15.4,26.0,.184,.435,8.4,69.5,.329
19,19,2015-12-01,,DAL,L,112,115,94.0,.170,.400,.521,50.5,58.5,5.8,1.5,.485,12.2,26.0,.150,.505,10.3,75.5,.213
20,20,2015-12-03,,IND,W,123,111,92.4,.235,.424,.656,53.9,59.1,11.9,5.2,.624,13.8,36.6,.200,.506,10.9,68.8,.250
21,21,2015-12-05,@,MIN,W,109,103,94.2,.390,.260,.604,47.1,59.0,7.4,4.4,.571,13.4,20.0,.273,.488,12.9,71.1,.265
22,22,2015-12-07,@,MIL,L,88,90,91.7,.212,.388,.474,50.5,63.6,10.9,11.7,.435,15.5,30.0,.165,.438,15.5,75.6,.356
23,23,2015-12-08,@,CLE,L,100,105,89.2,.203,.329,.581,54.5,52.5,3.4,3.4,.576,17.3,29.4,.114,.563,8.4,81.3,.203
24,24,2015-12-11,@,PHO,W,106,96,92.2,.073,.354,.535,56.0,51.1,7.6,6.3,.531,10.8,30.4,.042,.512,9.0,82.2,.133
25,25,2015-12-12,,NYK,L,110,112,89.4,.326,.236,.540,53.4,36.6,4.5,0.0,.494,6.4,34.1,.247,.580,11.2,78.1,.333
26,26,2015-12-14,,NOP,W,105,101,96.6,.358,.395,.560,54.9,80.0,7.2,8.8,.512,13.8,21.7,.272,.488,8.7,88.9,.256
27,27,2015-12-16,@,OKC,L,90,106,97.4,.196,.283,.450,48.0,40.6,6.2,4.6,.408,15.3,31.5,.163,.494,15.9,68.2,.354
28,28,2015-12-18,@,ORL,L,94,102,95.7,.356,.438,.557,46.7,65.6,3.1,2.9,.514,18.4,16.7,.260,.476,11.7,72.9,.262
29,29,2015-12-20,@,MIA,L,109,116,93.5,.275,.425,.608,58.3,59.0,7.5,0.0,.569,17.5,28.6,.225,.653,11.3,86.5,.240
30,30,2015-12-21,@,ATL,L,97,106,94.4,.272,.296,.535,61.7,63.2,5.3,8.3,.500,16.6,32.6,.198,.539,10.1,94.7,.299
31,31,2015-12-23,@,NOP,L,89,115,95.5,.253,.295,.422,54.2,48.5,7.3,13.0,.384,11.0,34.9,.168,.559,10.4,81.8,.235
32,32,2015-12-26,,CLE,W,105,76,91.4,.213,.247,.539,53.8,68.3,9.8,6.5,.511,7.6,23.3,.157,.435,16.9,81.3,.117
33,33,2015-12-27,@,SAC,W,98,94,101.5,.174,.359,.495,54.7,50.0,12.8,9.6,.467,15.4,28.0,.130,.454,19.7,84.4,.329
34,34,2015-12-30,,DEN,W,110,103,95.3,.230,.368,.574,51.6,53.7,8.4,10.0,.540,12.8,27.3,.184,.494,12.8,74.5,.195
35,35,2015-12-31,@,UTA,L,96,109,83.2,.179,.462,.570,48.1,54.3,1.2,0.0,.551,10.6,21.1,.128,.587,5.2,72.1,.093
36,36,2016-01-03,@,DEN,W,112,106,92.2,.410,.295,.608,50.0,57.5,4.3,5.2,.577,9.8,21.2,.282,.469,7.3,69.4,.388
37,37,2016-01-04,,MEM,L,78,91,93.8,.333,.389,.472,44.7,50.0,7.5,5.3,.438,20.3,16.7,.208,.401,9.7,67.3,.198
38,38,2016-01-06,,LAC,L,98,109,89.9,.267,.302,.510,53.8,55.3,5.6,6.7,.494,11.9,34.7,.151,.572,10.0,76.2,.169
39,39,2016-01-08,,GSW,L,108,128,103.6,.292,.344,.499,48.4,55.3,11.6,7.3,.458,7.7,21.8,.208,.632,13.5,86.8,.207
40,40,2016-01-10,,OKC,W,115,110,99.8,.140,.440,.542,55.3,64.3,7.0,7.3,.515,13.1,37.0,.120,.553,17.1,80.0,.342
41,41,2016-01-13,,UTA,W,99,85,87.9,.170,.295,.523,58.7,64.1,8.0,17.5,.506,12.1,37.8,.114,.461,14.0,78.7,.197
42,42,2016-01-15,@,BRK,W,116,104,91.5,.118,.376,.593,47.7,55.3,7.6,7.6,.586,8.4,28.6,.075,.494,11.0,65.2,.235
43,43,2016-01-16,@,PHI,L,89,114,98.6,.276,.333,.456,45.8,50.0,6.1,7.5,.420,11.8,17.6,.184,.618,12.7,90.6,.263
44,44,2016-01-18,@,WAS,W,108,98,91.8,.131,.369,.608,57.8,58.1,5.4,3.6,.613,14.4,22.5,.060,.539,9.5,90.7,.195
45,45,2016-01-20,,ATL,L,98,104,96.3,.117,.330,.496,53.8,56.1,5.2,6.3,.484,10.8,28.3,.074,.506,11.8,78.7,.184
46,46,2016-01-23,,LAL,W,121,103,93.8,.237,.333,.589,58.3,55.3,12.8,1.9,.559,7.2,35.0,.183,.543,17.8,87.5,.406
47,47,2016-01-26,,SAC,W,112,97,99.7,.211,.333,.569,51.6,63.6,6.0,11.9,.539,10.9,22.2,.167,.459,11.5,79.2,.209
48,48,2016-01-29,,CHO,W,109,91,94.1,.174,.217,.550,52.0,53.3,10.6,7.8,.527,10.0,28.3,.130,.450,14.8,73.1,.238
49,49,2016-01-31,,MIN,W,96,93,91.4,.395,.355,.538,43.0,50.0,7.7,7.8,.461,12.7,19.0,.342,.463,14.8,65.9,.238
50,50,2016-02-02,,MIL,W,107,95,97.3,.294,.365,.557,53.3,64.1,6.2,9.7,.524,13.5,24.4,.212,.471,11.9,76.5,.163
51,51,2016-02-04,,TOR,L,103,110,94.4,.284,.309,.565,47.1,55.3,8.5,9.1,.531,13.3,23.3,.210,.541,12.7,71.4,.212
52,52,2016-02-06,@,HOU,W,96,79,96.4,.264,.402,.494,55.7,60.0,15.6,14.6,.466,17.8,39.2,.172,.370,20.3,73.9,.286
53,53,2016-02-08,@,MEM,W,112,106,91.8,.225,.326,.573,48.7,50.0,8.9,9.0,.551,11.7,19.0,.157,.541,13.7,85.3,.151
54,54,2016-02-10,,HOU,W,116,103,100.4,.382,.315,.558,55.1,51.2,11.0,4.7,.506,11.1,33.3,.292,.552,17.9,80.5,.234
55,55,2016-02-19,,GSW,W,137,105,108.7,.237,.309,.639,50.5,53.8,11.0,6.9,.624,10.8,19.5,.165,.457,16.1,74.1,.228
56,56,2016-02-21,,UTA,W,115,111,91.4,.422,.356,.539,55.8,51.3,7.7,8.6,.500,10.1,46.9,.278,.547,10.3,67.6,.198
57,57,2016-02-23,,BRK,W,112,104,97.5,.313,.288,.615,46.0,60.0,6.2,7.7,.563,14.2,16.7,.275,.494,11.7,73.3,.167
58,58,2016-02-25,,HOU,L,105,119,99.3,.275,.438,.585,46.5,59.5,4.0,5.7,.544,19.0,24.4,.225,.598,14.1,70.7,.256
59,59,2016-02-27,@,CHI,W,103,95,97.4,.310,.241,.521,48.5,52.6,6.2,9.7,.466,9.2,16.7,.253,.452,8.3,79.6,.106
60,60,2016-02-28,@,IND,W,111,102,92.9,.259,.296,.615,46.4,46.3,4.3,8.9,.593,11.7,19.5,.185,.446,8.0,66.1,.204
61,61,2016-03-01,@,NYK,W,104,85,93.5,.227,.341,.537,54.5,45.9,5.3,10.4,.489,6.7,19.1,.205,.409,7.7,85.2,.148
62,62,2016-03-02,@,BOS,L,93,116,95.6,.238,.345,.501,45.7,44.1,4.2,8.6,.470,13.1,24.0,.167,.435,4.1,65.5,.215
63,63,2016-03-04,@,TOR,L,115,117,94.2,.422,.325,.584,48.6,35.9,5.3,5.5,.536,10.1,25.6,.313,.552,12.5,74.3,.642
64,64,2016-03-06,@,DET,L,103,123,96.3,.295,.397,.584,40.8,51.4,8.3,0.0,.519,12.9,7.9,.282,.595,11.1,73.7,.274
65,65,2016-03-08,,WAS,W,116,109,96.8,.348,.270,.565,54.1,58.5,1.9,5.1,.517,16.3,28.3,.270,.495,9.9,76.9,.111
66,66,2016-03-11,@,GSW,L,112,128,95.3,.267,.419,.583,41.1,54.1,4.2,8.2,.541,7.7,14.9,.221,.551,7.0,66.7,.337
67,67,2016-03-12,,ORL,W,121,84,97.2,.131,.417,.681,56.7,72.3,2.1,4.6,.661,14.4,24.3,.119,.412,13.2,79.2,.099
68,68,2016-03-14,@,OKC,L,94,128,96.4,.297,.297,.457,42.9,41.9,4.2,10.6,.379,9.7,25.0,.275,.645,12.1,71.4,.253
69,69,2016-03-17,@,SAS,L,110,118,97.7,.337,.247,.538,57.0,59.0,5.1,8.6,.494,11.3,29.8,.247,.570,6.8,89.7,.233
70,70,2016-03-18,@,NOP,W,117,112,98.3,.513,.346,.612,57.0,47.2,4.1,4.8,.519,11.2,16.2,.462,.542,6.8,92.9,.265
71,71,2016-03-20,@,DAL,L,120,132,95.8,.269,.442,.516,51.0,59.5,8.5,6.3,.490,10.7,34.4,.173,.635,13.9,78.9,.213
