Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,LAC,L,104,111,102.4,.191,.255,.510,53.8,58.5,7.8,4.9,.495,13.6,25.0,.117,.563,13.8,86.0,.263
2,2,2015-10-30,,LAL,W,132,114,109.3,.297,.218,.578,60.2,50.0,5.5,12.7,.545,10.9,35.6,.218,.522,15.8,83.3,.236
3,3,2015-10-31,@,LAC,L,109,114,103.5,.248,.178,.487,54.4,46.5,8.7,3.4,.455,10.4,35.2,.168,.539,15.0,83.3,.421
4,4,2015-11-03,,MEM,L,89,103,94.7,.541,.270,.486,41.2,58.6,8.4,1.6,.439,12.4,17.4,.324,.500,14.5,69.2,.241
5,5,2015-11-04,@,PHO,L,97,118,98.3,.143,.286,.543,44.6,62.5,9.2,6.7,.542,16.0,17.9,.071,.627,16.3,74.3,.169
6,6,2015-11-06,,HOU,L,110,116,101.3,.312,.301,.520,46.7,65.0,13.8,6.5,.478,12.4,28.6,.226,.579,18.3,67.4,.256
7,7,2015-11-07,,GSW,L,94,103,99.6,.184,.218,.500,49.5,68.4,9.0,5.7,.471,18.3,29.5,.138,.457,15.0,68.1,.207
8,8,2015-11-09,,SAS,L,88,106,98.5,.226,.226,.476,47.7,73.5,10.2,7.8,.446,17.1,22.4,.155,.563,14.8,79.5,.092
9,9,2015-11-11,,DET,W,101,92,95.9,.324,.216,.597,50.5,54.1,7.3,3.5,.561,17.6,18.4,.243,.433,14.1,73.6,.169
10,10,2015-11-13,,BRK,W,111,109,101.6,.277,.287,.526,53.2,62.5,10.8,4.4,.484,11.7,30.0,.213,.517,13.2,79.5,.191
11,11,2015-11-15,,TOR,W,107,101,96.8,.316,.329,.618,53.8,59.0,8.3,8.9,.579,18.0,23.7,.250,.523,13.9,82.5,.115
12,12,2015-11-18,@,ATL,L,97,103,97.7,.209,.186,.516,53.6,68.4,7.2,1.7,.471,17.6,28.3,.186,.478,9.9,76.5,.202
13,13,2015-11-19,@,MIA,L,109,116,97.7,.238,.274,.587,50.6,58.1,3.1,4.6,.583,16.2,23.7,.131,.511,6.3,73.3,.281
14,14,2015-11-21,@,ORL,W,97,91,95.5,.383,.247,.512,48.5,74.2,11.5,8.2,.426,12.9,22.2,.346,.462,15.1,71.2,.065
15,15,2015-11-23,@,CHO,L,122,127,108.4,.154,.298,.549,48.9,65.4,8.4,11.6,.538,15.3,16.7,.096,.546,14.8,82.6,.204
16,16,2015-11-25,@,MIL,W,129,118,95.7,.481,.299,.691,53.2,52.3,9.4,12.3,.636,7.9,20.6,.403,.551,9.9,77.8,.239
17,17,2015-11-27,,MIN,L,91,101,90.3,.174,.256,.491,43.9,56.8,4.4,5.8,.477,13.9,26.1,.105,.539,16.6,66.7,.234
18,18,2015-11-28,@,GSW,L,101,120,94.9,.150,.250,.474,50.0,56.4,9.5,14.0,.440,11.6,35.2,.130,.588,13.0,69.0,.325
19,19,2015-11-30,,DAL,W,112,98,97.5,.557,.392,.569,51.2,61.1,1.0,2.1,.513,10.1,22.5,.392,.482,14.6,78.6,.202
20,20,2015-12-03,,BOS,L,97,114,102.3,.532,.273,.510,53.5,72.4,7.8,7.8,.422,16.7,20.9,.416,.560,14.5,86.0,.238
21,21,2015-12-05,@,HOU,L,113,120,99.6,.133,.265,.545,52.2,76.1,12.1,15.9,.520,11.1,30.2,.112,.564,14.9,72.3,.410
22,22,2015-12-06,@,OKC,L,95,98,99.1,.341,.273,.469,39.8,57.1,11.1,7.8,.438,12.2,23.2,.205,.442,17.4,59.6,.256
23,23,2015-12-08,,UTA,W,114,106,91.4,.312,.364,.651,47.6,67.4,6.6,3.6,.623,14.6,26.5,.234,.495,10.6,62.0,.163
24,24,2015-12-10,,NYK,W,99,97,99.1,.172,.172,.495,44.9,57.1,6.1,5.6,.468,10.7,19.6,.129,.452,15.9,72.3,.265
25,25,2015-12-15,,HOU,W,107,97,104.7,.387,.320,.610,56.6,65.8,12.4,7.0,.580,24.2,23.7,.267,.488,18.6,84.4,.207
26,26,2015-12-18,@,MIN,L,95,99,90.1,.210,.284,.537,38.8,57.9,11.1,3.1,.512,11.9,18.6,.148,.512,16.8,62.2,.183
27,27,2015-12-20,@,TOR,W,104,94,96.1,.316,.276,.601,46.2,65.0,8.3,12.3,.586,14.8,12.2,.197,.415,10.6,74.0,.170
28,28,2015-12-21,@,WAS,L,99,113,97.4,.242,.242,.492,54.8,64.9,8.2,5.1,.445,13.0,27.7,.198,.590,10.8,89.2,.181
29,29,2015-12-23,@,IND,W,108,106,102.9,.180,.258,.562,56.3,60.9,5.8,7.0,.539,14.3,15.8,.135,.528,10.1,87.8,.135
30,30,2015-12-27,,POR,L,94,98,101.5,.408,.316,.524,45.3,73.3,9.9,8.5,.454,19.7,15.6,.329,.467,15.4,72.0,.130
31,31,2015-12-28,@,GSW,L,103,122,104.9,.295,.326,.480,44.9,62.2,9.5,8.5,.458,11.5,22.0,.168,.596,15.3,72.9,.180
32,32,2015-12-30,,PHI,L,105,110,104.9,.554,.338,.570,46.5,63.9,4.8,7.9,.541,19.3,15.9,.338,.473,10.7,70.9,.223
33,33,2016-01-02,,PHO,W,142,119,104.4,.391,.264,.696,64.8,56.6,8.6,3.7,.661,12.1,32.3,.310,.578,14.4,90.0,.277
34,34,2016-01-04,@,OKC,W,116,104,101.7,.438,.191,.546,55.2,65.0,6.9,13.3,.489,12.4,31.7,.326,.494,13.1,76.1,.180
35,35,2016-01-05,@,DAL,L,116,117,92.7,.141,.323,.552,47.1,57.4,14.3,1.4,.535,15.3,17.6,.101,.520,13.6,75.5,.153
36,36,2016-01-07,,LAL,W,118,115,99.3,.318,.247,.609,52.9,68.1,8.1,11.5,.588,13.4,27.0,.212,.592,16.9,81.8,.329
37,37,2016-01-09,,GSW,L,116,128,103.2,.315,.250,.554,41.5,62.8,7.7,6.0,.511,8.7,15.2,.239,.672,16.1,75.0,.126
38,38,2016-01-13,,NOP,L,97,109,96.7,.167,.274,.538,53.6,51.2,4.1,10.4,.524,16.6,23.8,.107,.500,6.3,76.4,.090
39,39,2016-01-14,@,UTA,W,103,101,95.4,.568,.149,.557,58.7,55.9,12.6,4.1,.493,14.0,33.3,.405,.458,11.7,80.0,.301
40,40,2016-01-16,@,LAC,W,110,103,98.1,.434,.329,.608,53.1,77.8,5.1,14.0,.559,15.8,22.0,.329,.464,9.5,75.4,.146
41,41,2016-01-20,@,LAL,W,112,93,97.8,.315,.225,.553,59.0,65.1,6.1,18.5,.517,12.1,34.1,.225,.378,8.0,78.6,.278
42,42,2016-01-21,,ATL,W,91,88,100.5,.261,.261,.444,57.1,72.7,12.9,7.8,.397,15.6,32.7,.196,.464,17.3,84.8,.119
43,43,2016-01-23,,IND,W,108,97,97.4,.424,.188,.536,55.9,50.0,7.2,6.0,.476,12.2,28.9,.318,.459,9.3,81.3,.209
44,44,2016-01-25,,CHO,L,128,129,93.8,.352,.253,.609,54.9,75.0,3.5,12.1,.566,17.3,23.1,.275,.491,6.9,74.6,.191
45,45,2016-01-26,@,POR,L,97,112,99.7,.372,.221,.485,48.4,72.2,7.0,8.3,.459,11.5,20.8,.209,.539,10.9,77.8,.167
46,46,2016-01-28,@,NOP,L,105,114,105.8,.225,.315,.537,46.0,72.5,5.7,11.1,.506,11.7,10.3,.169,.490,11.4,75.0,.184
47,47,2016-01-30,@,MEM,L,117,121,104.5,.413,.261,.538,61.4,42.1,9.6,4.9,.462,14.9,37.5,.348,.570,12.0,94.3,.392
48,48,2016-02-01,,MIL,W,111,104,94.8,.349,.302,.559,58.9,53.8,7.4,4.7,.506,13.9,40.0,.279,.548,14.1,77.8,.143
49,49,2016-02-03,,CHI,L,102,107,102.3,.216,.227,.529,47.9,50.0,11.7,11.9,.511,14.2,18.8,.136,.517,14.9,78.3,.182
50,50,2016-02-05,@,BRK,L,119,128,101.9,.247,.292,.603,40.3,66.7,14.7,5.2,.551,10.0,12.5,.236,.663,18.5,70.3,.163
51,51,2016-02-07,@,BOS,L,119,128,107.8,.200,.274,.576,39.5,68.1,13.9,7.5,.547,11.9,15.9,.158,.632,19.7,67.6,.143
52,52,2016-02-08,@,CLE,L,100,120,102.5,.354,.280,.528,45.4,77.8,10.7,6.8,.494,15.2,16.3,.232,.564,12.0,75.0,.149
53,53,2016-02-10,@,PHI,W,114,110,95.7,.333,.184,.571,50.0,65.9,7.3,10.7,.529,11.5,36.6,.253,.544,16.2,61.7,.121
54,54,2016-02-19,,DEN,W,116,110,109.2,.373,.253,.600,50.6,39.0,11.0,12.1,.554,18.5,16.7,.289,.511,15.1,80.9,.200
55,55,2016-02-23,@,DEN,W,114,110,105.4,.337,.205,.598,53.2,65.1,8.5,16.4,.560,14.4,15.8,.253,.460,9.9,78.6,.180
56,56,2016-02-24,,SAS,L,92,108,102.6,.156,.188,.448,46.8,69.2,12.7,1.5,.438,12.0,18.5,.083,.565,14.9,85.0,.141
57,57,2016-02-26,,LAC,L,107,117,94.5,.474,.308,.567,51.8,55.9,6.3,5.0,.513,14.5,30.2,.346,.534,7.4,73.8,.247
58,58,2016-02-29,,OKC,L,116,131,101.7,.178,.234,.503,49.5,58.3,10.8,0.0,.481,8.0,37.3,.121,.659,18.4,70.6,.280
59,59,2016-03-02,@,MEM,L,98,104,95.3,.244,.317,.540,54.3,79.5,7.3,4.9,.530,20.9,41.0,.134,.475,16.9,66.7,.367
60,60,2016-03-03,@,DAL,W,104,101,95.5,.300,.313,.574,47.8,54.8,8.4,6.2,.569,12.6,20.9,.163,.516,13.4,72.3,.043
61,61,2016-03-05,@,SAS,L,94,104,98.6,.259,.198,.521,41.8,56.8,13.2,6.9,.494,17.4,16.7,.173,.543,19.0,70.3,.198
62,62,2016-03-07,@,NOP,L,112,115,109.7,.325,.301,.590,50.6,65.9,10.9,1.4,.536,18.8,15.4,.277,.516,13.9,79.2,.191
63,63,2016-03-09,,CLE,L,111,120,100.0,.381,.262,.566,42.7,50.0,8.0,4.3,.524,8.4,12.2,.274,.506,11.0,68.8,.322
64,64,2016-03-11,,ORL,L,100,107,100.0,.284,.284,.505,42.0,65.7,9.0,6.3,.443,14.7,23.5,.250,.544,16.8,67.6,.266
65,65,2016-03-13,,UTA,L,99,108,92.4,.259,.259,.549,43.4,65.8,8.7,9.3,.525,10.0,18.2,.173,.549,14.9,71.8,.220
66,66,2016-03-15,@,LAL,W,106,98,104.3,.418,.228,.567,45.6,68.4,16.3,13.8,.506,14.6,11.4,.329,.470,18.7,78.3,.226
67,67,2016-03-16,,NOP,L,108,123,97.3,.189,.200,.554,48.1,54.8,7.2,2.9,.517,10.1,18.6,.167,.611,7.6,81.6,.144
68,68,2016-03-18,@,DET,L,108,115,94.9,.367,.190,.588,41.7,52.5,8.4,6.1,.532,10.7,17.5,.304,.543,13.1,63.6,.163
69,69,2016-03-20,@,NYK,W,88,80,90.0,.159,.284,.467,47.1,57.1,12.2,4.2,.438,10.5,25.0,.125,.374,12.5,66.1,.132
70,70,2016-03-21,@,CHI,L,102,109,96.7,.182,.330,.537,55.6,57.5,6.2,3.0,.506,16.7,32.6,.148,.516,8.2,76.6,.165
71,71,2016-03-23,@,MIN,L,104,113,101.0,.253,.220,.514,48.2,54.8,5.9,6.0,.505,14.4,29.2,.132,.594,15.3,74.3,.225
72,72,2016-03-25,,PHO,W,116,94,105.3,.433,.244,.541,47.7,70.0,9.5,11.3,.483,10.1,23.5,.322,.420,17.4,69.0,.160
73,73,2016-03-27,,DAL,W,133,111,98.7,.366,.244,.699,50.0,62.7,11.1,4.7,.677,10.4,17.1,.268,.523,11.7,74.5,.216
74,74,2016-03-28,@,POR,L,93,105,99.0,.213,.169,.478,50.6,54.1,11.1,3.9,.455,12.6,22.9,.135,.563,17.8,86.5,.188
75,75,2016-03-30,,WAS,W,120,111,104.8,.298,.214,.632,48.8,57.4,12.4,9.5,.607,14.4,15.8,.214,.534,17.0,77.3,.180
76,76,2016-04-01,,MIA,L,106,112,95.6,.333,.241,.531,51.9,52.6,7.3,8.3,.477,11.5,34.0,.264,.585,16.7,78.1,.195
77,77,2016-04-02,@,DEN,W,115,106,95.5,.352,.239,.566,49.0,65.9,4.2,7.9,.511,6.4,23.9,.284,.484,8.9,71.2,.185
