Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,@,OKC,L,106,112,101.6,.140,.161,.537,44.4,48.9,10.8,13.4,.511,11.6,17.1,.118,.529,16.6,72.5,.244
2,2,2015-10-30,,BRK,W,102,75,95.5,.151,.256,.556,63.6,57.5,7.3,6.6,.517,16.4,28.6,.151,.435,15.2,95.7,.104
3,3,2015-11-01,@,BOS,W,95,87,99.4,.301,.229,.505,53.1,61.1,10.1,8.7,.464,16.1,25.6,.217,.388,13.3,71.9,.112
4,4,2015-11-02,@,NYK,W,94,84,89.2,.215,.165,.543,47.9,53.8,6.7,9.2,.519,13.1,20.0,.152,.382,9.2,68.5,.180
5,5,2015-11-04,@,WAS,L,99,102,98.0,.247,.272,.551,59.8,56.8,5.1,4.7,.500,18.2,23.7,.222,.529,9.7,90.9,.115
6,6,2015-11-07,,CHO,W,114,94,94.8,.284,.259,.626,56.0,77.8,11.6,5.6,.611,11.6,18.2,.185,.507,14.8,85.7,.274
7,7,2015-11-09,@,SAC,W,106,88,98.5,.126,.264,.577,52.3,73.9,11.2,10.8,.563,14.8,20.5,.092,.446,17.1,77.6,.155
8,8,2015-11-11,@,POR,W,113,101,92.7,.220,.183,.628,53.8,58.7,4.3,6.1,.604,10.9,23.5,.171,.494,8.4,77.3,.159
9,9,2015-11-14,,PHI,W,92,83,94.3,.294,.188,.479,56.8,69.7,10.6,11.7,.418,11.9,25.5,.247,.451,14.7,87.5,.110
10,10,2015-11-16,,POR,W,93,80,86.8,.146,.258,.491,54.7,76.3,10.4,17.9,.466,6.0,25.5,.112,.460,12.9,89.7,.147
11,11,2015-11-18,,DEN,W,109,98,92.6,.233,.209,.575,50.0,78.6,5.4,15.7,.541,9.5,23.3,.186,.413,5.4,70.2,.173
12,12,2015-11-20,@,NOP,L,90,104,94.5,.190,.202,.494,44.8,64.7,5.3,12.1,.458,8.1,9.8,.155,.500,8.6,84.4,.182
13,13,2015-11-21,,MEM,W,92,82,89.3,.306,.292,.563,53.3,58.8,7.8,9.2,.521,17.2,20.0,.236,.439,16.4,82.5,.230
14,14,2015-11-23,,PHO,W,98,84,94.2,.122,.244,.567,50.7,50.0,19.1,5.6,.567,18.8,28.2,.061,.514,26.6,75.0,.123
15,15,2015-11-25,,DAL,W,88,83,90.1,.235,.346,.492,53.1,69.7,6.7,6.6,.457,12.7,24.5,.173,.446,12.8,81.6,.108
16,16,2015-11-27,@,DEN,W,91,80,92.0,.187,.293,.561,53.2,61.1,12.0,12.3,.533,18.2,14.7,.147,.448,17.9,82.2,.143
17,17,2015-11-28,,ATL,W,108,88,96.3,.235,.200,.576,53.3,62.5,11.4,14.8,.524,14.6,27.9,.224,.460,16.3,75.5,.092
18,18,2015-11-30,@,CHI,L,89,92,91.7,.200,.156,.454,48.0,54.1,5.5,5.7,.422,8.4,23.5,.144,.465,9.5,74.5,.140
19,19,2015-12-02,,MIL,W,95,70,95.3,.222,.233,.481,55.1,67.6,11.5,14.1,.450,10.0,22.4,.156,.353,15.7,87.8,.192
20,20,2015-12-03,@,MEM,W,103,83,90.8,.225,.225,.586,56.5,67.5,8.8,12.5,.563,14.6,26.3,.163,.388,10.8,80.9,.263
21,21,2015-12-05,,BOS,W,108,105,95.5,.265,.205,.583,54.7,59.1,3.1,5.3,.560,13.1,28.2,.181,.523,12.8,76.6,.174
22,22,2015-12-07,@,PHI,W,119,68,87.9,.329,.145,.684,60.3,68.1,4.6,2.0,.645,7.4,21.9,.276,.373,13.4,87.0,.160
23,23,2015-12-09,@,TOR,L,94,97,88.7,.316,.329,.543,50.7,67.6,11.3,3.7,.493,16.4,30.2,.250,.602,21.3,84.6,.313
24,24,2015-12-11,,LAL,W,109,87,94.8,.305,.171,.586,57.6,59.1,9.5,9.5,.573,12.3,28.9,.183,.460,14.0,80.9,.068
