Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,,IND,W,106,99,103.6,.488,.225,.545,55.6,52.8,7.7,3.2,.494,17.1,22.0,.338,.424,11.5,83.7,.302
2,2,2015-10-30,@,BOS,W,113,103,108.3,.427,.317,.580,58.2,63.9,10.2,5.1,.506,17.7,22.5,.366,.418,14.2,86.3,.376
3,3,2015-11-01,,MIL,W,106,87,88.8,.222,.278,.536,58.2,53.7,13.5,6.0,.517,11.6,40.9,.144,.457,18.5,80.0,.348
4,4,2015-11-03,@,DAL,W,102,91,95.9,.317,.207,.546,51.6,48.6,8.3,9.5,.482,14.6,25.0,.280,.424,13.4,72.5,.209
5,5,2015-11-04,@,OKC,W,103,98,94.8,.494,.177,.536,52.3,36.4,14.8,5.1,.449,12.7,28.6,.405,.524,17.7,75.0,.146
6,6,2015-11-06,@,ORL,L,87,92,89.0,.337,.267,.440,52.4,43.3,5.6,9.6,.378,8.4,30.6,.256,.487,12.2,82.9,.221
7,7,2015-11-08,@,MIA,L,76,96,88.0,.310,.268,.471,44.2,60.7,9.1,7.9,.415,16.5,16.7,.239,.470,9.6,70.5,.217
8,8,2015-11-10,,NYK,L,109,111,95.4,.464,.202,.539,52.7,67.6,7.3,8.3,.464,9.8,31.1,.369,.500,8.0,72.9,.168
9,9,2015-11-11,@,PHI,W,119,103,91.8,.348,.202,.580,60.2,51.2,7.6,12.1,.511,7.2,39.5,.315,.529,10.4,78.0,.126
10,10,2015-11-13,,NOP,W,100,81,89.9,.351,.273,.563,55.8,55.9,8.9,8.5,.500,14.4,31.7,.299,.409,13.4,77.8,.171
11,11,2015-11-15,@,SAC,L,101,107,96.8,.161,.356,.542,46.2,47.4,13.4,2.0,.523,13.9,17.5,.115,.579,18.0,76.3,.250
12,12,2015-11-17,@,GSW,L,110,115,99.6,.494,.228,.572,54.1,48.6,11.0,3.9,.506,15.8,32.4,.380,.606,17.9,75.7,.225
13,13,2015-11-18,@,UTA,L,89,93,90.4,.225,.250,.506,47.4,41.2,11.1,8.0,.456,13.7,20.9,.200,.535,17.2,80.0,.222
14,14,2015-11-20,@,LAL,W,102,91,87.5,.308,.423,.576,50.0,61.8,8.0,5.8,.532,11.9,27.3,.244,.506,15.1,76.3,.169
