Rk,G,Date,Court,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,@,DET,L,87,92,96.9,102.4,89.8,.280,.160,.516,46.9,42.9,4.5,9.1,.480,12.5,10.3,.200,.453,10.1,81.0,.338
2,2,2015-10-30,@,PHI,W,99,71,112.4,80.6,88.1,.284,.148,.500,56.7,52.8,11.4,18.8,.449,6.6,29.5,.227,.349,18.5,82.6,.429
3,3,2015-10-31,@,IND,W,97,76,103.3,80.9,93.9,.205,.170,.506,58.0,38.5,13.8,7.5,.477,15.1,35.7,.148,.429,23.2,82.1,.229
4,4,2015-11-04,,POR,L,92,108,98.4,115.5,93.5,.375,.273,.449,45.5,27.3,12.8,15.4,.403,8.1,31.4,.239,.604,17.3,64.9,.195
5,5,2015-11-05,@,DEN,W,96,84,109.9,96.2,87.3,.200,.282,.519,48.9,62.2,6.9,11.5,.500,9.8,26.1,.129,.424,13.0,73.8,.319
6,6,2015-11-07,,MEM,W,89,79,95.5,84.7,93.2,.243,.365,.543,52.7,58.1,7.5,13.9,.500,20.4,22.5,.203,.363,12.6,75.5,.143
7,7,2015-11-10,@,CLE,L,114,118,121.2,125.4,94.1,.341,.268,.604,51.4,75.0,11.7,0.0,.549,14.5,35.1,.293,.574,14.7,68.6,.446
8,8,2015-11-12,@,MIA,L,91,92,96.3,97.3,94.5,.281,.191,.455,47.2,38.2,10.6,14.1,.404,9.1,22.0,.213,.494,14.6,79.5,.208
9,9,2015-11-13,@,ORL,L,93,102,95.4,104.6,97.5,.264,.287,.479,47.7,70.6,14.4,12.2,.437,14.9,25.5,.195,.487,18.2,74.4,.368
10,10,2015-11-15,@,ATL,W,97,96,109.3,108.2,88.8,.224,.276,.581,54.8,53.8,7.9,13.0,.559,16.9,28.6,.158,.539,15.2,78.9,.184
11,11,2015-11-18,,TOR,W,93,89,102.9,98.5,90.4,.306,.306,.569,52.6,42.9,10.0,8.3,.535,17.2,20.0,.222,.456,13.7,79.1,.200
12,12,2015-11-20,@,DAL,L,93,102,107.1,117.5,86.8,.263,.250,.521,58.5,40.0,4.6,3.6,.475,16.0,40.9,.213,.518,8.1,78.9,.193
13,13,2015-11-23,,OKC,L,89,111,94.2,117.4,94.5,.548,.260,.491,53.2,53.6,11.6,6.0,.418,18.8,30.2,.384,.617,15.9,82.4,.208
14,14,2015-11-25,@,LAC,W,102,91,113.4,101.2,89.9,.325,.169,.580,52.7,48.7,13.3,6.3,.545,15.4,31.4,.234,.533,18.7,71.8,.147
