Rk,G,Date,Court,Opp,W/L,Tm,Opp,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2015-10-28,@,ORL,W,88,87,96.1,.298,.333,.463,46.7,51.5,8.3,12.2,.435,15.2,27.8,.179,.395,11.7,66.7,.080
2,2,2015-10-30,@,MIL,W,118,113,100.1,.647,.309,.675,53.6,71.4,7.0,8.6,.603,19.4,23.5,.529,.555,14.5,82.9,.268
3,3,2015-10-31,,NYK,L,110,117,105.9,.367,.244,.526,51.8,44.7,8.5,4.5,.456,14.0,26.2,.311,.529,15.2,78.0,.302
4,4,2015-11-04,,SAS,W,102,99,98.0,.161,.264,.547,40.2,64.3,11.2,5.1,.529,9.7,9.1,.115,.500,18.2,76.3,.222
5,5,2015-11-06,@,BOS,L,98,118,107.9,.261,.284,.499,45.9,63.9,9.3,11.9,.455,19.7,20.8,.205,.515,13.7,70.0,.186
6,6,2015-11-07,@,ATL,L,99,114,99.7,.218,.308,.579,51.3,71.1,11.0,5.1,.538,21.9,21.6,.192,.538,12.4,76.7,.163
7,7,2015-11-10,,OKC,L,101,125,99.9,.268,.247,.466,43.6,44.7,8.0,7.9,.418,6.9,21.8,.206,.599,10.8,74.4,.256
8,8,2015-11-14,,ORL,W,108,99,99.6,.313,.349,.572,52.1,74.4,6.0,8.7,.542,10.4,15.2,.217,.460,11.0,87.5,.218
9,9,2015-11-17,,MIL,W,115,86,93.3,.586,.314,.653,55.3,67.6,8.6,5.9,.614,12.0,17.6,.414,.500,18.7,85.7,.194
10,10,2015-11-21,@,DET,W,97,95,89.3,.256,.244,.559,52.5,57.9,11.2,0.0,.532,11.2,23.1,.179,.506,12.8,80.5,.190
11,11,2015-11-24,,IND,L,106,123,102.3,.289,.398,.566,49.4,71.1,8.8,1.9,.536,18.3,22.7,.205,.669,18.2,81.1,.200
12,12,2015-11-25,@,CHO,L,87,101,96.4,.207,.368,.458,44.6,48.4,13.5,7.0,.414,12.9,20.8,.172,.518,17.5,76.9,.181
13,13,2015-11-27,@,BOS,L,78,111,98.8,.262,.214,.416,44.2,59.3,7.1,6.3,.351,19.0,25.0,.226,.495,12.5,63.5,.155
14,14,2015-11-28,,TOR,L,82,84,94.1,.329,.280,.437,46.7,74.1,11.7,6.3,.372,13.0,19.2,.256,.507,22.0,84.2,.153
15,15,2015-12-01,@,CLE,W,97,85,98.3,.193,.337,.539,45.3,59.0,7.1,9.4,.512,11.8,5.1,.145,.392,16.2,78.7,.241
16,16,2015-12-02,,LAL,L,104,108,102.7,.392,.266,.561,47.7,64.9,10.7,2.8,.513,19.9,21.6,.291,.469,13.2,67.3,.188
17,17,2015-12-04,,PHO,W,109,106,95.9,.305,.317,.586,53.9,47.5,9.4,3.3,.549,18.4,39.5,.232,.571,18.0,68.4,.119
18,18,2015-12-06,,DAL,L,104,116,96.1,.236,.303,.529,38.3,52.4,9.4,0.0,.517,5.8,12.0,.135,.605,15.4,80.6,.316
19,19,2015-12-07,@,MIA,W,114,103,92.2,.185,.196,.573,52.1,50.0,7.6,3.8,.549,9.1,28.6,.141,.630,16.9,86.2,.232
20,20,2015-12-09,,HOU,L,103,109,104.8,.270,.281,.517,52.8,51.3,7.6,6.0,.466,15.3,23.4,.225,.554,16.8,85.7,.205
21,21,2015-12-11,@,NOP,L,105,107,92.7,.263,.338,.588,44.6,67.5,10.8,1.9,.575,10.1,15.0,.163,.595,15.5,79.4,.165
22,22,2015-12-12,@,DAL,W,114,111,98.5,.176,.341,.622,45.9,75.0,6.1,10.7,.600,12.4,10.3,.141,.506,10.8,76.1,.236
23,23,2015-12-14,@,MEM,L,95,112,95.0,.233,.279,.501,48.0,59.5,9.5,4.8,.483,12.9,23.3,.140,.628,16.7,81.3,.179
24,24,2015-12-16,@,SAS,L,95,114,94.1,.298,.179,.500,46.9,62.9,6.4,6.6,.435,11.2,22.2,.262,.578,10.6,77.8,.217
25,25,2015-12-19,,CHO,W,109,101,96.4,.291,.253,.612,42.7,65.0,10.4,6.7,.563,13.6,13.2,.253,.473,14.5,64.7,.140
26,26,2015-12-21,,SAC,W,113,99,97.4,.205,.289,.624,45.2,73.8,9.2,7.2,.590,10.8,10.8,.181,.445,13.0,72.3,.198
27,27,2015-12-23,,MEM,W,100,91,87.9,.232,.305,.553,55.7,70.3,3.4,3.6,.518,13.4,29.3,.183,.479,8.5,84.2,.306
