Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,BRK,W,122,117,118.4,113.6,103.0,.202,.360,.629,51.6,75.0,12.6,17.0,.601,16.4,29.3,.169,.521,13.1,70.0,.165
2,2,2016-10-27,CHI,L,99,105,105.1,111.5,94.2,.316,.303,.572,39.6,57.9,6.4,9.0,.553,11.3,7.5,.197,.451,10.2,64.7,.239
3,3,2016-10-29,CHO,W,104,98,110.0,103.6,94.6,.210,.383,.588,52.5,64.1,4.2,12.8,.574,12.8,11.1,.136,.462,7.9,86.4,.316
4,4,2016-11-02,CHI,W,107,100,112.5,105.1,95.1,.195,.368,.566,44.3,68.3,10.5,6.6,.552,11.3,22.7,.126,.475,16.7,65.9,.284
5,5,2016-11-03,CLE,L,122,128,122.8,128.8,99.4,.229,.333,.577,48.1,54.3,4.0,12.0,.536,7.0,22.2,.198,.571,7.4,80.6,.381
6,6,2016-11-06,DEN,L,107,123,106.7,122.6,100.3,.233,.278,.539,45.3,75.6,3.0,8.2,.500,10.0,22.4,.189,.589,14.8,75.7,.286
7,7,2016-11-09,WAS,L,93,118,102.3,129.8,90.9,.272,.383,.513,36.5,60.0,5.5,5.6,.494,10.8,16.7,.160,.554,9.8,55.8,.174
8,8,2016-11-11,NYK,W,115,87,113.4,85.8,101.4,.478,.300,.528,48.2,65.7,15.8,4.2,.450,12.1,34.5,.378,.383,19.8,61.8,.160
9,9,2016-11-12,IND,W,105,99,112.7,106.3,93.1,.413,.313,.555,54.0,62.9,7.5,11.9,.488,12.1,34.1,.338,.453,11.7,74.4,.244
10,10,2016-11-14,NOP,L,105,106,105.3,106.3,99.8,.211,.432,.506,48.9,50.0,9.0,0.0,.463,8.8,22.4,.179,.481,14.4,80.5,.380
11,11,2016-11-16,DAL,W,90,83,100.3,92.5,89.7,.303,.276,.523,62.4,54.5,6.7,5.0,.480,18.1,32.5,.224,.458,9.3,88.9,.084
12,12,2016-11-18,GSW,L,88,104,91.9,108.6,95.7,.229,.386,.482,46.2,61.3,6.3,4.8,.440,12.5,14.6,.181,.539,10.4,80.0,.078
13,13,2016-11-19,DET,W,94,92,109.1,106.8,86.2,.207,.378,.525,47.9,66.7,3.5,10.6,.476,8.2,18.8,.195,.471,5.1,77.1,.128
14,14,2016-11-21,MIN,W,99,93,105.9,99.5,93.5,.167,.452,.549,43.3,52.6,5.3,6.5,.524,10.9,14.6,.131,.442,13.4,67.3,.198
15,15,2016-11-23,BRK,W,111,92,109.1,90.5,101.7,.082,.388,.547,53.1,57.8,12.8,10.9,.536,11.4,25.0,.061,.453,16.6,81.3,.163
16,16,2016-11-25,SAS,L,103,109,110.4,116.9,93.3,.099,.374,.542,44.4,76.2,8.6,7.0,.527,9.5,20.0,.077,.537,14.8,68.3,.272
17,17,2016-11-28,MIA,W,112,104,115.7,107.4,96.8,.313,.325,.593,49.4,65.0,4.1,6.0,.548,8.7,15.0,.253,.513,12.1,82.9,.275
18,18,2016-11-30,DET,L,114,121,122.9,130.5,92.8,.220,.462,.571,38.8,65.0,6.5,4.5,.522,4.8,18.8,.209,.603,10.3,64.9,.184
19,19,2016-12-02,SAC,W,97,92,102.6,97.3,94.5,.170,.318,.513,46.3,69.4,11.6,13.1,.472,12.1,22.9,.159,.414,13.3,70.2,.230
20,20,2016-12-03,PHI,W,107,106,116.8,115.7,91.6,.382,.342,.603,49.3,57.9,5.5,7.0,.553,10.1,16.7,.303,.559,14.6,79.5,.276
