Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,BOS,L,117,122,113.6,118.4,103.0,.206,.454,.553,48.4,51.2,7.8,5.3,.521,13.1,30.0,.165,.601,16.4,70.7,.169
2,2,2016-10-28,IND,W,103,94,103.2,94.1,99.8,.230,.379,.538,51.5,52.6,6.0,5.4,.494,14.3,25.5,.195,.413,10.9,74.1,.133
3,3,2016-10-29,MIL,L,108,110,106.2,108.1,101.7,.333,.405,.561,50.6,62.2,11.8,9.1,.506,15.7,23.4,.274,.511,12.4,81.0,.227
4,4,2016-10-31,CHI,L,88,118,87.0,116.6,101.2,.219,.323,.418,43.7,42.4,11.9,4.8,.370,12.5,26.2,.177,.567,16.4,69.0,.191
5,5,2016-11-02,DET,W,109,101,112.0,103.8,97.3,.224,.355,.653,54.2,65.9,10.3,4.8,.625,18.5,15.2,.184,.472,11.8,80.0,.205
6,6,2016-11-04,CHO,L,95,99,92.3,96.2,103.0,.241,.414,.494,48.4,57.1,11.7,7.1,.454,13.5,14.3,.184,.477,14.2,84.8,.198
7,7,2016-11-08,MIN,W,119,110,116.8,108.0,101.8,.342,.434,.680,51.2,47.6,4.9,7.8,.632,18.6,16.1,.303,.489,13.3,71.7,.217
8,8,2016-11-09,NYK,L,96,110,94.9,108.7,101.2,.338,.413,.522,45.1,57.6,8.9,6.5,.481,16.4,16.3,.238,.533,12.3,78.6,.130
9,9,2016-11-12,PHO,W,122,104,113.2,96.5,107.8,.357,.440,.628,50.0,55.0,5.6,13.5,.571,14.9,13.6,.310,.411,9.4,74.2,.150
10,10,2016-11-14,LAC,L,95,127,97.1,129.8,97.8,.286,.429,.548,46.3,52.9,6.1,3.1,.506,19.5,20.9,.221,.611,10.0,75.7,.189
11,11,2016-11-15,LAL,L,118,125,109.2,115.7,108.1,.202,.414,.547,46.1,51.1,7.4,9.4,.515,11.5,18.0,.162,.495,9.0,73.1,.370
12,12,2016-11-18,OKC,L,105,124,102.8,121.4,102.1,.361,.349,.546,39.5,54.3,5.9,3.2,.488,14.3,16.3,.289,.590,13.8,69.7,.213
13,13,2016-11-20,POR,L,109,129,108.4,128.3,100.5,.333,.376,.511,41.9,59.5,5.0,6.1,.452,7.8,20.8,.269,.665,13.7,75.8,.188
14,14,2016-11-23,BOS,L,92,111,90.5,109.1,101.7,.256,.360,.481,46.9,52.9,6.9,11.7,.453,16.6,18.8,.163,.536,11.4,75.0,.061
15,15,2016-11-25,IND,L,97,118,99.0,120.5,98.0,.291,.430,.544,44.7,66.7,8.2,6.6,.525,17.6,19.1,.177,.615,13.0,76.3,.126
16,16,2016-11-27,SAC,L,105,122,107.3,124.7,97.9,.161,.448,.564,48.3,50.0,7.2,1.6,.529,13.9,20.0,.149,.610,12.0,78.6,.198
17,17,2016-11-29,LAC,W,127,122,104.6,100.5,100.5,.346,.365,.530,48.2,48.9,8.2,4.3,.495,9.8,13.2,.231,.482,11.2,80.7,.156
18,18,2016-12-01,MIL,L,93,111,97.4,116.3,95.5,.180,.449,.484,45.5,58.8,9.4,19.6,.449,15.0,26.1,.146,.544,16.3,66.7,.300
19,19,2016-12-03,MIL,L,103,112,98.9,107.5,104.2,.363,.451,.488,50.0,61.8,5.8,8.2,.434,11.7,20.4,.264,.506,9.8,83.7,.306
