Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-27,BOS,W,105,99,111.5,105.1,94.2,.326,.272,.499,60.4,69.4,5.3,1.9,.451,10.2,35.3,.239,.553,11.3,92.5,.197
2,2,2016-10-29,IND,W,118,101,126.3,108.1,93.4,.244,.244,.619,58.8,75.6,8.6,8.6,.576,11.2,34.2,.221,.528,12.4,81.0,.091
3,3,2016-10-31,BRK,W,118,88,116.6,87.0,101.2,.202,.303,.609,56.3,57.8,8.9,13.8,.567,16.4,31.0,.191,.370,12.5,73.8,.177
4,4,2016-11-02,BOS,L,100,107,105.1,112.5,95.1,.383,.247,.528,55.7,60.0,7.4,12.7,.475,16.7,34.1,.284,.552,11.3,77.3,.126
5,5,2016-11-04,NYK,L,104,117,116.4,130.9,89.4,.321,.274,.542,51.2,40.5,4.5,5.9,.488,11.1,34.1,.262,.567,4.8,71.1,.180
6,6,2016-11-05,IND,L,94,111,103.4,122.1,90.9,.316,.228,.522,52.6,50.0,8.8,8.3,.468,15.1,31.7,.253,.605,10.8,77.1,.081
7,7,2016-11-07,ORL,W,112,80,119.2,85.1,94.0,.348,.213,.546,58.9,61.9,7.4,7.3,.489,7.2,31.3,.281,.441,13.8,87.2,.059
8,8,2016-11-09,ATL,L,107,115,105.1,112.9,101.8,.231,.297,.534,38.0,58.5,14.7,4.8,.500,11.5,16.3,.176,.560,18.8,63.9,.265
9,9,2016-11-10,MIA,W,98,95,107.0,103.7,91.6,.225,.180,.501,51.1,48.6,7.6,3.4,.449,9.3,27.3,.202,.483,12.1,72.0,.114
10,10,2016-11-12,WAS,W,106,95,109.2,97.8,97.1,.258,.155,.491,51.5,53.8,7.2,7.7,.428,8.5,29.4,.237,.440,10.8,74.0,.165
11,11,2016-11-15,POR,W,113,88,115.9,90.3,97.5,.286,.204,.512,57.8,39.0,7.2,6.6,.454,8.3,35.8,.245,.405,9.7,76.2,.116
12,12,2016-11-17,UTA,W,85,77,98.6,89.4,86.2,.178,.189,.438,48.9,24.2,8.1,11.3,.394,7.6,26.9,.156,.417,13.4,76.2,.154
13,13,2016-11-19,LAC,L,95,102,114.6,123.1,82.9,.312,.390,.542,50.6,51.5,9.7,8.0,.487,10.3,35.7,.260,.539,13.8,67.6,.247
14,14,2016-11-20,LAL,W,118,110,119.3,111.3,98.9,.322,.253,.594,60.2,60.0,6.1,4.8,.563,13.9,37.2,.230,.511,8.9,80.0,.161
15,15,2016-11-22,DEN,L,107,110,110.0,113.1,97.3,.189,.189,.520,46.6,51.2,6.2,14.1,.484,5.5,20.8,.158,.480,8.5,69.1,.140
16,16,2016-11-25,PHI,W,105,89,105.9,89.8,99.1,.289,.233,.518,51.5,60.0,10.1,8.9,.478,10.6,21.6,.211,.455,17.8,83.3,.231
17,17,2016-11-30,LAL,L,90,96,88.8,94.7,101.4,.319,.231,.434,43.4,68.8,14.8,15.1,.374,11.9,25.0,.242,.420,18.8,64.0,.346
18,18,2016-12-02,CLE,W,111,105,114.4,108.2,97.0,.177,.188,.536,59.8,66.0,11.3,7.0,.505,10.4,37.2,.146,.602,17.1,84.6,.060
19,19,2016-12-03,DAL,L,82,107,92.8,121.0,88.4,.296,.183,.511,50.0,28.1,4.5,8.9,.472,20.0,27.5,.211,.534,9.5,69.6,.161
