Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,MIL,W,107,96,110.9,99.5,96.5,.270,.258,.537,52.6,67.5,5.2,13.2,.489,9.1,23.4,.225,.440,7.4,80.0,.163
2,2,2016-10-28,MIA,W,97,91,99.8,93.6,97.2,.261,.239,.473,48.5,57.1,10.3,17.3,.418,7.2,24.1,.217,.453,16.7,76.6,.151
3,3,2016-10-29,BOS,L,98,104,103.6,110.0,94.6,.418,.405,.524,47.5,68.8,8.5,12.0,.462,7.9,13.6,.316,.574,12.8,88.9,.136
4,4,2016-11-02,PHI,W,109,93,113.0,96.4,96.5,.329,.430,.603,54.3,64.1,8.3,6.3,.576,14.2,23.7,.228,.465,15.5,81.4,.151
5,5,2016-11-04,BRK,W,99,95,96.2,92.3,103.0,.279,.349,.513,51.6,66.7,6.8,5.9,.477,14.2,15.2,.198,.454,13.5,85.7,.184
6,6,2016-11-07,IND,W,122,100,116.5,95.5,104.7,.381,.381,.622,45.7,73.2,11.5,5.0,.560,10.1,7.0,.333,.478,15.3,78.4,.118
7,7,2016-11-09,UTA,W,104,98,111.9,105.5,92.9,.354,.317,.549,44.6,63.2,8.6,8.3,.512,7.8,12.2,.244,.512,11.8,76.2,.171
8,8,2016-11-11,TOR,L,111,113,117.1,119.2,94.8,.258,.441,.536,55.9,57.9,1.1,5.9,.500,9.6,32.7,.194,.511,4.8,83.0,.233
9,9,2016-11-13,CLE,L,93,100,100.6,108.1,92.5,.126,.305,.464,45.9,63.9,7.6,5.6,.437,4.7,19.6,.105,.500,8.4,74.5,.087
10,10,2016-11-15,MIN,W,115,108,117.3,110.1,98.1,.275,.300,.641,46.3,58.1,10.2,11.1,.606,12.7,12.1,.225,.511,15.5,70.2,.191
11,11,2016-11-18,ATL,W,100,96,100.3,96.3,99.7,.267,.322,.497,47.3,67.6,11.0,7.1,.467,9.9,16.3,.178,.506,14.9,81.8,.131
12,12,2016-11-19,NOP,L,116,121,105.1,109.6,100.0,.289,.443,.531,49.5,72.5,6.3,8.1,.490,11.4,15.7,.216,.510,9.2,81.5,.214
13,13,2016-11-21,MEM,L,90,105,99.7,116.3,90.3,.452,.425,.514,49.4,66.7,6.6,15.5,.473,10.3,19.0,.288,.548,9.9,83.8,.155
14,14,2016-11-23,SAS,L,114,119,119.8,125.0,95.2,.202,.225,.588,56.4,66.7,3.2,5.5,.567,13.4,31.6,.146,.587,8.7,80.0,.209
15,15,2016-11-25,NYK,L,111,113,105.7,107.6,95.1,.290,.312,.529,45.5,58.1,5.7,5.8,.505,11.0,19.2,.183,.521,13.5,73.5,.124
16,16,2016-11-26,NYK,W,107,102,108.2,103.1,98.9,.525,.275,.543,53.1,45.7,3.0,13.6,.488,9.2,21.7,.363,.439,7.0,80.8,.163
17,17,2016-11-28,MEM,W,104,85,107.5,87.9,96.7,.378,.317,.544,52.8,66.7,3.1,6.7,.494,12.0,20.9,.280,.444,11.2,82.6,.067
18,18,2016-11-29,DET,L,89,112,93.6,117.8,95.1,.269,.346,.510,47.6,67.7,7.4,7.8,.455,13.0,12.5,.231,.554,10.2,79.5,.109
19,19,2016-12-01,DAL,W,97,87,105.4,94.5,92.1,.419,.243,.553,48.8,68.6,5.4,10.9,.507,10.2,11.1,.297,.424,10.5,79.5,.163
20,20,2016-12-03,MIN,L,120,125,110.4,115.0,98.4,.257,.356,.534,49.5,68.2,5.5,10.1,.505,11.1,26.0,.178,.500,8.0,72.5,.179
