Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-25,NYK,W,117,88,117.1,88.1,99.9,.202,.372,.572,54.8,68.9,12.0,8.3,.548,12.0,27.5,.149,.420,15.8,75.5,.172
2,2,2016-10-28,TOR,W,94,91,100.1,96.9,93.9,.278,.405,.530,44.0,60.6,8.5,4.1,.494,16.1,21.4,.203,.411,15.5,63.3,.189
3,3,2016-10-29,ORL,W,105,99,108.8,102.6,96.5,.341,.420,.519,44.4,47.2,8.3,10.7,.472,8.2,26.0,.250,.500,17.3,67.5,.179
4,4,2016-11-01,HOU,W,128,120,138.0,129.3,92.8,.373,.386,.662,59.0,51.2,4.3,4.3,.614,10.2,36.4,.313,.572,6.5,75.6,.189
5,5,2016-11-03,BOS,W,128,122,128.8,122.8,99.4,.440,.405,.638,51.9,58.5,6.0,9.4,.571,7.4,19.4,.381,.536,7.0,77.8,.198
6,6,2016-11-05,PHI,W,102,101,99.7,98.7,102.3,.198,.418,.516,52.1,62.2,9.8,10.2,.484,13.9,21.6,.154,.540,15.6,88.4,.080
7,7,2016-11-08,ATL,L,106,110,108.6,112.7,97.6,.253,.424,.482,43.8,56.8,12.3,1.9,.429,5.2,25.0,.212,.574,17.2,70.3,.210
8,8,2016-11-11,WAS,W,105,94,107.8,96.5,97.4,.302,.384,.539,50.5,44.4,9.2,8.3,.500,13.3,26.5,.221,.454,13.6,77.3,.172
9,9,2016-11-13,CHO,W,100,93,108.1,100.6,92.5,.163,.413,.507,54.1,64.1,3.2,13.6,.500,8.4,25.5,.087,.437,4.7,80.4,.105
10,10,2016-11-15,TOR,W,121,117,122.2,118.2,99.0,.337,.398,.635,53.5,59.1,4.0,10.4,.608,15.1,26.3,.241,.547,7.1,75.0,.125
11,11,2016-11-16,IND,L,93,103,95.8,106.1,97.1,.233,.349,.491,56.0,54.3,3.1,8.6,.471,16.0,23.9,.140,.558,9.9,88.9,.081
12,12,2016-11-18,DET,W,104,81,109.2,85.0,95.3,.169,.301,.583,54.2,65.0,4.2,10.8,.548,12.7,13.2,.157,.344,6.4,81.0,.183
13,13,2016-11-23,POR,W,137,125,139.3,127.1,98.3,.300,.400,.672,51.9,62.5,6.1,6.6,.650,8.9,23.7,.222,.594,8.4,78.0,.200
14,14,2016-11-25,DAL,W,128,90,132.3,93.0,96.7,.282,.506,.670,54.7,69.8,9.3,5.4,.624,12.8,24.3,.259,.451,11.9,77.6,.088
15,15,2016-11-27,PHI,W,112,108,115.9,111.8,96.6,.304,.435,.537,47.9,50.0,5.2,5.2,.478,7.9,27.5,.261,.549,14.2,71.1,.076
16,16,2016-11-29,MIL,L,101,118,101.4,118.4,99.6,.413,.520,.570,44.9,53.1,7.0,9.0,.520,17.7,17.5,.307,.576,15.0,73.7,.221
17,17,2016-12-01,LAC,L,94,113,99.2,119.3,94.7,.565,.348,.545,43.4,42.9,5.3,5.2,.471,17.3,15.4,.420,.545,9.9,68.2,.180
18,18,2016-12-02,CHI,L,105,111,108.2,114.4,97.0,.120,.313,.601,40.2,66.7,5.2,1.3,.602,17.1,15.4,.060,.505,10.4,62.8,.146
