Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,IND,L,121,130,105.8,113.7,103.6,.173,.462,.541,48.5,57.8,7.0,10.8,.519,11.8,18.5,.125,.559,12.9,83.0,.280
2,2,2016-10-28,HOU,L,98,106,105.3,113.9,93.1,.300,.363,.541,45.3,37.1,11.8,5.3,.488,9.0,14.3,.250,.579,17.7,84.8,.357
3,3,2016-10-30,HOU,L,92,93,101.4,102.5,90.7,.238,.357,.496,47.7,53.1,8.8,6.1,.446,8.8,24.5,.202,.494,16.0,76.9,.175
4,4,2016-11-02,UTA,L,81,97,91.6,109.7,88.4,.130,.338,.498,46.8,54.5,4.5,7.7,.474,12.8,15.0,.104,.532,11.9,81.1,.195
5,5,2016-11-04,POR,L,95,105,99.4,109.8,95.6,.241,.337,.517,51.2,52.9,5.2,6.1,.470,11.6,16.7,.205,.525,13.3,84.1,.263
6,6,2016-11-06,MIL,W,86,75,86.4,75.3,90.2,.136,.432,.461,47.4,42.4,12.1,3.8,.426,13.9,19.2,.125,.402,23.6,80.0,.110
7,7,2016-11-08,LAL,W,109,97,120.9,107.6,90.2,.183,.280,.615,50.0,55.8,12.2,7.7,.585,11.0,21.6,.159,.551,16.0,78.4,.141
8,8,2016-11-09,GSW,L,95,116,104.5,127.7,90.9,.326,.326,.483,51.9,58.8,11.0,4.9,.430,6.6,27.7,.244,.696,15.2,85.3,.176
9,9,2016-11-14,NYK,L,77,93,89.5,108.1,86.0,.133,.337,.438,45.2,46.9,9.3,13.2,.416,12.0,26.0,.096,.494,16.5,67.4,.205
10,10,2016-11-16,BOS,L,83,90,92.5,100.3,89.7,.120,.277,.475,37.6,47.1,10.0,5.5,.458,9.3,11.1,.084,.480,18.1,67.5,.224
11,11,2016-11-18,MEM,L,64,80,73.8,92.2,86.7,.301,.342,.387,48.4,42.9,3.5,15.4,.322,17.1,19.6,.233,.461,12.7,83.3,.117
12,12,2016-11-19,ORL,L,87,95,92.3,100.8,94.2,.351,.364,.489,40.5,50.0,8.5,8.8,.422,12.8,11.1,.286,.487,17.8,74.4,.244
13,13,2016-11-21,SAS,L,91,96,102.4,108.0,88.9,.270,.365,.550,50.6,45.7,11.2,5.5,.527,17.0,24.4,.176,.520,13.1,78.9,.240
14,14,2016-11-23,LAC,L,104,124,105.9,126.3,98.2,.214,.286,.566,50.6,60.5,7.1,5.7,.518,14.8,21.3,.202,.594,8.4,85.0,.271
15,15,2016-11-25,CLE,L,90,128,93.0,132.3,96.7,.132,.385,.467,45.3,78.4,5.2,9.5,.451,11.9,22.4,.088,.624,12.8,75.7,.259
16,16,2016-11-27,NOP,W,91,81,106.6,94.9,85.4,.260,.351,.530,52.3,59.4,8.2,5.3,.481,12.3,25.6,.221,.422,13.3,77.8,.208
17,17,2016-11-30,SAS,L,87,94,103.2,111.5,84.3,.182,.390,.523,46.8,48.5,5.9,5.8,.494,11.7,18.6,.143,.542,11.9,80.6,.239
18,18,2016-12-01,CHO,L,87,97,94.5,105.4,92.1,.209,.360,.463,51.3,56.3,6.5,3.6,.424,10.5,20.5,.163,.507,10.2,88.9,.297
19,19,2016-12-03,CHI,W,107,82,121.0,92.8,88.4,.207,.356,.564,50.0,77.5,12.4,3.4,.534,9.5,30.4,.161,.472,20.0,72.5,.211
