Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,NOP,W,107,102,99.8,95.1,107.3,.398,.289,.549,63.0,48.6,6.5,4.1,.494,19.7,27.5,.301,.429,9.6,90.4,.250
2,2,2016-10-29,POR,L,113,115,98.5,100.3,103.9,.390,.230,.482,57.5,50.0,8.7,7.6,.410,12.7,28.6,.310,.510,12.3,90.0,.153
3,3,2016-10-31,TOR,L,102,105,111.6,114.9,91.4,.432,.272,.529,51.7,42.4,2.2,12.5,.463,7.7,25.6,.333,.489,6.6,76.1,.216
4,4,2016-11-03,MIN,W,102,99,101.6,98.7,100.3,.309,.272,.554,50.6,61.5,10.0,3.0,.519,17.9,19.4,.222,.449,13.9,72.5,.227
5,5,2016-11-05,DET,L,86,103,88.7,106.2,97.0,.213,.266,.418,50.5,48.4,8.2,1.6,.367,13.5,29.1,.181,.524,12.3,80.0,.193
6,6,2016-11-06,BOS,W,123,107,122.6,106.7,100.3,.369,.274,.630,54.7,47.7,7.0,9.2,.589,14.8,24.3,.286,.500,10.0,77.6,.189
7,7,2016-11-08,MEM,L,107,108,108.7,109.7,98.5,.486,.343,.630,54.9,68.6,6.1,6.5,.571,20.6,20.0,.386,.552,12.9,80.5,.151
8,8,2016-11-10,GSW,L,101,125,102.7,127.0,98.4,.181,.383,.498,50.0,68.4,7.1,5.5,.473,15.1,32.7,.128,.624,13.8,75.0,.224
9,9,2016-11-12,DET,L,95,106,105.6,117.8,90.0,.226,.298,.514,53.2,41.7,6.7,5.6,.482,14.0,35.0,.167,.533,8.6,71.8,.111
10,10,2016-11-13,POR,L,105,112,103.4,110.3,101.6,.319,.319,.506,57.3,30.6,3.9,8.6,.456,14.8,34.8,.242,.434,5.8,75.4,.263
11,11,2016-11-16,PHO,W,120,104,120.6,104.6,99.5,.258,.183,.579,58.3,51.1,8.0,6.8,.527,11.9,33.3,.237,.544,14.8,83.3,.228
12,12,2016-11-18,TOR,L,111,113,100.8,102.7,99.7,.470,.301,.554,56.3,74.4,7.3,4.2,.494,15.9,19.1,.349,.500,10.0,87.5,.202
13,13,2016-11-20,UTA,W,105,91,114.8,99.5,91.5,.349,.256,.529,50.0,73.8,4.4,3.4,.535,7.5,25.5,.151,.429,9.5,72.5,.212
14,14,2016-11-22,CHI,W,110,107,113.1,110.0,97.3,.170,.220,.512,53.4,60.5,5.1,7.8,.480,8.5,30.9,.140,.484,5.5,79.2,.158
15,15,2016-11-23,UTA,L,83,108,84.4,109.8,98.3,.352,.307,.408,49.0,50.0,5.1,9.4,.369,9.0,23.0,.205,.544,13.1,89.7,.278
16,16,2016-11-25,OKC,L,129,132,115.4,118.1,101.2,.267,.337,.571,56.0,70.8,8.9,10.1,.535,12.4,28.3,.208,.574,10.8,84.4,.242
17,17,2016-11-27,PHO,W,120,114,116.4,110.6,103.1,.360,.326,.582,51.6,53.8,4.9,1.6,.511,10.4,21.3,.326,.466,9.5,81.3,.348
18,18,2016-11-30,MIA,L,98,106,97.2,105.1,100.8,.264,.242,.482,53.4,73.7,3.0,10.1,.456,15.8,27.5,.165,.489,5.4,78.8,.161
19,19,2016-12-02,HOU,L,110,128,113.0,131.5,97.3,.157,.294,.504,55.3,47.8,5.1,5.8,.495,12.8,43.4,.088,.601,9.9,70.7,.236
20,20,2016-12-03,UTA,L,98,105,106.8,114.5,91.7,.169,.289,.550,48.1,51.4,7.6,9.4,.524,13.6,17.5,.133,.506,9.1,81.1,.333
