Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,TOR,L,91,109,95.6,114.5,95.2,.262,.262,.486,44.0,48.6,8.4,0.0,.440,12.2,17.8,.202,.494,10.0,69.6,.279
2,2,2016-10-28,ORL,W,108,82,113.3,86.1,95.3,.063,.200,.553,54.6,56.3,8.4,5.8,.542,10.9,23.1,.053,.389,8.2,75.9,.084
3,3,2016-10-30,MIL,W,98,83,105.1,89.0,93.2,.227,.227,.506,59.2,59.0,8.6,5.7,.472,13.4,34.8,.170,.414,11.4,80.8,.126
4,4,2016-11-01,NYK,W,102,89,107.7,93.9,94.7,.236,.146,.519,52.7,46.3,7.4,7.8,.506,9.2,22.2,.135,.448,10.6,82.6,.140
5,5,2016-11-02,BRK,L,101,109,103.8,112.0,97.3,.239,.284,.519,45.8,56.8,11.3,12.2,.472,11.8,20.0,.205,.625,18.5,84.8,.184
6,6,2016-11-05,DEN,W,103,86,106.2,88.7,97.0,.265,.241,.556,49.5,55.0,9.3,13.0,.524,12.3,20.0,.193,.367,13.5,70.9,.181
7,7,2016-11-07,LAC,L,82,114,88.9,123.5,92.3,.317,.146,.439,45.9,46.7,5.4,3.9,.390,10.5,20.0,.220,.625,10.5,93.3,.250
8,8,2016-11-09,PHO,L,100,107,98.7,105.6,101.3,.360,.247,.485,45.6,62.5,10.9,8.1,.410,9.6,18.8,.303,.500,14.9,76.2,.274
9,9,2016-11-11,SAS,L,86,96,100.5,112.2,85.6,.276,.329,.504,48.3,43.8,2.3,6.6,.454,11.4,20.5,.224,.500,8.2,76.7,.185
10,10,2016-11-12,DEN,W,106,95,117.8,105.6,90.0,.156,.200,.551,46.8,50.0,12.2,1.7,.533,8.6,28.2,.111,.482,14.0,65.0,.167
11,11,2016-11-14,OKC,W,104,88,103.7,87.8,100.3,.174,.174,.525,48.0,58.1,4.0,14.8,.495,8.3,9.5,.141,.403,13.3,76.8,.193
12,12,2016-11-16,NYK,L,102,105,113.3,116.6,90.0,.141,.271,.565,43.5,45.2,6.7,1.5,.541,10.0,19.5,.118,.500,8.2,62.7,.129
13,13,2016-11-18,CLE,L,81,104,85.0,109.2,95.3,.215,.204,.398,45.8,79.3,5.2,6.9,.344,6.4,19.0,.183,.548,12.7,86.8,.157
14,14,2016-11-19,BOS,L,92,94,106.8,109.1,86.2,.186,.233,.494,52.1,59.5,5.8,7.8,.471,5.1,22.9,.128,.476,8.2,81.3,.195
15,15,2016-11-21,HOU,L,96,99,103.2,106.4,93.0,.276,.195,.492,45.9,52.8,7.5,6.4,.454,12.5,26.1,.195,.513,14.3,69.2,.244
16,16,2016-11-23,MIA,W,107,84,114.9,90.2,93.1,.309,.235,.582,57.0,55.0,8.6,14.3,.531,12.4,25.0,.259,.407,13.7,84.8,.307
17,17,2016-11-25,LAC,W,108,97,118.6,106.5,91.1,.078,.211,.580,56.8,55.3,7.7,0.0,.572,9.7,25.7,.056,.527,14.2,84.6,.274
18,18,2016-11-26,OKC,L,88,106,97.4,117.4,90.3,.207,.232,.492,42.7,29.7,7.8,1.7,.457,8.2,15.4,.159,.554,9.6,72.2,.169
19,19,2016-11-29,CHO,W,112,89,117.8,93.6,95.1,.120,.304,.578,52.4,46.7,7.4,7.8,.554,10.2,20.5,.109,.455,13.0,87.5,.231
20,20,2016-11-30,BOS,W,121,114,130.5,122.9,92.8,.241,.230,.629,61.2,58.3,4.3,16.3,.603,10.3,35.1,.184,.522,4.8,81.3,.209
21,21,2016-12-02,ATL,W,121,85,126.4,88.8,95.7,.135,.326,.642,62.8,58.3,4.2,4.7,.635,13.7,29.7,.090,.398,6.7,87.8,.170
