Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-25,SAS,L,100,129,101.8,131.3,98.3,.212,.388,.538,38.9,60.0,11.2,8.1,.512,14.7,19.0,.153,.541,10.6,56.3,.235
2,2,2016-10-28,NOP,W,122,114,113.2,105.8,107.7,.308,.308,.590,50.0,72.7,7.4,2.6,.533,11.9,19.6,.275,.495,10.6,76.9,.150
3,3,2016-10-30,PHO,W,106,100,105.4,99.4,100.6,.398,.349,.543,46.2,77.1,6.0,7.5,.470,13.3,15.2,.337,.456,9.8,76.6,.200
4,4,2016-11-01,POR,W,127,104,120.6,98.8,105.3,.258,.292,.641,58.4,72.0,13.3,8.5,.618,13.9,21.2,.191,.512,15.9,86.4,.186
5,5,2016-11-03,OKC,W,122,96,126.0,99.1,96.9,.225,.337,.624,52.9,58.7,9.3,23.3,.596,13.3,34.9,.180,.460,13.9,70.5,.184
6,6,2016-11-04,LAL,L,97,117,94.7,114.2,102.5,.233,.372,.512,44.0,66.7,12.7,4.6,.483,17.4,20.5,.163,.516,13.3,66.0,.200
7,7,2016-11-07,NOP,W,116,106,118.5,108.3,97.9,.133,.389,.609,46.9,77.8,14.3,6.8,.589,13.6,23.8,.111,.531,17.1,71.8,.263
8,8,2016-11-09,DAL,W,116,95,127.7,104.5,90.9,.297,.446,.693,48.1,76.7,3.3,10.3,.696,15.2,14.7,.176,.430,6.6,72.3,.244
9,9,2016-11-10,DEN,W,125,101,127.0,102.7,98.4,.235,.353,.666,50.0,71.7,15.2,10.3,.624,13.8,25.0,.224,.473,15.1,67.3,.128
10,10,2016-11-13,PHO,W,133,120,126.3,114.0,105.3,.356,.379,.661,53.1,71.1,7.6,10.6,.609,13.7,21.1,.310,.556,11.4,81.4,.222
11,11,2016-11-16,TOR,W,127,121,127.5,121.4,99.6,.322,.414,.639,43.2,75.0,9.0,12.3,.580,10.8,17.5,.299,.512,12.3,68.3,.451
12,12,2016-11-18,BOS,W,104,88,108.6,91.9,95.7,.133,.311,.546,53.8,75.0,10.4,13.7,.539,10.4,20.0,.078,.440,12.5,85.4,.181
13,13,2016-11-19,MIL,W,124,121,124.9,121.9,99.3,.337,.400,.568,52.3,71.4,8.1,7.2,.516,9.9,36.7,.274,.573,11.5,73.0,.213
14,14,2016-11-21,IND,W,120,83,118.9,82.3,100.9,.356,.400,.576,55.0,77.5,8.9,12.5,.517,10.3,26.1,.300,.350,9.2,76.2,.107
15,15,2016-11-23,LAL,W,149,106,142.7,101.5,104.4,.407,.419,.735,56.5,88.7,6.7,6.8,.727,9.0,16.7,.279,.473,9.7,85.7,.194
16,16,2016-11-25,LAL,W,109,85,107.4,83.7,101.5,.205,.337,.602,49.4,72.1,9.9,14.7,.584,15.8,11.4,.145,.383,15.2,74.1,.178
17,17,2016-11-26,MIN,W,115,102,121.2,107.5,94.9,.210,.272,.650,58.4,55.6,9.5,14.8,.623,16.9,33.3,.173,.517,12.1,80.5,.112
18,18,2016-11-28,ATL,W,105,100,104.6,99.6,100.4,.282,.412,.549,44.6,67.6,6.0,17.5,.506,12.8,15.9,.224,.459,15.4,70.8,.244
19,19,2016-12-01,HOU,L,127,132,105.0,109.1,100.1,.356,.423,.528,49.1,72.1,9.9,10.9,.471,12.4,24.1,.279,.509,13.6,73.2,.204
20,20,2016-12-03,PHO,W,138,109,138.6,109.5,99.5,.436,.269,.742,51.4,75.5,9.0,8.5,.718,15.5,21.4,.333,.511,12.3,69.6,.176
